"code","npias","name","city","state","ADO","service_level","district","id","grant_id","airport_id","npr","description","total","stimulus","discretionary","entitlement","fiscal_year"
"ADK","02-0001","Adak","Adak Island","AK","AAL","GA",1,44463,"3-02-0001-002-2005","ADK",90,"Acquire Aircraft Rescue & Fire Fighting Vehicle",770569.00,0.00,770569.00,0.00,2005
"AKK","02-0002","Akhiok","Akhiok","AK","AAL","",,,"","",,"",,,,,
"Z13","02-0345","Akiachak","Akiachak","AK","AAL","",,,"","",,"",,,,,
"+076","02-0461","Akiachak (Proposed GA)","Akiachak","AK","AAL","",,,"","",,"",,,,,
"AKI","02-0004","Akiak","Akiak","AK","AAL","",,,"","",,"",,,,,
"KQA","02-0346","Akutan","Akutan","AK","AAL","GA",1,48315,"3-02-0346-006-2006","KQA",62,"Conduct Airport Master Plan Study",129355.00,0.00,0.00,129355.00,2006
"KQA","02-0346","Akutan","Akutan","AK","AAL","GA",1,51836,"3-02-0346-007-2007","KQA",62,"Conduct Airport Master Plan Study",291393.00,0.00,0.00,291393.00,2007
"+01D","02-0005","Akutan (Proposed GA)","Akutan","AK","AAL","",1,51929,"3-02-0005-001-2007","+01D",40,"Construct New Airport",1000000.00,0.00,1000000.00,0.00,2007
"AUK","02-0332","Alakanuk","Alakanuk","AK","AAL","",,,"","",,"",,,,,
"+01F","02-0440","Alakanuk (Proposed CM)","Alakanuk","AK","AAL","",1,51843,"3-02-0440-002-2007","+01F",40,"Construct New Airport",6574722.00,0.00,6079856.00,494866.00,2007
"+01F","02-0440","Alakanuk (Proposed CM)","Alakanuk","AK","AAL","",1,58957,"3-02-0440-003-2009","+01F",40,"Construct New Airport",9948334.00,0.00,7733375.00,2214959.00,2009
"5A8","02-0359","Aleknagik /New/","Aleknagik","AK","AAL","",,,"","",,"",,,,,
"6A8","02-0009","Allakaket","Allakaket","AK","AAL","CS",1,58985,"3-02-0009-005-2009","6A8",66,"Rehabilitate Runway",10000000.00,10000000.00,0.00,0.00,2009
"6A8","02-0009","Allakaket","Allakaket","AK","AAL","CS",1,59049,"3-02-0009-006-2009","6A8",38,"Expand Apron",700000.00,0.00,0.00,700000.00,2009
"AFM","02-0354","Ambler","Ambler","AK","AAL","",,,"","",,"",,,,,
"AKP","02-0012","Anaktuvuk Pass","Anaktuvuk Pass","AK","AAL","",,,"","",,"",,,,,
"LHD","02-0013","Lake Hood","Anchorage","AK","AAL","P",1,48244,"3-02-0013-011-2006","LHD",44,"Construct Apron",1000000.00,0.00,0.00,1000000.00,2006
"LHD","02-0013","Lake Hood","Anchorage","AK","AAL","P",1,48245,"3-02-0013-011-2006","LHD",44,"Construct Apron",1891416.00,0.00,0.00,1891416.00,2006
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,44441,"3-02-0015-036-2005","MRI",43,"Security Enhancements",1155163.00,0.00,1155163.00,0.00,2005
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,44442,"3-02-0015-036-2005","MRI",47,"Extend Taxiway",1060000.00,0.00,1060000.00,0.00,2005
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,44443,"3-02-0015-036-2005","MRI",72,"Rehabilitate Runway",2092500.00,0.00,1092500.00,1000000.00,2005
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,48246,"3-02-0015-040-2006","MRI",48,"Acquire Snow Removal Equipment",551000.00,0.00,0.00,551000.00,2006
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,48249,"3-02-0015-041-2006","MRI",62,"Rehabilitate Apron",927100.00,0.00,0.00,927100.00,2006
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,48250,"3-02-0015-041-2006","MRI",43,"Security Enhancements",786631.00,0.00,286631.00,500000.00,2006
