Route,Route Type,Total Revenue,Profit/Loss,Ridership,Passenger Miles,Average Miles per Passenger,Profit/Loss per Passenger Mile (excluding costs such as depreciation),Profit/Loss per Passenger Mile (including costs such as depreciation),Profit/Loss per Passenger (excluding costs such as depreciation),Profit/Loss per Passenger (including costs such as depreciation),
Acela,Northeast Corridor Routes,"$486,300,000","$220,200,000",3398759,629142857,185.11,$0.35,$0.46,$64.79,$40.50,
Northeast Regional,Northeast Corridor Routes,"$518,400,000","$146,500,000",7489426,1126923077,150.47,$0.13,$0.02,$19.56,-$4.73,
NEC Unknown (Crew Labor),Northeast Corridor Routes,$0,"-$1,300,000",,1756065934,,,,,,
NEC Special Trains,Northeast Corridor Routes,"$4,600,000","$3,600,000",9667,,,,,$372.40,$348.11,
NEC Bus Route,Northeast Corridor Routes,$0,$0,,,,,,,,
Total All Northeast Corridor Routes,Northeast Corridor Routes,"$1,009,400,000","$369,000,000",10897852,1782608696,163.57,$0.21,$0.09,$33.86,$9.57,
Ethan Allen Express,State Supported and Other Short Distance Corridor Routes,"$3,700,000","-$300,000",46881,8823529,188.21,-$0.03,-$0.15,-$6.40,-$30.69,
Vermonter,State Supported and Other Short Distance Corridor Routes,"$6,900,000","-$2,000,000",72655,21739130,299.21,-$0.09,-$0.20,-$27.53,-$51.82,
Albany-Niagara Falls-Toronto,State Supported and Other Short Distance Corridor Routes,"$22,800,000","-$6,700,000",354492,109836066,309.84,-$0.06,-$0.17,-$18.90,-$43.19,
The Downeaster,State Supported and Other Short Distance Corridor Routes,"$11,100,000","-$1,100,000",474492,36666667,77.28,-$0.03,-$0.14,-$2.32,-$26.61,
New Haven - Springfield,State Supported and Other Short Distance Corridor Routes,"$10,200,000","-$11,800,000",349928,31382979,89.68,-$0.38,-$0.49,-$33.72,-$58.01,
Keystone Service,State Supported and Other Short Distance Corridor Routes,"$33,100,000","-$4,600,000",1183821,104545455,88.31,-$0.04,-$0.16,-$3.89,-$28.18,
Empire Service,State Supported and Other Short Distance Corridor Routes,"$42,200,000","-$19,100,000",994293,123225806,123.93,-$0.16,-$0.27,-$19.21,-$43.50,
Chicago-St.Louis,State Supported and Other Short Distance Corridor Routes,"$32,200,000","$3,800,000",476427,86363636,181.27,$0.04,-$0.07,$7.98,-$16.32,
Hiawatha,State Supported and Other Short Distance Corridor Routes,"$23,500,000","-$1,400,000",749659,60869565,81.20,-$0.02,-$0.14,-$1.87,-$26.16,
Wolverine,State Supported and Other Short Distance Corridor Routes,"$18,400,000","-$14,700,000",472393,100684932,213.14,-$0.15,-$0.26,-$31.12,-$55.41,
Illini/saluki,State Supported and Other Short Distance Corridor Routes,"$13,300,000",$0,271082,,,$0.00,-$0.11,$0.00,-$24.29,
Illinois Zephyr,State Supported and Other Short Distance Corridor Routes,"$10,900,000","-$3,100,000",202814,34831461,171.74,-$0.09,-$0.20,-$15.28,-$39.58,
Heartland Flyer,State Supported and Other Short Distance Corridor Routes,"$5,700,000","-$200,000",80892,13333333,164.83,-$0.02,-$0.13,-$2.47,-$26.77,
Pacific Surfliner,State Supported and Other Short Distance Corridor Routes,"$77,100,000","-$14,700,000",2898859,240983607,83.13,-$0.06,-$0.17,-$5.07,-$29.36,
Cascades,State Supported and Other Short Distance Corridor Routes,"$41,300,000","-$5,900,000",760323,115686275,152.15,-$0.05,-$0.16,-$7.76,-$32.05,
Capitol corridor,State Supported and Other Short Distance Corridor Routes,"$43,700,000","-$14,200,000",1693580,110077519,65.00,-$0.13,-$0.24,-$8.38,-$32.68,
