Indent,Category,Source,Report,2000 (Corp),2001 (Corp),2002 (Corp),2003 (Corp),2004 (Corp),2005 (Corp),2006 (Corp),2007 (Corp),2008 (Corp),2009 (Corp),2010 (Corp),2011 (Corp),2012 (Corp),2013 (Corp),2014 (Corp),2015 (Corp),2016 (Corp),2000 (Indv),2001 (Indv),2002 (Indv),2003 (Indv),2004 (Indv),2005 (Indv),2006 (Indv),2007 (Indv),2008 (Indv),2009 (Indv),2010 (Indv),2011 (Indv),2012 (Indv),2013 (Indv),2014 (Indv),2015 (Indv),2016 (Indv),Expenditure Name,Expenditure Footnotes
,Commerce and housing
#,Tax exemption for certain small insurance companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,,JCT,2009,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Tax exemption for certain small insurance companies,,,,,,,,,,,,,,,,,
#,Financial institutions and insurance
##,Exemption of credit union income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Credit union income exemption.&mdash;Under the baseline tax system, corporations pay taxes on their profits under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. However, in the Tax Code the earnings of credit unions not distributed to members as interest or dividends are exempt from the income tax. </p>"
##+,33,Treasury,2000,905.00,970.00,1040.00,1120.00,1200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,34,Treasury,2001,1550.00,1650.00,1765.00,1890.00,2020.00,2155.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,35,Treasury,2002,1550.00,1650.00,1770.00,1890.00,2020.00,2160.00,2280.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,33,Treasury,2003,,1000.00,1070.00,1150.00,1230.00,1320.00,1420.00,1530.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,33,Treasury,2004,,,1020.00,1090.00,1160.00,1240.00,1320.00,1410.00,1510.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,33,Treasury,2005,,,,1300.00,1360.00,1430.00,1500.00,1570.00,1650.00,1730.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,36,Treasury,2006,,,,,1270.00,1330.00,1390.00,1440.00,1510.00,1570.00,1640.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,51,Treasury,2007,,,,,,1290.00,1370.00,1450.00,1540.00,1640.00,1740.00,1850.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,48,Treasury,2008,,,,,,,1320.00,1400.00,1480.00,1570.00,1660.00,1750.00,1850.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,47,Treasury,2009,,,,,,,,1310.00,1380.00,1450.00,1530.00,1610.00,1690.00,1780.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,50,Treasury,2010,,,,,,,,,1140.00,1190.00,1230.00,1280.00,1330.00,1380.00,1430.00,,,,,,,,,,,,,,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,49,Treasury,2011,,,,,,,,,,650.00,650.00,710.00,790.00,880.00,960.00,1030.00,,,,,,,,,,,,,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##+,50,Treasury,2012,,,,,,,,,,,1270.00,1240.00,1310.00,1470.00,1600.00,1710.00,1830.00,,,,,,,,,,,,,,,,,,Exemption of credit union income,,,,,,,,,,,,,,,,,
##,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,34,Treasury,2000,10.00,5.00,5.00,5.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##+,35,Treasury,2001,65.00,55.00,45.00,35.00,20.00,5.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##+,36,Treasury,2002,70.00,60.00,50.00,30.00,20.00,10.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##+,34,Treasury,2003,,60.00,50.00,30.00,20.00,10.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##+,34,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##+,34,Treasury,2005,,,,40.00,30.00,20.00,20.00,10.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##+,37,Treasury,2006,,,,,-20.00,-20.00,-10.00,-10.00,-10.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##+,52,Treasury,2007,,,,,,10.00,10.00,10.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##+,49,Treasury,2008,,,,,,,20.00,10.00,10.00,10.00,10.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##+,48,Treasury,2009,,,,,,,,20.00,10.00,10.00,10.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,Excess bad debt reserves of financial institutions,,,,,,,,,,,,,,,,,
##,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Deferral of income on life insurance and annuity contracts.&mdash;Under the baseline tax system, individuals and corporations pay taxes on their income when it is (actually or constructively) received or accrued, depending on their method of accounting. Nevertheless, the Tax Code provides favorable tax treatment for investment income earned within qualified life insurance and annuity contracts. In general, investment income earned on qualified life insurance contracts held until death is permanently exempt from income tax. Investment income distributed prior to the death of the insured is generally tax-deferred. Investment income earned on annuities benefits from tax deferral. </p>"
##+,35,Treasury,2000,225.00,235.00,250.00,260.00,275.00,,,,,,,,,,,,,14765.00,15575.00,16430.00,17335.00,18565.00,,,,,,,,,,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,36,Treasury,2001,450.00,485.00,520.00,565.00,605.00,650.00,,,,,,,,,,,,14535.00,15645.00,16845.00,18305.00,19525.00,21030.00,,,,,,,,,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,37,Treasury,2002,490.00,530.00,580.00,630.00,690.00,750.00,820.00,,,,,,,,,,,13460.00,14640.00,15940.00,17360.00,18920.00,20620.00,22510.00,,,,,,,,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,35,Treasury,2003,,1650.00,1770.00,1890.00,2020.00,2160.00,2280.00,2490.00,,,,,,,,,,,14640.00,15940.00,17360.00,18920.00,20620.00,22510.00,24440.00,,,,,,,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,35,Treasury,2004,,,1770.00,1800.00,1830.00,1860.00,1890.00,1920.00,1950.00,,,,,,,,,,,15920.00,17330.00,18910.00,20610.00,22500.00,24430.00,26360.00,,,,,,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,35,Treasury,2005,,,,2090.00,2250.00,2410.00,2590.00,2780.00,2980.00,3200.00,,,,,,,,,,,16810.00,18250.00,19720.00,21420.00,23270.00,25280.00,27460.00,,,,,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,38,Treasury,2006,,,,,2010.00,2180.00,2270.00,2570.00,2880.00,3070.00,3330.00,,,,,,,,,,,18820.00,20570.00,21800.00,23610.00,25890.00,27910.00,30280.00,,,,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,53,Treasury,2007,,,,,,1760.00,1830.00,1910.00,2120.00,2400.00,2620.00,2810.00,,,,,,,,,,,17440.00,18140.00,18860.00,20480.00,23700.00,26370.00,28540.00,,,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
