Indent,Budget Function,Subsidyscope Title,Title as Appears in Budget,Source,Report Year,2000 Total,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,2007 Total,2008 Total,2009 Total,2010 Total,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,2016 Total,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2016 Corp,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2016 Indv
*,Energy,10-year MACRS for smart electric distribution property,10-year MACRS for smart electric distribution property,JCT,2010,,,,,,,,,100.00,0,0,0,0,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,100.00,<50,<50,<50,<50,,,,,
*,Energy,10-year MACRS for smart electric distribution property,10-year MACRS for smart electric distribution property,JCT,2011,,,,,,,,,,0.00,0.00,100.00,100.00,100.00,,,,,,,,,,,,,<50,<50,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,
*,Energy,10-year MACRS for smart electric distribution property,10-year MACRS for smart electric distribution property,JCT,2012,,,,,,,,,,,0.00,100.00,100.00,100.00,200.00,,,,,,,,,,,,,<50,100.00,100.00,100.00,200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,
*,Energy,15-year MACRS for certain electric transmission property,15-year MACRS for certain electric transmission property,JCT,2010,,,,,,,,,0,100.00,100.00,200.00,200.00,,,,,,,,,,,,,<50,100.00,100.00,200.00,200.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,
*,Energy,15-year MACRS for certain electric transmission property,15-year MACRS for certain electric transmission property,JCT,2011,,,,,,,,,,100.00,100.00,100.00,200.00,200.00,,,,,,,,,,,,,100.00,100.00,100.00,200.00,200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,
*,Energy,15-year MACRS for certain electric transmission property,15-year MACRS for certain electric transmission property,JCT,2012,,,,,,,,,,,100.00,100.00,200.00,200.00,200.00,,,,,,,,,,,,,100.00,100.00,200.00,200.00,200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,
*,Energy,Advanced Energy Property Credit,Provide credit for investment in advanced energy property,JCT,2011,,,,,,,,,,100.00,300.00,300.00,400.00,400.00,,,,,,,,,,,,,100.00,200.00,200.00,300.00,300.00,,,,,,,,,,,,,<50,100.00,100.00,100.00,100.00,,,,
*,Energy,Advanced Energy Property Credit,Credit for investment in advanced energy property,JCT,2012,,,,,,,,,,,500.00,400.00,200.00,100.00,100.00,,,,,,,,,,,,,400.00,300.00,200.00,100.00,100.00,,,,,,,,,,,,,100.00,100.00,<50,<50,<50,,,
*,Energy,Advanced Energy Property Credit,Advanced Energy Property Credit,Treasury,2012,,,,,,,,,,,180.00,600.00,900.00,460.00,-10.00,-90.00,-80.00,,,,,,,,,,,160.00,540.00,810.00,410.00,-10.00,-80.00,-70.00,,,,,,,,,,,20.00,60.00,90.00,50.00,0.00,-10.00,-10.00,
*,Energy,Alcohol fuel credits,Tax credits for alcohol fuels,JCT,2001,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,<50,<50,<50,<50,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $0.5 billion in fiscal year 1999 and $0.6 billion per year in fiscal years 2000 through 2003."
*,Energy,Alcohol fuel credits,Tax credits for alcohol fuels,JCT,2002,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $0.5 billion per year in fiscal years 2000 through 2004."
