Indent,Category,Source,Report,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Expenditure Name
,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,"Expensing of exploration and development costs, fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,9,Treasury,2000,-10,-15,0,25,30,,,,,,,,,,,,0,0,0,5,10,,,,,,,,,,,,"Expensing of exploration and development costs, fuels"
#+,140,Treasury,2001,-15,-30,-10,15,15,15,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,"Expensing of exploration and development costs, fuels"
#+,272,Treasury,2002,20,60,60,80,90,90,80,,,,,,,,,,0,10,10,20,20,20,20,,,,,,,,,,"Expensing of exploration and development costs, fuels"
#+,404,Treasury,2003,,40,50,60,70,70,80,80,,,,,,,,,,10,10,10,20,20,20,20,,,,,,,,,"Expensing of exploration and development costs, fuels"
#+,540,Treasury,2004,,,130,150,130,70,50,40,30,,,,,,,,,,20,20,20,10,10,0,0,,,,,,,,"Expensing of exploration and development costs, fuels"
#+,677,Treasury,2005,,,,180,240,150,70,60,50,30,,,,,,,,,,30,30,20,10,10,10,10,,,,,,,"Expensing of exploration and development costs, fuels"
#+,814,Treasury,2006,,,,,230,350,320,240,210,160,120,,,,,,,,,,30,50,50,40,30,30,20,,,,,,"Expensing of exploration and development costs, fuels"
#+,960,Treasury,2007,,,,,,340,590,760,720,560,430,330,,,,,,,,,,50,90,110,110,90,70,50,,,,,"Expensing of exploration and development costs, fuels"
#+,1123,Treasury,2008,,,,,,,590,750,730,620,520,390,270,,,,,,,,,,90,110,110,90,80,60,40,,,,"Expensing of exploration and development costs, fuels"
#+,1283,Treasury,2009,,,,,,,,460,440,400,340,270,210,130,,,,,,,,,,70,70,60,50,40,30,20,,,"Expensing of exploration and development costs, fuels"
#+,1444,Treasury,2010,,,,,,,,,1380,2070,1990,1540,1320,1050,780,,,,,,,,,,270,410,400,310,260,210,160,,"Expensing of exploration and development costs, fuels"
#+,1609,Treasury,2011,,,,,,,,,,1370,1710,990,770,760,570,290,,,,,,,,,,270,330,190,150,140,110,50,"Expensing of exploration and development costs, fuels"
##,Oil and gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,1784,JCT,2001,400,400,500,500,,,,,,,,,,,,,<+,<+,<+,<+,,,,,,,,,,,,,Oil and gas
##+,1921,JCT,2002,400,500,500,500,500,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,Oil and gas
##+,2060,JCT,2003,,600,600,600,400,300,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,Oil and gas
##+,,JCT,2004,,,"1,600","1,200",700,300,600,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,Oil and gas
##+,,JCT,2005,,,,600,400,300,400,500,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,Oil and gas
##+,,JCT,2006,,,,,500,300,400,500,500,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,Oil and gas
##+,2202,JCT,2007,,,,,,500,400,400,500,500,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,Oil and gas
##+,2359,JCT,2008,,,,,,,1100,1600,1200,800,600,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,Oil and gas
##+,2532,JCT,2009,,,,,,,,1100,800,600,500,500,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,Oil and gas
##+,2731,JCT,2010,,,,,,,,,2100,3000,1700,400,400,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,Oil and gas
##+,2977,JCT,2011,,,,,,,,,,300,400,400,700,800,,,,,,,,,,,,<+,<+,<+,<+,<+,,,Oil and gas
##,Other fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,1785,JCT,2001,<+,<+,<+,<+,,,,,,,,,,,,,<+,<+,<+,<+,,,,,,,,,,,,,Other fuels
##+,1922,JCT,2002,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,Other fuels
