AG10,R&D-ENERGY - COAL,
AG11,COAL (BASIC),COAL - BASIC RESEARCH
AG12,COAL (APPLIED/EXPLORATORY),COAL - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT
AG14,COAL (ENGINEERING),COAL - ENGINEERING DEVELOPMENT
AG15,COAL (OPERATIONAL),COAL - OPERATIONAL SYSTEMS DEVELOPMENT
AG17,R&D-ENERGY - COAL-COMERCLIZ,
AG20,R&D-ENERGY - GAS,
AG21,GAS (BASIC),GAS - BASIC RESEARCH
AG22,GAS (APPLIED/EXPLORATORY),GAS - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT
AG23,GAS (ADVANCED),GAS - ADVANCED DEVELOPMENT
AG25,GAS (OPERATIONAL),GAS - OPERATIONAL SYSTEMS DEVELOPMENT
AG27,R&D-ENERGY - GAS-COMERCLIZ,
AG30,R&D-ENERGY - GEOTHERMAL,
AG31,GEOTHERMAL (BASIC),GEOTHERMAL - BASIC RESEARCH
AG33,GEOTHERMAL (ADVANCED),GEOTHERMAL - ADVANCED DEVELOPMENT
AG34,GEOTHERMAL (ENGINEERING),GEOTHERMAL - ENGINEERING DEVELOPMENT
AG35,GEOTHERMAL (OPERATIONAL),GEOTHERMAL - OPERATIONAL SYSTEMS DEVELOPMENT
AG36,GEOTHERMAL (MANAGEMENT/SUPPORT),GEOTHERMAL - MANAGEMENT AND SUPPORT
AG37,R&D-ENERGY - GEOTHERMAL-COMERCLIZ,
AG40,R&D-ENERGY - WIND,
AG41,WIND ENERGY (BASIC),WIND ENERGY - BASIC RESEARCH
AG42,WIND ENERGY (APPLIED/EXPLORATORY),WIND ENERGY - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT
AG43,WIND ENERGY (ADVANCED),WIND ENERGY - ADVANCED DEVELOPMENT
AG44,WIND ENERGY (ENGINEERING),WIND ENERGY - ENGINEERING DEVELOPMENT
AG47,R&D-ENERGY - WIND-COMERCLIZ,
AG50,R&D-ENERGY - NUCLEAR,
AG51,NUCLEAR (BASIC),NUCLEAR - BASIC RESEARCH
