211,Oil and Gas Extraction 
2111,Oil and Gas Extraction 
21111,Oil and Gas Extraction 
211111,Crude Petroleum and Natural Gas Extraction
2121,Coal Mining
212111,ÊBituminous Coal and Lignite Surface Mining 
212112,Bituminous Coal Underground Mining 
212113,Anthracite Mining
213111,Drilling Oil and Gas Wells
213112,Support Activities for Oil and Gas Operations
213113,Support Activities for Coal Mining
2211,"Electric Power Generation, Transmission and Distribution"
22111,Electric Power Generation 
221111,Hydroelectric Power Generation 
221112,Fossil Fuel Electric Power Generation 
221113,Nuclear Electric Power Generation 
221119,Other Electric Power Generation 
22112,"Electric Power Transmission, Control, and Distribution "
221121,Electric Bulk Power Transmission and Control 
221122,Electric Power Distribution 
2212,Natural Gas Distribution
22121,Natural Gas Distribution 
221210,Natural Gas Distribution 
92613,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities "
926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities "
23712,Oil and Gas Pipeline and Related Structures Construction 
237120,Oil and Gas Pipeline and Related Structures Construction 
23713,Power and Communication Line and Related Structures Construction 
237130,Power and Communication Line and Related Structures Construction 
324,Petroleum and Coal Products Manufacturing
3241,Petroleum and Coal Products Manufacturing
32411,Petroleum Refineries
324110,Petroleum Refineries
32419,Other Petroleum and Coal Products Manufacturing 
324191,Petroleum Lubricating Oil and Grease Manufacturing 
324199,All Other Petroleum and Coal Products Manufacturing 
4247,Petroleum and Petroleum Products Merchant Wholesalers
42471,Petroleum Bulk Stations and Terminals 
424710,Petroleum Bulk Stations and Terminals 
42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) 
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) 
447,Gasoline Stations
4471,Gasoline Stations
44711,Gasoline Stations with Convenience Stores
447110,Gasoline Stations with Convenience Stores
44719,Other Gasoline Stations
447190,Other Gasoline Stations
486,Pipeline Transportation
4861,Pipeline Transportation of Crude Oil
48611,Pipeline Transportation of Crude Oil
486110,Pipeline Transportation of Crude Oil
4862,Pipeline Transportation of Natural Gas 
48621,Pipeline Transportation of Natural Gas 
486210,Pipeline Transportation of Natural Gas 
4869,Other Pipeline Transportation
48691,Pipeline Transportation of Refined Petroleum Products 
486910,Pipeline Transportation of Refined Petroleum Products 
48699,All Other Pipeline Transportation 
486990,All Other Pipeline Transportation 
