Year,Country,Auth. date,Obligor,Principal supplier,Guarantor*,Credit,Product,Interest rate,loans,Guarantees,Boeing only
2007,Austria,17-Jan-07,Austrian Airlines Lease and Finance Co.,The Boeing Co.,,82398,Commercial Aircraft,,,"106,567,959","106,567,959"
2007,Brazil,25-Jun-07,GOL Transportes Aereos,The Boeing Co.,,80949,Commercial Aircraft,,,"157,080,271","157,080,271"
2007,Canada,19-Apr-07,Air Canada,The Boeing Co.,,83045,Commercial Aircraft,,,"708,461,025","708,461,025"
2007,Canada,12-Jul-07,WestJet Airlines,The Boeing Co.,,81554,Commercial Aircraft,,,"105,939,918","105,939,918"
2007,Chile,16-May-07,Lan Airlines S.A.,The Boeing Co.,,82547,Commercial Aircraft,,,"142,356,300","142,356,300"
2007,Germany,14-Mar-07,Bavarian International Aircraft Leasing GMBH,The Boeing Co.,,83104,Commercial Aircraft,,,"49,279,931","49,279,931"
2007,Ghana,31-May-07,Bulk Oil Storage and Transport Co. Ltd.,American Tank and Vessel Inc.,Ministry of Finance,82075,,,,"109,533,785",
2007,India,14-Dec-06,Jet Airways Ltd.,The Boeing Co.,,82378,Commercial Aircraft (Amendment Increase),,,"4,158,754","4,158,754"
2007,India,10-Jul-07,Reliance Petroleum Ltd.,Bechtel Corp.,None,82263,Petroleum Refinery Equipment and Services,,,"500,000,000",
2007,India,30-Aug-07,Jet Airways Ltd.,The Boeing Co.,,82380,Commercial Aircraft,,,"885,996,370","885,996,370"
2007,Ireland,17-Jan-07,Ryanair Ltd.,The Boeing Co.,,81304,Commercial Aircraft,,,"221,150,344","221,150,344"
2007,Ireland,2-Aug-07,Ryanair Ltd.,The Boeing Co.,,83337,Commercial Aircraft,,,"393,975,000","393,975,000"
2007,Israel,12-Jul-07,El Al Airlines,The Boeing Co.,,82109,Commercial Aircraft,,,"227,630,000","227,630,000"
2007,Kazakhstan,7-Dec-06,JSC Kazagrofinance JSC ,Deere and Co.,Halyk Savings Bank of Kazakhstan,82879,Tractors and Crop Sprayers ,,,"12,735,332",
2007,Kazakhstan,11-Apr-07,JSC Alliance Bank,Diebold Holding Co. Inc.,None,82664,ATM Machines (Credit Increase)  ,,,"151,120",
2007,Kazakhstan,26-Apr-07, Kazkommertsbank OJSC  ,Diebold Holding Co. Inc.,None  ,83160,ATM Machines  ,,,"15,826,975",
2007,Kenya,15-Feb-07,Kenya Airways Ltd.,The Boeing Co.,,83037,Commercial Aircraft,,,"111,524,337","111,524,337"
2007,"Korea, Republic of",25-Jun-07,Asiana Airlines,The Boeing Co.,,83265,Commercial Aircraft,,,"242,534,577","242,534,577"
2007,Mexico,15-Nov-06,Comisión Federal de Electricidad (CFE) ,Siemens Westinghouse Power Corp. ,None  ,82564,Power Plant Equipment and Services  ,,,"27,319,313",
2007,Mexico,30-Nov-06,The Pemex Project Funding Master Trust ,"Corpac Steel Products Corp., et. al. ","Petróleos Mexicanos, et. al.  ",82750,Small-Business Facility for Petroleum Refinery Equipment  ,,,"100,000,000",
2007,Mexico,25-Jan-07,Grupo Ferroviario Mexicano,General Electric Co.,Ferrocarril Mexicano S.A.,82929,Locomotives,, ,"107,004,369",
2007,Mexico,27-Sep-07,Grupo Ferroviario Mexicano,General Electric Co.,Ferrocarril Mexicano S.A.,82947,Locomotives,,,"80,429,188",
2007,Mexico,27-Sep-07,The Pemex Project Funding Master Trust ,AGI Industries  ,"Petróleos Mexicanos, et. al.",83385,Oil Field Development Equipment and Services for the Cantarell Oil Field  ,,,"200,000,000",
2007,Miscellaneous,7-Dec-06,ACG Capital Group Corp.  ,The Boeing Co.,,82837,Commercial Aircraft  ,,,"60,748,547","60,748,547"
