County Name,State Name,State FIPS,County FIPS,Total Deposits ($),TARP CPP Deposits ($),TARP CPP Deposits (%),Total Branches ,TARP CPP Branches,TARP CPP Branches (%),Total HMDA Loan Originations (#),TARP HMDA Loan Originations (#),TARP HMDA Loan Originations (%)
Muscatine County,Iowa,19,139,704452000,36587000,0.0519,17,2,0.1176,458,235,0.5135
O'Brien County,Iowa,19,141,380973000,0,0,14,0,0,47,15,0.3381
Osceola County,Iowa,19,143,157924000,25049000,0.1586,6,1,0.1667,46,23,0.5111
Page County,Iowa,19,145,349106000,0,0,13,0,0,116,44,0.3867
Palo Alto County,Iowa,19,147,252779000,33534000,0.1327,9,1,0.1111,73,33,0.462
Plymouth County,Iowa,19,149,763976000,0,0,16,0,0,163,51,0.3129
Pocahontas County,Iowa,19,151,190201000,0,0,10,0,0,44,25,0.5714
Polk County,Iowa,19,153,10487159000,4279060000,0.408,163,46,0.2822,9201,4666,0.5072
Pottawattamie County,Iowa,19,155,1226540000,263568000,0.2149,34,7,0.2059,1626,711,0.4376
Poweshiek County,Iowa,19,157,343593000,78349000,0.228,11,3,0.2727,275,132,0.4808
Ringgold County,Iowa,19,159,78436000,41024000,0.523,5,2,0.4,85,56,0.6641
Sac County,Iowa,19,161,291756000,0,0,14,0,0,33,6,0.1988
Scott County,Iowa,19,163,2613592000,1657292000,0.6341,55,26,0.4727,3284,1587,0.4834
Shelby County,Iowa,19,165,367186000,0,0,13,0,0,77,20,0.2655
Sioux County,Iowa,19,167,1073909000,12558000,0.0117,24,2,0.0833,92,24,0.2629
Story County,Iowa,19,169,1434499000,291984000,0.2035,44,11,0.25,1238,550,0.4448
Tama County,Iowa,19,171,316962000,81682000,0.2577,13,3,0.2308,222,117,0.5273
Taylor County,Iowa,19,173,85150000,0,0,6,0,0,46,20,0.4554
Union County,Iowa,19,175,296509000,0,0,9,0,0,189,121,0.6429
Van Buren County,Iowa,19,177,135520000,0,0,9,0,0,21,7,0.3559
Wapello County,Iowa,19,179,405781000,131057000,0.323,13,4,0.3077,368,173,0.4724
Warren County,Iowa,19,181,444438000,96954000,0.2181,17,3,0.1765,967,500,0.5174
Washington County,Iowa,19,183,466132000,21897000,0.047,12,1,0.0833,153,28,0.1861
Wayne County,Iowa,19,185,109383000,7979000,0.0729,6,1,0.1667,43,19,0.4526
Webster County,Iowa,19,187,722355000,207826000,0.2877,18,3,0.1667,674,458,0.6801
Winnebago County,Iowa,19,189,293694000,0,0,7,0,0,70,36,0.5147
Winneshiek County,Iowa,19,191,481630000,0,0,16,0,0,49,12,0.2565
Woodbury County,Iowa,19,193,1948616000,568480000,0.2917,48,8,0.1667,1164,461,0.3969
Worth County,Iowa,19,195,121022000,0,0,5,0,0,113,79,0.7062
Wright County,Iowa,19,197,314447000,26235000,0.0834,12,2,0.1667,86,42,0.4914
Allen County,Kansas,20,1,251876000,0,0,9,0,0,90,23,0.2655
Anderson County,Kansas,20,3,176180000,0,0,9,0,0,67,23,0.3526
Atchison County,Kansas,20,5,332828000,0,0,11,0,0,163,79,0.4851
Barber County,Kansas,20,7,138449000,0,0,8,0,0,26,11,0.4262
Barton County,Kansas,20,9,832191000,161309000,0.1938,20,4,0.2,107,22,0.2074
Bourbon County,Kansas,20,11,240067000,0,0,9,0,0,86,22,0.2583
Brown County,Kansas,20,13,286803000,94867000,0.3308,11,1,0.0909,102,46,0.4574
Butler County,Kansas,20,15,804780000,142401000,0.1769,34,4,0.1176,1257,603,0.4798
Chase County,Kansas,20,17,36602000,0,0,4,0,0,14,7,0.5385
Chautauqua County,Kansas,20,19,52498000,0,0,3,0,0,12,4,0.3636
Cherokee County,Kansas,20,21,255233000,0,0,11,0,0,185,85,0.4625
Cheyenne County,Kansas,20,23,69316000,0,0,4,0,0,10,1,0.1961
Clark County,Kansas,20,25,85040000,0,0,3,0,0,15,7,0.4839
Clay County,Kansas,20,27,188392000,65104000,0.3456,8,2,0.25,79,29,0.3744
Cloud County,Kansas,20,29,207610000,46215000,0.2226,11,3,0.2727,24,5,0.2474
Coffey County,Kansas,20,31,241540000,0,0,10,0,0,72,24,0.3412
Comanche County,Kansas,20,33,65346000,0,0,3,0,0,5,1,0.3846
Cowley County,Kansas,20,35,548603000,0,0,20,0,0,383,183,0.4793
Crawford County,Kansas,20,37,697000000,199072000,0.2856,27,4,0.1481,350,130,0.3715
Decatur County,Kansas,20,39,79474000,0,0,5,0,0,14,7,0.5385
Dickinson County,Kansas,20,41,375084000,0,0,15,0,0,201,88,0.4408
Doniphan County,Kansas,20,43,166963000,21952000,0.1315,9,1,0.1111,37,11,0.3008
Douglas County,Kansas,20,45,1597162000,260374000,0.163,58,6,0.1034,1600,698,0.4364
Edwards County,Kansas,20,47,72760000,0,0,4,0,0,16,4,0.3019
Elk County,Kansas,20,49,34403000,0,0,4,0,0,14,5,0.4118
Ellis County,Kansas,20,51,622979000,46945000,0.0754,16,1,0.0625,187,71,0.384
Ellsworth County,Kansas,20,53,157366000,0,0,8,0,0,15,6,0.4412
Finney County,Kansas,20,55,543029000,76592000,0.141,17,2,0.1176,164,42,0.2562
Ford County,Kansas,20,57,401336000,42438000,0.1057,15,1,0.0667,263,114,0.434
Franklin County,Kansas,20,59,376166000,0,0,13,0,0,355,119,0.3359
Geary County,Kansas,20,61,353773000,10541000,0.0298,16,2,0.125,337,127,0.3787
Gove County,Kansas,20,63,85349000,0,0,5,0,0,7,1,0.2333
Graham County,Kansas,20,65,82246000,0,0,5,0,0,12,7,0.6316
Grant County,Kansas,20,67,146899000,0,0,3,0,0,60,43,0.7317
Gray County,Kansas,20,69,113346000,0,0,4,0,0,36,15,0.4337
Greeley County,Kansas,20,71,39470000,39470000,1,1,1,1,8,6,0.8
Greenwood County,Kansas,20,73,130466000,0,0,9,0,0,39,11,0.2868
Hamilton County,Kansas,20,75,131244000,0,0,2,0,0,15,8,0.5769
Harper County,Kansas,20,77,164625000,14964000,0.0909,6,2,0.3333,48,16,0.3504
Harvey County,Kansas,20,79,519411000,44535000,0.0857,24,1,0.0417,347,103,0.2981
Haskell County,Kansas,20,81,106059000,0,0,3,0,0,27,15,0.5625
Hodgeman County,Kansas,20,83,42755000,0,0,2,0,0,10,6,0.6667
Jackson County,Kansas,20,85,233511000,37522000,0.1607,9,2,0.2222,152,44,0.2895
Jefferson County,Kansas,20,87,168638000,0,0,8,0,0,283,119,0.4218
Jewell County,Kansas,20,89,74160000,0,0,7,0,0,6,3,0.5
Johnson County,Kansas,20,91,14509970000,3999372000,0.2756,241,51,0.2116,12031,6558,0.5451
Kearny County,Kansas,20,93,105070000,0,0,3,0,0,17,6,0.3864
Kingman County,Kansas,20,95,156118000,0,0,4,0,0,59,18,0.3105
Kiowa County,Kansas,20,97,112721000,24628000,0.2185,5,2,0.4,12,6,0.5217
Labette County,Kansas,20,99,416171000,0,0,18,0,0,138,47,0.3424
Lane County,Kansas,20,101,75327000,0,0,2,0,0,6,3,0.6
Leavenworth County,Kansas,20,103,851026000,111097000,0.1305,29,4,0.1379,1247,570,0.4571
Lincoln County,Kansas,20,105,97884000,0,0,4,0,0,7,3,0.4375
Linn County,Kansas,20,107,147912000,0,0,9,0,0,94,28,0.3032
Logan County,Kansas,20,109,103033000,0,0,4,0,0,20,16,0.8333
Lyon County,Kansas,20,111,513669000,53263000,0.1037,18,2,0.1111,376,195,0.5208
Marion County,Kansas,20,115,217557000,0,0,12,0,0,66,20,0.307
Marshall County,Kansas,20,117,400559000,99841000,0.2493,14,4,0.2857,48,21,0.4444
McPherson County,Kansas,20,113,630179000,94168000,0.1494,26,2,0.0769,165,55,0.3367
Meade County,Kansas,20,119,133626000,0,0,4,0,0,43,30,0.7167
Miami County,Kansas,20,121,461738000,0,0,15,0,0,578,240,0.4155
Mitchell County,Kansas,20,123,181227000,0,0,8,0,0,12,1,0.1558
Montgomery County,Kansas,20,125,575536000,101942000,0.1771,20,4,0.2,416,211,0.5073
Morris County,Kansas,20,127,114825000,0,0,6,0,0,26,6,0.25
Morton County,Kansas,20,129,95204000,40178000,0.422,3,1,0.3333,25,16,0.6757
Nemaha County,Kansas,20,131,440909000,224882000,0.51,16,9,0.5625,107,61,0.5753
Neosho County,Kansas,20,133,337694000,0,0,17,0,0,89,28,0.3248
Ness County,Kansas,20,135,90257000,0,0,4,0,0,10,3,0.3125
Norton County,Kansas,20,137,149140000,0,0,6,0,0,13,8,0.619
Osage County,Kansas,20,139,231380000,0,0,11,0,0,232,88,0.3828
Osborne County,Kansas,20,141,137289000,0,0,5,0,0,9,2,0.2368
Ottawa County,Kansas,20,143,164095000,0,0,5,0,0,47,20,0.4434
Pawnee County,Kansas,20,145,121998000,12561000,0.103,5,1,0.2,27,6,0.2432
Phillips County,Kansas,20,147,311426000,0,0,9,0,0,13,8,0.619
Pottawatomie County,Kansas,20,149,478415000,121917000,0.2548,12,1,0.0833,267,115,0.4327
Pratt County,Kansas,20,151,259669000,0,0,7,0,0,90,51,0.5732
Rawlins County,Kansas,20,153,82525000,0,0,5,0,0,3,0,0.3333
Reno County,Kansas,20,155,859246000,123733000,0.144,27,4,0.1481,686,291,0.4242
Republic County,Kansas,20,157,142470000,16704000,0.1172,8,1,0.125,15,7,0.5
Rice County,Kansas,20,159,210044000,0,0,11,0,0,44,18,0.419
Riley County,Kansas,20,161,1253157000,37838000,0.0302,30,4,0.1333,628,273,0.4358
Rooks County,Kansas,20,163,171331000,0,0,6,0,0,27,14,0.551
Rush County,Kansas,20,165,89740000,0,0,5,0,0,10,2,0.2222
Russell County,Kansas,20,167,195877000,0,0,7,0,0,21,4,0.2
Saline County,Kansas,20,169,1268279000,72824000,0.0574,26,2,0.0769,464,153,0.331
Scott County,Kansas,20,171,210450000,0,0,3,0,0,13,4,0.3171
Sedgwick County,Kansas,20,173,7933180000,1342038000,0.1692,169,19,0.1124,9753,5212,0.5345
Seward County,Kansas,20,175,325419000,41711000,0.1282,10,2,0.2,316,256,0.8103
Shawnee County,Kansas,20,177,3805151000,477571000,0.1255,87,15,0.1724,2661,1204,0.4526
Sheridan County,Kansas,20,179,132424000,0,0,4,0,0,11,7,0.6875
Sherman County,Kansas,20,181,184041000,0,0,4,0,0,21,4,0.2143
Smith County,Kansas,20,183,110355000,0,0,6,0,0,7,2,0.3333
Stafford County,Kansas,20,185,136959000,47302000,0.3454,6,2,0.3333,15,5,0.375
Stanton County,Kansas,20,187,61338000,0,0,2,0,0,13,9,0.7647
Stevens County,Kansas,20,189,117131000,0,0,2,0,0,63,51,0.8182
Sumner County,Kansas,20,191,408692000,20304000,0.0497,17,1,0.0588,296,109,0.3691
Thomas County,Kansas,20,193,206805000,0,0,8,0,0,42,16,0.4
Trego County,Kansas,20,195,93088000,0,0,3,0,0,12,6,0.5714
Wabaunsee County,Kansas,20,197,91870000,0,0,7,0,0,67,24,0.3583
Wallace County,Kansas,20,199,28091000,0,0,1,0,0,5,1,0.3333
Washington County,Kansas,20,201,135395000,37074000,0.2738,8,3,0.375,19,8,0.4524
Wichita County,Kansas,20,203,77286000,0,0,2,0,0,8,5,0.7273
Wilson County,Kansas,20,205,219687000,0,0,6,0,0,52,17,0.3444
Woodson County,Kansas,20,207,74819000,0,0,4,0,0,14,2,0.209
Wyandotte County,Kansas,20,209,3578190000,2168189000,0.6059,45,12,0.2667,2592,1344,0.5189
Adair County,Kentucky,21,1,312073000,0,0,9,0,0,105,53,0.5122
Allen County,Kentucky,21,3,172560000,30498000,0.1767,6,2,0.3333,230,85,0.371
Anderson County,Kentucky,21,5,306660000,189638000,0.6184,9,5,0.5556,350,179,0.5124
Ballard County,Kentucky,21,7,114465000,42090000,0.3677,6,1,0.1667,90,51,0.5696
Barren County,Kentucky,21,9,630855000,314461000,0.4985,18,10,0.5556,362,225,0.6241
Bath County,Kentucky,21,11,152420000,0,0,8,0,0,61,17,0.2947
Bell County,Kentucky,21,13,491528000,0,0,13,0,0,88,16,0.1905
Boone County,Kentucky,21,15,1848560000,1361212000,0.7364,64,42,0.6562,2841,1652,0.5817
Bourbon County,Kentucky,21,17,288123000,49132000,0.1705,8,1,0.125,239,102,0.4275
Boyd County,Kentucky,21,19,895893000,139050000,0.1552,27,5,0.1852,696,308,0.4427
Boyle County,Kentucky,21,21,527011000,69923000,0.1327,19,3,0.1579,316,158,0.5008
Bracken County,Kentucky,21,23,89022000,21265000,0.2389,5,1,0.2,113,42,0.3717
Breathitt County,Kentucky,21,25,188569000,0,0,4,0,0,30,8,0.2703
Breckinridge County,Kentucky,21,27,253797000,29591000,0.1166,8,1,0.125,171,73,0.4296
Bullitt County,Kentucky,21,29,577667000,312143000,0.5404,19,7,0.3684,1489,811,0.5448
Butler County,Kentucky,21,31,212180000,99180000,0.4674,6,2,0.3333,124,78,0.6359
Caldwell County,Kentucky,21,33,218315000,28319000,0.1297,6,1,0.1667,158,92,0.5874
Calloway County,Kentucky,21,35,669126000,422575000,0.6315,15,8,0.5333,717,566,0.7896
Campbell County,Kentucky,21,37,1177455000,924728000,0.7854,38,32,0.8421,2295,1588,0.6923
Carlisle County,Kentucky,21,39,122701000,0,0,4,0,0,26,18,0.7222
Carroll County,Kentucky,21,41,145886000,33028000,0.2264,7,1,0.1429,135,72,0.5378
Carter County,Kentucky,21,43,318822000,14966000,0.0469,10,1,0.1,178,90,0.5086
Casey County,Kentucky,21,45,180583000,0,0,7,0,0,83,40,0.4854
Christian County,Kentucky,21,47,855838000,441274000,0.5156,21,14,0.6667,1125,651,0.5793
Clark County,Kentucky,21,49,643247000,94153000,0.1464,16,2,0.125,426,142,0.3354
Clay County,Kentucky,21,51,209289000,0,0,6,0,0,103,57,0.5568
Clinton County,Kentucky,21,53,156791000,0,0,4,0,0,40,16,0.4211
Crittenden County,Kentucky,21,55,114043000,15851000,0.139,5,1,0.2,67,38,0.5678
Cumberland County,Kentucky,21,57,128761000,6969000,0.0541,3,1,0.3333,30,14,0.4839
Daviess County,Kentucky,21,59,1655336000,975542000,0.5893,44,27,0.6136,1648,988,0.6001
Edmonson County,Kentucky,21,61,168030000,33614000,0.2,2,1,0.5,163,56,0.3483
Elliott County,Kentucky,21,63,44983000,0,0,2,0,0,14,3,0.25
Estill County,Kentucky,21,65,129375000,62183000,0.4806,5,3,0.6,111,42,0.3868
Fayette County,Kentucky,21,67,5415630000,2561079000,0.4729,117,49,0.4188,5456,2999,0.5497
Fleming County,Kentucky,21,69,257971000,16162000,0.0627,9,1,0.1111,113,41,0.3705
Floyd County,Kentucky,21,71,471179000,102977000,0.2186,16,3,0.1875,345,175,0.5088
Franklin County,Kentucky,21,73,893218000,497029000,0.5564,25,9,0.36,458,177,0.3878
Fulton County,Kentucky,21,75,230552000,0,0,5,0,0,43,29,0.6825
Gallatin County,Kentucky,21,77,40068000,28999000,0.7237,2,1,0.5,150,85,0.5703
Garrard County,Kentucky,21,79,173690000,0,0,7,0,0,222,100,0.4512
Grant County,Kentucky,21,81,282825000,54029000,0.191,16,4,0.25,388,180,0.4652
Graves County,Kentucky,21,83,430564000,201334000,0.4676,12,5,0.4167,488,366,0.7519
Grayson County,Kentucky,21,85,338192000,11937000,0.0353,12,1,0.0833,207,63,0.3058
Green County,Kentucky,21,87,168110000,86529000,0.5147,5,1,0.2,82,19,0.2384
Greenup County,Kentucky,21,89,381849000,92720000,0.2428,17,3,0.1765,494,199,0.4029
Hancock County,Kentucky,21,91,158434000,6506000,0.0411,5,1,0.2,85,31,0.3648
Hardin County,Kentucky,21,93,1273367000,742547000,0.5831,45,18,0.4,1271,446,0.3512
Harlan County,Kentucky,21,95,368930000,121119000,0.3283,10,3,0.3,153,71,0.4693
Harrison County,Kentucky,21,97,271372000,66230000,0.2441,10,1,0.1,193,81,0.4223
Hart County,Kentucky,21,99,159653000,134038000,0.8396,6,5,0.8333,275,149,0.5424
Henderson County,Kentucky,21,101,548970000,257528000,0.4691,16,8,0.5,672,358,0.5329
Henry County,Kentucky,21,103,257762000,137010000,0.5315,9,2,0.2222,228,102,0.4497
Hickman County,Kentucky,21,105,79847000,0,0,2,0,0,32,21,0.6667
Hopkins County,Kentucky,21,107,569657000,351936000,0.6178,22,16,0.7273,656,476,0.7265
Jackson County,Kentucky,21,109,110531000,0,0,4,0,0,55,27,0.4955
Jefferson County,Kentucky,21,111,15041785000,8409643000,0.5591,293,164,0.5597,13601,7658,0.5631
Jessamine County,Kentucky,21,113,495246000,167669000,0.3386,19,6,0.3158,894,502,0.5619
Johnson County,Kentucky,21,115,337623000,0,0,8,0,0,287,176,0.6146
Kenton County,Kentucky,21,117,1957183000,1536895000,0.7853,70,52,0.7429,3628,2263,0.6239
Knott County,Kentucky,21,119,140313000,0,0,3,0,0,33,7,0.226
Knox County,Kentucky,21,121,248125000,39350000,0.1586,11,2,0.1818,179,83,0.4661
Larue County,Kentucky,21,123,221394000,0,0,9,0,0,103,19,0.1856
Laurel County,Kentucky,21,125,665434000,44343000,0.0666,24,2,0.0833,583,284,0.4879
Lawrence County,Kentucky,21,127,123325000,0,0,5,0,0,90,41,0.4569
Lee County,Kentucky,21,129,85764000,0,0,3,0,0,9,0,0.0865
Leslie County,Kentucky,21,131,94363000,0,0,4,0,0,17,5,0.3333
Letcher County,Kentucky,21,133,263613000,0,0,9,0,0,87,12,0.1419
Lewis County,Kentucky,21,135,100112000,0,0,7,0,0,65,19,0.3009
Lincoln County,Kentucky,21,137,206945000,0,0,8,0,0,219,96,0.4424
Livingston County,Kentucky,21,139,116807000,91201000,0.7808,6,4,0.6667,142,101,0.7136
Logan County,Kentucky,21,141,403343000,114802000,0.2846,11,3,0.2727,362,198,0.5485
Lyon County,Kentucky,21,143,197489000,184868000,0.9361,3,2,0.6667,171,117,0.6867
Madison County,Kentucky,21,151,858920000,300878000,0.3503,34,10,0.2941,1238,732,0.5915
Magoffin County,Kentucky,21,153,125026000,0,0,5,0,0,50,28,0.5682
Marion County,Kentucky,21,155,258573000,44287000,0.1713,10,2,0.2,332,221,0.6667
Marshall County,Kentucky,21,157,514395000,134312000,0.2611,13,4,0.3077,493,354,0.7187
Martin County,Kentucky,21,159,107025000,0,0,3,0,0,46,26,0.5679
Mason County,Kentucky,21,161,275662000,125275000,0.4545,12,3,0.25,257,178,0.6946
McCracken County,Kentucky,21,145,1133427000,645915000,0.5699,27,15,0.5556,1056,738,0.6993
McCreary County,Kentucky,21,147,139465000,0,0,5,0,0,83,41,0.494
McLean County,Kentucky,21,149,156060000,49664000,0.3182,8,2,0.25,91,39,0.4313
Meade County,Kentucky,21,163,238367000,130770000,0.5486,6,3,0.5,316,101,0.3208
Menifee County,Kentucky,21,165,28418000,0,0,1,0,0,53,10,0.1963
Mercer County,Kentucky,21,167,221127000,124462000,0.5629,7,3,0.4286,308,147,0.4775
Metcalfe County,Kentucky,21,169,136021000,0,0,5,0,0,50,30,0.6098
Monroe County,Kentucky,21,171,172709000,15627000,0.0905,8,1,0.125,51,26,0.51
Montgomery County,Kentucky,21,173,422862000,0,0,13,0,0,207,41,0.199
Morgan County,Kentucky,21,175,173229000,0,0,6,0,0,38,14,0.3918
Muhlenberg County,Kentucky,21,177,401774000,192567000,0.4793,10,4,0.4,422,301,0.7153
Nelson County,Kentucky,21,179,674438000,49628000,0.0736,19,2,0.1053,520,180,0.3474
Nicholas County,Kentucky,21,181,75191000,0,0,3,0,0,55,21,0.3957
Ohio County,Kentucky,21,183,294465000,80734000,0.2742,12,2,0.1667,243,149,0.6152
Oldham County,Kentucky,21,185,480314000,211957000,0.4413,15,7,0.4667,1455,867,0.5961
Owen County,Kentucky,21,187,81223000,0,0,4,0,0,110,46,0.4183
Owsley County,Kentucky,21,189,34283000,0,0,1,0,0,3,0,0.15
Pendleton County,Kentucky,21,191,140424000,63970000,0.4555,7,2,0.2857,206,111,0.5435
Perry County,Kentucky,21,193,539625000,0,0,16,0,0,62,13,0.2206
Pike County,Kentucky,21,195,1149871000,392657000,0.3415,30,12,0.4,549,243,0.4427
Powell County,Kentucky,21,197,125523000,0,0,4,0,0,63,7,0.1243
Pulaski County,Kentucky,21,199,974546000,115249000,0.1183,30,3,0.1,673,325,0.4835
Robertson County,Kentucky,21,201,16910000,16910000,1,1,1,1,29,15,0.537
Rockcastle County,Kentucky,21,203,159083000,0,0,6,0,0,99,37,0.375
Rowan County,Kentucky,21,205,248274000,85382000,0.3439,10,2,0.2,200,87,0.4396
Russell County,Kentucky,21,207,289572000,12033000,0.0416,9,1,0.1111,171,92,0.5429
Scott County,Kentucky,21,209,489439000,205427000,0.4197,19,6,0.3158,796,347,0.4362
Shelby County,Kentucky,21,211,551088000,64622000,0.1173,16,3,0.1875,592,237,0.4019
Simpson County,Kentucky,21,213,297326000,104937000,0.3529,10,6,0.6,275,103,0.3757
Spencer County,Kentucky,21,215,103696000,0,0,3,0,0,340,167,0.4928
Taylor County,Kentucky,21,217,342993000,0,0,13,0,0,154,54,0.3516
Todd County,Kentucky,21,219,189152000,72973000,0.3858,8,3,0.375,187,139,0.748
Trigg County,Kentucky,21,221,170118000,67777000,0.3984,6,2,0.3333,296,170,0.5759
Trimble County,Kentucky,21,223,130230000,0,0,2,0,0,95,28,0.2997
Union County,Kentucky,21,225,241367000,171485000,0.7105,7,5,0.7143,177,72,0.4107
Warren County,Kentucky,21,227,1670646000,890779000,0.5332,55,25,0.4545,2049,1137,0.5553
Washington County,Kentucky,21,229,226171000,71635000,0.3167,6,2,0.3333,165,108,0.6548
Wayne County,Kentucky,21,231,282428000,24314000,0.0861,7,1,0.1429,162,51,0.3202
Webster County,Kentucky,21,233,228557000,68656000,0.3004,10,5,0.5,137,56,0.4127
Whitley County,Kentucky,21,235,418111000,75399000,0.1803,14,2,0.1429,198,61,0.3103
Wolfe County,Kentucky,21,237,63591000,0,0,3,0,0,27,4,0.1543
Woodford County,Kentucky,21,239,483690000,353382000,0.7306,10,5,0.5,470,270,0.5753
Acadia Parish,Louisiana,22,1,689489000,52584000,0.0763,21,2,0.0952,516,222,0.4314
Allen Parish,Louisiana,22,3,183512000,66503000,0.3624,10,3,0.3,177,73,0.4155
Ascension Parish,Louisiana,22,5,858664000,661676000,0.7706,28,13,0.4643,2376,1285,0.5412
Assumption Parish,Louisiana,22,7,146641000,78516000,0.5354,7,2,0.2857,285,154,0.5429
Avoyelles Parish,Louisiana,22,9,490131000,98646000,0.2013,22,4,0.1818,331,91,0.2751
Beauregard Parish,Louisiana,22,11,306463000,40541000,0.1323,12,1,0.0833,270,95,0.3525
Bienville Parish,Louisiana,22,13,166848000,0,0,8,0,0,76,29,0.3838
Bossier Parish,Louisiana,22,15,956730000,587110000,0.6137,27,13,0.4815,2047,1067,0.5215
Caddo Parish,Louisiana,22,17,3578081000,2699234000,0.7544,73,40,0.5479,3779,2121,0.5613
Calcasieu Parish,Louisiana,22,19,2607623000,1619851000,0.6212,72,35,0.4861,2672,1291,0.4834
Caldwell Parish,Louisiana,22,21,173564000,0,0,5,0,0,39,15,0.398
Cameron Parish,Louisiana,22,23,144406000,42414000,0.2937,4,1,0.25,50,13,0.2674
Catahoula Parish,Louisiana,22,25,134872000,0,0,6,0,0,35,6,0.1966
Claiborne Parish,Louisiana,22,27,191503000,103634000,0.5412,8,4,0.5,124,51,0.4161
Concordia Parish,Louisiana,22,29,357732000,0,0,7,0,0,93,44,0.4819
De Soto Parish,Louisiana,22,31,361149000,181892000,0.5036,12,5,0.4167,321,180,0.5612
East Baton Rouge Parish,Louisiana,22,33,10464196000,8362386000,0.7991,153,95,0.6209,7219,3680,0.5098
East Carroll Parish,Louisiana,22,35,79853000,36489000,0.457,2,1,0.5,43,31,0.7414
East Feliciana Parish,Louisiana,22,37,208096000,0,0,6,0,0,160,48,0.3048
Evangeline Parish,Louisiana,22,39,502696000,0,0,12,0,0,171,48,0.2864
Franklin Parish,Louisiana,22,41,236094000,0,0,9,0,0,79,22,0.2904
Grant Parish,Louisiana,22,43,85614000,0,0,7,0,0,177,55,0.3149
Iberia Parish,Louisiana,22,45,1264930000,946891000,0.7486,28,19,0.6786,832,469,0.5641
Iberville Parish,Louisiana,22,47,400154000,0,0,13,0,0,231,65,0.2855
Jackson Parish,Louisiana,22,49,203478000,0,0,5,0,0,134,78,0.5852
Jefferson Parish,Louisiana,22,51,9286089000,6219031000,0.6697,137,74,0.5401,5946,3078,0.5177
Jefferson Davis Parish,Louisiana,22,53,476752000,147339000,0.309,16,5,0.3125,344,140,0.4081
La Salle Parish,Louisiana,22,59,203715000,0,0,10,0,0,56,7,0.1276
Lafayette Parish,Louisiana,22,55,3918381000,3027004000,0.7725,97,56,0.5773,3475,1733,0.4988
Lafourche Parish,Louisiana,22,57,1771634000,1198749000,0.6766,44,21,0.4773,1405,725,0.5164
Lincoln Parish,Louisiana,22,61,738411000,589203000,0.7979,17,10,0.5882,685,425,0.621
Livingston Parish,Louisiana,22,63,755068000,335069000,0.4438,22,10,0.4545,2365,1117,0.4727
Madison Parish,Louisiana,22,65,131079000,69006000,0.5264,6,2,0.3333,77,49,0.6417
Morehouse Parish,Louisiana,22,67,266505000,135250000,0.5075,10,6,0.6,350,222,0.6364
Natchitoches Parish,Louisiana,22,69,470939000,111609000,0.237,17,3,0.1765,278,94,0.3415
Orleans Parish,Louisiana,22,71,10554100000,9500301000,0.9002,94,71,0.7553,4139,1812,0.438
Ouachita Parish,Louisiana,22,73,2179791000,1540298000,0.7066,58,35,0.6034,1897,975,0.5142
Plaquemines Parish,Louisiana,22,75,381632000,274560000,0.7194,5,3,0.6,183,66,0.3638
Pointe Coupee Parish,Louisiana,22,77,367536000,169723000,0.4618,9,4,0.4444,260,107,0.4153
Rapides Parish,Louisiana,22,79,1755686000,926504000,0.5277,57,22,0.386,1286,423,0.3291
Red River Parish,Louisiana,22,81,138156000,0,0,3,0,0,36,9,0.2727
Richland Parish,Louisiana,22,83,275669000,16751000,0.0608,11,1,0.0909,124,36,0.2904
Sabine Parish,Louisiana,22,85,357082000,146972000,0.4116,16,7,0.4375,160,51,0.3213
St. Bernard Parish,Louisiana,22,87,1008523000,829204000,0.8222,12,10,0.8333,420,171,0.4094
St. Charles Parish,Louisiana,22,89,573031000,298227000,0.5204,14,7,0.5,854,429,0.5024
St. Helena Parish,Louisiana,22,91,77852000,0,0,3,0,0,54,12,0.2358
St. James Parish,Louisiana,22,93,321853000,132735000,0.4124,7,3,0.4286,226,93,0.4139
St. John the Baptist Parish,Louisiana,22,95,509313000,385266000,0.7564,12,8,0.6667,750,336,0.448
St. Landry Parish,Louisiana,22,97,1098178000,202328000,0.1842,40,6,0.15,750,364,0.4858
St. Martin Parish,Louisiana,22,99,513773000,50760000,0.0988,17,2,0.1176,526,155,0.2955
St. Mary Parish,Louisiana,22,101,1002693000,437004000,0.4358,22,10,0.4545,469,204,0.4371
St. Tammany Parish,Louisiana,22,103,3964872000,2726322000,0.6876,94,44,0.4681,4983,2613,0.5244
Tangipahoa Parish,Louisiana,22,105,1251344000,246627000,0.1971,40,10,0.25,1153,411,0.3572
Tensas Parish,Louisiana,22,107,112213000,0,0,5,0,0,29,7,0.2613
Terrebonne Parish,Louisiana,22,109,1778404000,1088014000,0.6118,41,26,0.6341,1766,1051,0.5952
Union Parish,Louisiana,22,111,253480000,142285000,0.5613,6,3,0.5,286,143,0.5009
Vermilion Parish,Louisiana,22,113,867476000,268208000,0.3092,27,5,0.1852,511,269,0.5279
Vernon Parish,Louisiana,22,115,247000000,0,0,11,0,0,260,84,0.3262
Washington Parish,Louisiana,22,117,426882000,109234000,0.2559,14,4,0.2857,382,118,0.3108
Webster Parish,Louisiana,22,119,644908000,382777000,0.5935,19,9,0.4737,387,174,0.4516
West Baton Rouge Parish,Louisiana,22,121,213978000,0,0,7,0,0,278,112,0.4064
West Carroll Parish,Louisiana,22,123,128803000,99839000,0.7751,6,2,0.3333,98,65,0.6667
