Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$44,456,721","$46,017,065","$54,399,281","$54,329,216","$55,036,528","$59,261,378","$61,492,362","$67,769,721","$75,734,849","$71,190,509","$78,442,712","$81,077,872","$75,679,704","$79,426,379","$81,583,536","$83,677,330","$85,138,566","$107,970,846"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858","$3,557,592","$3,901,824","$4,090,047","$4,116,439","$4,109,720","$4,330,902","$4,517,316","$4,401,098","$4,335,575","$4,502,176","$4,488,654","$5,342,687","$5,588,122","$4,423,482","$4,131,428","$3,371,861","$6,666,523","$7,862,183"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205","$4,487,625","$5,023,307","$5,477,014","$5,712,270","$6,169,312","$7,253,385","$7,973,901","$8,878,331","$9,576,682","$6,960,413","$7,837,840","$8,505,024","$8,937,798","$9,368,452","$9,099,278","$11,517,104","$15,294,888","$17,732,585"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205","$335,996","$356,994","$438,051","$401,434","$160,976","$611,878","$743,025","$749,761","$705,712","$791,338","$810,539","$810,051","$1,018,853","$1,090,503","$1,073,990","$837,548","$1,061,083","$1,132,685"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816","$285,813","$306,233","$283,679","$268,654","$276,403","$372,739","$348,969","$321,651","$317,803","$313,654","$363,418","$323,859","$411,111","$452,130","$431,948","$474,278","$538,185","$700,186"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049","$2,101,785","$2,248,548","$2,359,936","$2,462,080","$2,781,908","$3,147,646","$3,460,219","$3,917,414","$4,092,997","$4,428,113","$4,563,489","$4,398,327","$4,727,872","$4,503,709","$4,614,359","$5,337,685","$5,442,772","$6,282,968"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138","$26,669,234","$27,089,482","$28,464,434","$29,268,385","$31,758,042","$33,799,937","$36,956,190","$37,838,075","$43,866,018","$46,767,190","$54,117,025","$54,778,216","$54,444,840","$57,142,621","$60,936,514","$70,209,334","$77,597,070","$82,511,223"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625","$280,666","$304,466","$378,234","$521,566","$673,541","$638,074","$693,049","$678,398","$650,357","$664,062","$626,466","$734,191","$713,842","$822,604","$753,682","$706,326","$918,925","$960,287"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744","$1,452,850","$1,756,505","$1,806,974","$1,769,264","$1,773,965","$1,903,322","$1,975,999","$2,260,994","$2,011,155","$2,275,861","$2,269,409","$3,060,957","$3,304,700","$3,653,174","$3,998,286","$4,593,133","$4,996,229","$5,072,992"
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",$0,$0,,,,,,,,,,,,,,,,
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443","$56,871","$55,854","$59,913","$63,422",,,"$73,750","$69,922","$76,506","$85,521","$85,614","$98,997","$95,988","$101,290","$98,735","$101,551","$116,354","$131,521"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851","$797,852","$885,885","$992,783","$1,077,101","$1,110,940","$1,317,851","$1,331,586","$1,338,708","$1,395,357","$1,648,400","$1,624,059","$1,572,646","$1,577,366",,"$2,154,112","$2,308,318","$2,809,566","$3,523,056"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826","$1,248,315","$1,209,171","$1,313,710","$1,455,164","$1,569,962","$1,584,932","$1,687,132","$1,935,649","$1,910,867","$1,823,241","$1,780,297","$1,728,081","$1,805,783","$1,899,431","$2,070,124","$2,356,589","$2,694,152","$3,103,933"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369","$1,253,020","$1,396,524","$1,177,438","$1,197,484","$1,416,128","$2,032,894","$1,704,804","$1,718,581","$1,486,573","$2,655,904","$2,246,693","$1,988,482","$2,046,223","$2,404,860","$2,618,577","$3,736,861","$3,914,082","$4,684,644"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324","$352,037","$363,269","$361,934","$426,056","$519,723","$528,694","$588,482","$611,872","$769,394","$776,196","$834,765","$934,536","$1,057,209","$1,003,095","$1,009,433","$1,146,818","$1,232,096","$1,418,086"
2008,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498","$44,062","$46,308","$48,462","$59,599","$60,223","$60,910","$118,717","$149,948","$139,074","$165,127","$139,284","$249,094","$248,442","$192,450","$163,785","$66,939","$75,908","$90,770"
2008,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$1,224,285","$1,460,122","$1,538,563","$538,885","$159,585","$1,542,695","$1,599,143","$1,971,854","$2,143,959","$2,252,944","$2,366,890","$2,164,539","$2,084,435","$1,485,247","$1,704,283","$320,558","$2,530,405","$2,273,249"
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138","$1,384,957","$1,441,600","$1,541,015","$1,640,784","$1,724,110","$2,050,863","$2,169,843","$2,434,569","$2,611,353","$3,227,198","$3,540,844","$3,591,053","$3,618,254","$3,997,897","$4,766,441","$5,060,166","$5,580,408","$6,613,087"
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229","$776,936","$765,674","$829,081","$834,140","$1,027,800","$1,144,868","$1,281,705","$1,410,735","$1,499,003","$1,762,951","$1,934,287","$1,464,637","$1,525,901","$1,793,920","$2,239,426","$2,422,370","$2,676,207","$3,143,900"
2008,0028,Pierce County Ferry Operations,University Place,WA,"Seattle, WA",14,954,"2,712,205","$496,580","$535,328","$605,450","$676,080","$594,751","$888,563","$966,400","$952,542","$1,023,722","$1,117,822","$1,116,366","$1,220,552","$1,253,823","$1,479,438","$1,616,163","$1,881,778","$1,963,698","$2,018,267"
2008,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205","$1,727,402","$4,579,536","$4,834,784","$5,405,753","$5,699,282","$6,149,565","$7,249,277","$8,175,529","$9,433,882","$11,250,810","$12,404,840","$12,692,509","$12,140,586","$13,521,637","$14,826,688","$16,009,688","$18,822,934","$21,282,449"
2006,0033,Senior Services of Snohomish County,Mukilteo,WA,"Seattle, WA",14,954,"2,712,205",$0,$0,"$13,738","$15,739",$0,$0,"$103,281","$132,488","$134,271","$104,915",$0,$0,"$134,370",$0,"$140,074","$243,329",,
2008,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780","$557,033","$400,192","$416,070","$374,739","$407,956","$565,858","$383,521","$557,586","$652,941","$364,193","$740,541","$472,103","$636,746","$735,846","$887,808","$929,273","$1,143,744","$1,191,378"
2008,0035,Washington State Ferries,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$15,459,493","$16,442,277","$16,062,057","$16,397,906","$17,074,150","$17,320,414","$17,434,343","$19,196,231","$21,358,192","$22,892,421","$23,121,591","$26,526,214","$50,504,731","$56,970,403","$58,457,439","$32,520,094","$34,283,767","$35,698,924"
1991,0036,"ATE Management & Service Company, Inc.",Mukilteo,WA,"Seattle, WA",18,588,"1,744,086",$0,,,,,,,,,,,,,,,,,
1998,0038,Community and Rural Transportation ,Idaho Falls,ID,"Idaho Falls, ID",362,21,"56,356",,,"$178,265","$183,236","$194,024","$206,687","$272,975","$281,485",,,,,,,,,,
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",,,,,,,,,"$1,808,557","$6,038,781","$8,820,285","$9,225,387","$11,624,553","$13,205,535","$16,482,718","$18,051,544","$22,028,754","$26,610,715"
2008,0041,Alaska Railroad Corporation,Anchorage,AK,"Anchorage, AK",135,79,"225,744",,,,,,,,,,,"$701,289","$725,212","$814,088","$927,822","$1,231,778","$1,343,905","$1,481,165","$1,551,649"
2008,0042,Targhee Regional Public Transit Authority,Idaho Falls,ID,"Idaho Falls, ID",351,31,"66,973",,,,,,,,,,"$519,855","$373,159","$173,870",,,,"$34,502",,
2008,0043,Link Transit,Wenatchee,WA,"Wenatchee, WA",411,27,"55,425",,,,,,,,,,,,,,"$294,304","$313,832","$380,617","$502,762","$573,697"
2008,0044,Skagit Transit,Burlington,WA,"Mount Vernon, WA",440,32,"51,174",,,,,,,,,,,,,,"$170,881","$196,389","$290,476","$437,860","$565,085"
2008,0045,Fairbanks North Star Borough Transit,Fairbanks,AK,"Fairbanks, AK",434,43,"51,926",,,,,,,,,,,,,,"$210,076","$193,344","$183,091","$242,486","$322,229"
2008,0046,South Metro Area Regional Transit,Wilsonville,OR,"Portland, OR-WA",23,474,"1,583,138",,,,,,,,,,,,$0,$0,$0,$0,"$33,360","$126,320","$133,456"
2008,0049,"VPSI, Anchorage",Anchorage,AK,"Anchorage, AK",135,79,"225,744",,,,,,,,,,,,,,,,"$280,639","$611,177","$203,839"
2008,0050,"City of Bend, Public Works Department",Bend,OR,"Bend, OR",401,36,"57,525",,,,,,,,,,,,,,,,,"$157,780","$195,900"
2008,1001,Rhode Island Public Transit Authority,Providence,RI,"Providence, RI-MA",34,504,"1,174,548","$6,014,383","$6,201,451","$6,446,167","$6,382,405","$7,271,919","$8,004,945","$8,940,546","$9,576,552","$9,609,883","$9,412,833","$9,909,881","$10,629,025","$11,321,831","$14,374,497","$19,992,021","$21,947,513","$23,050,439","$24,118,694"
2008,1002,Manchester Transit Authority,Manchester,NH,"Manchester, NH",196,71,"143,549","$298,100","$303,664",,"$319,463","$280,791","$255,427","$256,630","$244,995","$239,743","$252,521","$249,515","$237,197","$223,520","$272,514","$307,786","$326,997","$358,347","$380,210"
2008,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","$123,427,965","$167,054,656","$175,970,945","$190,960,448","$197,447,493","$213,423,899","$214,755,551","$230,850,179","$241,143,360","$250,311,545","$304,111,591","$290,533,067","$283,071,935","$303,544,254","$327,580,811","$341,868,507","$395,876,376","$449,670,261"
2008,1004, Brockton Area Transit Authority,Brockton,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","$883,928","$2,502,156","$2,611,782","$2,798,411","$2,719,765","$3,222,297","$3,385,336","$3,365,009","$3,293,488","$2,695,101","$2,793,344","$3,055,618","$2,994,836","$3,179,212","$3,047,694","$3,133,197","$3,135,565","$3,085,445"
2008,1005,Lowell Regional Transit Authority,Lowell,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","$424,532","$441,689","$495,256","$532,539","$610,072","$741,325","$1,003,588","$1,026,032","$1,197,379","$1,247,157","$1,264,377","$781,061","$944,840","$880,114","$929,149","$870,242","$966,880","$1,047,057"
2008,1006,Southeastern Regional Transit Authority,New Bedford,MA,"New Bedford, MA",193,63,"146,730","$1,682,438","$1,500,012","$1,521,848",$0,,"$1,607,390","$1,580,663","$1,550,614","$1,999,880","$2,041,422","$1,823,957","$1,963,474","$1,662,515","$1,686,638","$1,749,796","$1,731,609","$1,708,593","$1,751,584"
2008,1007,Berkshire Regional Transit Authority,Pittsfield,MA,"Pittsfield, MA",430,34,"52,772",$0,"$633,923","$783,771","$789,505","$696,152","$698,091","$704,897","$704,380","$668,302","$676,002",,"$1,422,274","$714,659","$641,135","$743,289","$878,206","$893,178","$977,917"
2008,1008,Pioneer Valley Transit Authority,Springfield,MA,"Springfield, MA-CT",59,309,"573,610",$0,"$3,613,250","$3,651,866","$3,811,637","$2,951,640","$3,898,024","$4,048,548","$4,583,565","$4,732,077","$5,114,014","$5,237,404","$4,941,626","$4,642,499","$5,620,969","$5,234,638","$5,344,438","$5,373,945","$5,473,788"
2008,1013,Merrimack Valley Regional Transit Authority,Haverhill,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","$849,256","$993,332","$2,503,758",$0,$0,"$1,001,851","$993,252","$838,693","$846,892","$858,878","$894,182","$864,737","$983,491","$952,130","$1,096,209","$1,143,744","$1,260,661","$1,300,645"
2008,1014,Worcester Regional Transit Authority,Worcester,MA,"Worcester, MA-CT",74,250,"429,882","$2,369,924","$2,479,908","$2,420,257","$2,483,947","$2,599,209","$2,758,945","$2,834,558","$2,916,409","$2,849,060","$2,966,349","$3,210,906","$2,990,076","$3,191,112","$2,843,763","$2,017,624","$2,680,263","$2,586,952","$2,555,692"
2008,1015,Lewiston-Auburn Transit Committee,Auburn,ME,"Lewiston, ME",447,21,"50,567",$0,$0,$0,,,"$84,058",,,,,,,,,,,,"$135,560"
2008,1016,Greater Portland Transit District,Portland,ME,"Portland, ME",160,124,"188,080","$768,161","$806,177","$806,214","$856,915","$866,662","$902,951","$917,527","$897,579","$901,257","$968,454","$1,047,481","$1,004,376","$1,057,569","$1,091,473","$1,120,592","$1,316,819","$1,334,131","$1,418,225"
2008,1017,Greater Hartford Transit District,Hartford,CT,"Hartford, CT",45,469,"851,535","$6,128","$2,815",$0,"$4,179","$9,066","$10,866","$15,795","$19,965","$21,470","$22,824","$28,289","$212,670","$278,118","$300,864","$794,746","$813,108","$958,798","$1,047,654"
2008,1040,Southeast Area Transit,Preston,CT,"Norwich-New London, CT",174,123,"173,160","$592,638","$566,118","$617,163",,,,,,"$758,445",,"$903,325","$838,991","$641,245","$661,784","$744,138","$832,947","$1,107,417","$1,212,731"
1997,1041,Westport Transit District C/O Norwalk Transit District,Norwalk,CT,"Norwalk, CT",209,49,"108,888",,"$132,472","$128,510","$121,168",,,,,,,,,,,,,,
2008,1042,Valley Transit District,Derby,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890","$258,871","$266,113","$247,719","$206,331","$220,980","$258,153","$260,670","$248,203","$315,456","$332,003","$369,000","$408,473","$296,369","$1,140,255",,,"$344,217","$343,788"
2008,1045,"Dattco, Inc.",New Britain,CT,"Hartford, CT",45,469,"851,535","$108,307","$106,936","$113,389",,,,,,,,,,,,,,,
2008,1047,"New Britain Transportation Company, Inc.",Berlin,CT,"Hartford, CT",45,469,"851,535",,,,"$328,165",,,"$338,788","$337,325","$327,156","$362,565","$370,358","$377,257",,"$384,114",,"$472,929",,"$540,581"
2008,1048,Connecticut Transit - Hartford Division,Hartford,CT,"Hartford, CT",45,469,"851,535","$10,890,618","$10,597,884","$11,178,878","$11,295,187","$11,669,480","$11,235,304","$11,562,447","$11,677,751","$11,842,404","$10,864,299","$10,910,190","$10,555,907","$9,872,297","$10,085,398","$10,683,491","$11,847,812","$12,039,635","$12,375,554"
2008,1049,The Greater New Haven Transit District,Hamden,CT,"New Haven, CT",69,285,"531,314",$0,"$50,691","$50,530","$72,541","$121,307","$177,896","$227,272","$260,003","$251,661","$240,997","$354,930","$1,046,971","$285,030","$151,448","$131,358","$125,812","$158,671","$218,389"
2008,1050,Greater Bridgeport Transit Authority,Bridgeport,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890","$2,601,548","$2,563,525","$2,753,005","$2,472,954","$2,892,852","$3,545,206","$3,625,323","$3,825,363","$4,263,012","$4,108,657","$4,440,714","$4,336,397","$4,240,888","$4,266,415","$4,429,379","$5,012,205","$5,248,022","$5,191,476"
2008,1051,Housatonic Area Regional Transit,Danbury,CT,"Danbury, CT-NY",186,124,"154,455","$336,855","$386,826","$352,096","$395,053","$405,101","$427,374","$458,144","$477,188","$479,406","$498,327","$510,819","$532,612","$557,971","$580,314","$672,703","$769,363","$753,481","$796,494"
2006,1052,"New Britain Transportation Company, Inc.",Berlin,CT,"Hartford, CT",45,469,"851,535",,,,"$38,885",,"$40,324","$47,145","$44,747","$45,947","$47,623","$52,137","$51,127",,"$35,707",,"$40,818",,
2008,1053,Cape Ann Transportation Authority,Gloucester,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",$0,"$275,699","$189,523","$4,704,995","$105,538","$176,694","$230,255","$152,658","$156,143","$168,501","$252,449","$193,385","$207,021","$191,584","$197,211","$205,158","$222,551","$229,278"
2008,1055,Connecticut Transit - New Haven Division,Hartford,CT,"New Haven, CT",69,285,"531,314","$4,524,170","$4,523,325","$5,032,011","$5,398,699","$5,829,997","$5,957,992","$6,029,139","$6,406,952","$6,101,095","$6,343,866","$6,276,283","$5,941,012","$5,600,261","$5,679,805","$6,321,171","$6,821,306","$6,825,669","$7,289,747"
2008,1056,Connecticut Transit - Stamford Division,Hartford,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890","$1,430,038","$1,454,039","$1,601,741","$1,768,476","$2,010,184","$2,176,317","$2,405,948","$2,480,356","$2,410,042","$2,668,980","$2,702,497","$2,574,238","$2,497,534","$2,545,496","$2,689,116","$3,017,329","$3,052,856","$3,184,894"
2008,1057,Norwalk Transit District,Norwalk,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890","$881,531","$891,190","$1,012,159","$1,028,474","$1,048,277","$1,117,412","$1,230,894","$1,406,550","$1,404,421","$1,478,805","$1,584,941","$1,567,476","$1,521,713","$1,564,845","$1,676,793","$1,793,965","$1,800,941","$1,841,068"
2008,1061,Montachusett Regional Transit Authority,Fitchburg,MA,"Leominster-Fitchburg, MA",234,63,"112,943","$1,850,671","$2,391,761","$2,972,672","$4,002,378","$661,888","$686,349","$983,512","$872,482","$884,845","$1,253,687","$1,651,826","$1,183,173","$1,117,643","$1,343,769","$1,157,541","$1,146,239","$2,258,544","$1,785,006"
2008,1063,Middletown Transit District,Middletown,CT,"Hartford, CT",45,469,"851,535",$0,$0,"$60,110","$15,840","$60,332",,"$171,164","$182,800","$196,861","$202,268","$212,324","$234,660","$230,532","$281,003","$293,080","$313,009","$371,932","$293,842"
2008,1064,Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,"Providence, RI-MA",34,504,"1,174,548","$853,791","$534,650","$899,264","$207,811",$0,"$2,137,422","$2,351,325","$2,177,701","$2,015,025","$1,991,914","$1,905,230","$1,796,507","$1,675,643","$1,722,820","$1,535,974","$1,452,012","$2,008,906","$2,033,820"
2008,1066,Chittenden County Transportation Authority,Burlington,VT,"Burlington, VT",251,62,"105,365","$714,827","$778,673","$820,053","$787,511","$929,167","$949,139","$916,798","$958,217","$930,897","$920,897","$985,136","$1,007,007","$1,051,464","$1,133,408","$1,312,504","$1,780,878","$1,817,281","$1,884,920"
2008,1069,"The Regional Transportation Program, Inc.",Portland,ME,"Portland, ME",160,124,"188,080","$17,480","$14,951","$722,489","$601,919","$29,086","$33,142","$41,189","$80,317","$113,520","$153,304","$149,686","$1,842,738","$1,700,261","$1,769,784","$1,628,293","$1,704,858","$1,566,278","$1,619,723"
2008,1086,Cooperative Alliance for Seacoast Transportation,Dover,NH,"Dover-Rochester, NH-ME",306,64,"80,456",$0,"$162,753","$145,851",$0,$0,"$249,144","$158,238",,,,,,"$148,825","$135,363","$152,645","$159,096","$167,503","$183,813"
2008,1087,Nashua Transit System,Nashua,NH,"Nashua, NH-MA",153,138,"197,155",$0,"$158,413","$155,266","$168,644","$179,732","$171,665","$180,720","$178,983","$199,467","$201,700","$190,864","$186,935","$199,996","$204,107","$219,450","$229,420","$248,366","$248,224"
2008,1088,Casco Bay Island Transit District,Portland,ME,"Portland, ME",160,124,"188,080","$985,755","$969,943","$1,079,195","$1,105,082","$1,262,664","$1,428,210","$1,459,337","$1,471,361","$1,486,311","$1,591,957","$1,631,275","$1,691,854","$1,658,252","$1,637,930","$1,727,649","$1,471,949","$1,977,897","$447,102"
