Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$213,422,461","$207,617,144","$155,301,512","$163,279,482","$164,682,516","$196,353,812","$205,548,253","$210,951,950","$241,763,933","$217,292,265","$221,941,835","$232,076,741","$255,705,389","$236,514,877","$292,653,117","$268,020,154","$290,956,818","$309,438,703"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858","$16,937,158","$19,058,716","$20,105,974","$21,914,109","$24,264,757","$25,114,520","$26,270,748","$26,450,272","$27,442,801","$21,385,922","$24,662,136","$26,124,624","$27,216,979","$20,794,980","$29,129,714","$30,372,718","$33,084,166","$42,727,218"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205","$31,366,410","$31,624,760","$27,105,893","$18,583,267","$19,026,649","$19,391,061","$20,257,447","$23,710,170","$26,844,232","$25,788,866","$28,734,984","$1,022,122","$10,344","$78,363","$125,053",$0,"$1,813,996","$975,160"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205","$2,802,034","$4,394,466","$6,407,307","$6,134,885","$5,945,660","$6,186,384","$6,030,665","$6,543,451","$6,471,800","$5,532,432","$7,124,553","$8,283,938","$6,639,210","$7,440,966","$11,343,877","$11,066,573","$12,695,736","$15,084,975"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816","$1,729,142","$2,768,638","$2,654,158","$3,381,624","$3,149,377","$3,220,919","$2,915,185","$3,419,698","$3,813,419","$3,462,491","$2,067,021","$2,882,438","$3,101,374","$3,529,218","$2,775,374","$3,681,058","$3,878,933","$5,064,920"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049","$7,635,402","$7,831,624","$8,895,338","$8,933,804","$10,769,903","$9,634,399","$10,350,207","$11,229,455","$12,836,678","$13,572,914","$15,154,120","$15,706,742","$16,034,156","$17,234,608","$18,744,890","$19,376,895","$21,966,362","$23,984,725"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138","$78,258,990","$82,363,762","$84,416,042","$90,372,402","$99,776,301","$101,424,509","$100,989,269","$102,368,247","$120,695,895","$134,333,323","$120,096,587","$158,674,906","$163,308,627","$161,301,144","$178,514,631","$203,461,775","$180,237,000","$190,092,948"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625","$870,220","$1,162,128","$1,281,271","$1,499,854","$1,585,978","$1,937,616","$2,132,754","$1,923,219","$1,670,271","$1,878,969","$1,890,896","$2,371,747","$3,219,491","$2,656,814","$3,085,722","$2,648,826","$3,887,403","$5,281,288"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744","$8,541,132","$8,138,443","$7,586,394","$7,382,761","$7,687,638","$8,226,040","$8,391,246","$8,784,889","$8,587,875","$8,784,098","$9,981,673","$10,937,677","$11,135,649","$12,258,479","$14,349,540","$13,336,585","$16,089,853","$16,802,446"
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086","$158,278","$155,956",,,,,,,,,,,,,,,,
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443","$857,381","$983,754","$1,032,097","$1,231,789",,,"$1,466,990","$1,656,411","$1,664,167","$1,378,802","$1,374,071","$1,586,149","$1,156,266","$1,043,459","$1,111,710","$1,211,630","$1,363,943","$1,088,305"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851","$491,284","$30,599","$10,571,406",$0,$0,$0,$0,$0,$0,$0,"$7,864,649","$11,063,374","$16,971,518",,"$17,044,614","$19,147,516","$22,307,158","$22,642,729"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826","$620,432","$118,969",$0,$0,$0,$0,$0,"$7,161,203","$7,775,003","$9,619,616","$9,677,843","$9,140,382","$10,156,507","$11,597,064","$13,798,647","$15,616,095","$16,018,423","$19,532,961"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369","$4,355,357","$4,670,606","$6,475,153","$6,287,568","$9,194,531","$8,061,103","$10,062,150","$10,980,580","$17,038,966","$8,577,051","$14,143,719","$18,136,548","$21,481,700","$23,496,688","$25,589,777","$25,511,905","$26,724,898","$28,583,949"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324","$8,404,874","$7,983,641","$5,175,964","$6,107,898","$7,022,294","$7,748,585","$7,558,344","$7,863,475","$8,035,751","$4,874,639","$8,419,068","$9,275,351","$12,647,952","$11,345,163","$12,823,802","$13,631,531","$15,352,176","$17,563,797"
2008,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498","$193,974","$219,729","$216,370","$224,385","$245,076","$275,146","$290,670","$147,825","$240,179","$281,252","$305,160","$399,588","$375,283","$442,458","$443,624","$389,974","$474,329","$438,883"
2008,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$48,373",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138","$13,546,670","$13,471,688","$9,373,188","$8,938,657","$10,226,717","$13,891,117","$15,107,811","$16,329,112","$20,147,354","$9,601,283","$11,936,828","$16,207,432","$16,900,624","$17,297,179","$14,831,627","$19,724,748","$22,453,618","$27,604,980"
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229","$2,095,303","$1,666,728","$3,025,320","$1,992,299","$2,721,668","$3,626,464","$2,806,615","$2,600,713","$2,967,500","$7,181,033","$6,592,833","$6,828,266","$8,916,278","$7,940,217","$9,031,772","$10,206,035","$8,030,206","$7,633,733"
