Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$352,003","$416,165","$444,754","$402,433","$405,864","$388,657","$435,915","$454,661","$475,711","$478,377","$449,485","$1,012,657","$851,188","$3,598,955","$2,904,931","$3,007,394","$4,060,508","$3,295,960"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858","$4,739","$2,650","$4,966","$3,409","$6,707",$276,"$69,204","$81,663","$2,850","$5,878,135","$60,832","$32,140","$47,016","$400,746","$1,148,272","$779,617","$1,019,597","$1,402,125"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205","$232,289","$678,519","$494,326","$13,341,306","$16,962,505","$13,454,750","$14,684,672","$14,556,702","$15,838,916",$0,$0,"$36,281,586","$38,157,715","$45,765,404","$48,293,533","$49,515,545","$47,233,802","$59,450,501"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$556,000","$40,752","$10,716","$74,644","$120,284","$144,234","$185,448","$328,721","$66,477"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816","$30,000","$44,507","$53,709",$0,$0,$0,$0,$0,$0,"$200,000",$0,$0,$0,$0,"$66,981","$34,692","$141,325",$0
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049","$1,019,242","$1,243,546","$1,305,927","$1,331,587","$819,092","$1,257,885","$1,307,131","$1,192,000","$1,234,982","$1,267,172","$1,158,567","$2,149,357","$1,727,596","$1,716,784","$1,848,568","$1,922,979","$2,050,052","$2,106,950"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138","$1,811,509","$2,193,000","$2,277,568","$1,802,909","$1,890,294","$1,689,625","$1,659,156","$1,621,953","$1,754,484","$1,942,667","$1,790,265","$1,596,329","$1,373,249","$2,489,742","$5,811,843","$1,224,408","$1,417,631","$1,173,906"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744","$185,166","$188,399","$291,816","$291,673","$457,958","$419,518","$481,316","$1,167,444","$1,216,743","$1,012,196","$1,677,344","$1,215,579","$1,685,357","$2,856,722","$2,289,265","$3,052,390","$1,719,208","$1,935,451"
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086","$268,736","$602,541",,,,,,,,,,,,,,,,
