Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$18,810,516","$8,587,479","$10,588,514","$9,797,584","$8,401,068","$36,526,587","$61,492,418","$21,054,790","$70,658,263","$37,079,753","$27,605,178","$36,490,523","$40,591,451","$73,151,349","$69,870,233","$9,059,099","$9,872,147","$22,690,152"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858","$2,035,363","$2,147,714","$179,547","$4,242,568","$412,169","$33,504","$5,951,828","$904,673","$140,569","$1,868,417","$2,888,821","$2,642,951","$7,871,348","$2,777,314","$5,816,530","$6,900,600","$5,009,134","$719,622"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205","$5,573,496","$7,839,329","$475,828","$1,834,151","$6,412,269","$5,556,232","$12,943,574","$15,503,186","$10,612,342","$17,811,110","$2,776,435","$7,194,361","$3,676,370","$16,199,569","$13,035,923","$5,031,013","$7,582,052","$3,320,948"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205","$70,247","$568,127","$310,330","$749,901","$205,591","$982,097","$1,965,795","$169,352","$3,752,345","$9,962,091","$18,671,320","$1,866,386","$1,496,897","$96,397","$281,112","$3,436,215","$3,683,605","$362,026"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",$0,$0,$0,$0,$0,$0,$0,$0,"$405,299","$18,406","$21,861","$86,266",$0,$0,$0,$0,$0,"$168,000"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049","$2,940,375","$230,175","$367,432","$4,761,826","$606,996","$2,528,173","$5,737,049","$6,760,340","$5,246,406","$1,998,928","$1,930,867","$3,690,430","$3,258,839","$13,044,768","$9,156,956","$10,923,646","$11,569,994","$8,903,803"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138","$19,146,539","$20,102,976","$45,691,660","$81,926,002","$177,315,601","$165,974,522","$168,364,519","$132,143,973","$61,378,363","$23,996,803","$62,513,235","$97,240,156","$90,551,934","$49,497,921","$28,870,895","$26,006,655","$125,180,492","$114,182,431"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625","$6,861","$5,306","$374,228","$47,753","$3,960,922","$1,394,688","$582,333","$888,494","$231,660","$354,367","$2,044,496","$3,437,299","$493,091","$179,379","$808,859","$282,230","$377,824","$992,134"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744","$45,068","$10,987","$567,407","$778,786","$280,862","$4,887,607","$1,168,922","$1,411,898","$8,945,029","$817,585","$874,839","$1,956,975","$1,123,081","$989,054","$1,794,688","$2,315,049","$2,769,291","$9,389,564"
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",$0,,,,,,,,,,,,,,,,,
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443","$11,069","$194,633","$242,705","$442,886",,,"$6,087","$324,610",$0,"$126,232","$123,319","$855,876","$525,799","$207,174",$0,$0,"$225,185","$7,642"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",$0,"$1,540,875","$53,218","$167,784","$1,178,216","$972,143","$350,719","$201,322",$0,"$69,269","$893,599","$118,149","$2,087,971",,"$2,554,214","$2,802,532","$2,042,751","$2,414,813"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826","$127,465","$311,252","$2,608,956","$972,086","$115,865","$1,450,353","$432,491","$2,719,849","$50,509","$386,543","$583,059","$764,650","$395,136","$1,179,054","$3,530,142","$1,430,047","$374,895","$84,198"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369","$1,940,632","$43,441",$0,$0,"$353,662","$1,660,842","$1,177,918","$397,665","$14,032,944","$819,138","$4,619,379","$3,241,675","$1,897,883","$4,468,733","$5,891,432","$2,099,716","$4,610,034","$4,014,051"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",$0,$0,"$280,365","$1,877,220","$2,257,415","$575,222","$483,569","$1,784,109","$633,286","$621,844","$2,399,413","$1,297,141","$574,933","$1,071,385","$981,437","$110,262","$2,059,321","$575,448"
2008,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498","$8,423","$47,936","$7,336",$0,"$93,730","$37,017","$60,496","$170,447","$869,781","$67,537","$207,858","$129,286","$39,486","$12,970","$64,990","$4,029","$803,929","$558,072"
2008,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$3,000",$0,$0,$0,$0,$0,"$244,355",$0,$0,$0,$0,"$925,675",$0,$0,$0,"$602,000","$934,803",$0
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138","$630,939","$105,351","$368,128","$682,539","$7,673,842","$106,751","$3,989,504","$699,112","$5,218,613","$471,663","$4,027,375","$511,383","$8,908,836","$3,107,083","$1,552,996","$684,006","$9,018,860","$9,970,755"
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229","$224,349","$1,053,866",$0,"$316,215","$37,656",$0,"$2,027,160","$986,050","$1,666,369","$425,444","$566,166","$24,037","$3,103,334","$3,035,971","$746,732","$3,170,259","$1,029,786","$5,889,227"
2008,0028,Pierce County Ferry Operations,University Place,WA,"Seattle, WA",14,954,"2,712,205",$0,$0,"$357,147","$505,809","$195,533","$39,306","$4,564,800","$724,324",$0,"$4,383","$23,000",$0,$0,"$203,872",$0,"$1,640,329",$0,$0
