Indent,Category,Source,Report,2000 (Corp),2001 (Corp),2002 (Corp),2003 (Corp),2004 (Corp),2005 (Corp),2006 (Corp),2007 (Corp),2008 (Corp),2009 (Corp),2010 (Corp),2011 (Corp),2012 (Corp),2013 (Corp),2014 (Corp),2015 (Corp),2016 (Corp),2000 (Indv),2001 (Indv),2002 (Indv),2003 (Indv),2004 (Indv),2005 (Indv),2006 (Indv),2007 (Indv),2008 (Indv),2009 (Indv),2010 (Indv),2011 (Indv),2012 (Indv),2013 (Indv),2014 (Indv),2015 (Indv),2016 (Indv),Expenditure Name,Expenditure Footnotes
,Health
#,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Employer-paid medical insurance and expenses.&mdash;Under the baseline tax system, all compensation, including dedicated payments and in-kind benefits, should be included in taxable income. In contrast, under current law, employer-paid health insurance premiums and other medical expenses (including long-term care) are deducted as a business expense by employers, but they are not included in employee gross income. The selfemployed also may deduct part of their family health insurance premiums. </p>"
#+,94,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,77670.00,83095.00,88830.00,94960.00,101520.00,,,,,,,,,,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,95,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,75095.00,80570.00,86175.00,90655.00,95960.00,102725.00,,,,,,,,,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,97,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,76530.00,84350.00,92230.00,99800.00,107620.00,115770.00,124690.00,,,,,,,,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,97,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,82800.00,90910.00,99260.00,106940.00,115380.00,124050.00,134960.00,,,,,,,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,97,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,99060.00,108500.00,120160.00,132240.00,144710.00,157180.00,170230.00,,,,,,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,98,Treasury,2005,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,101920.00,106720.00,112990.00,120940.00,129820.00,139620.00,150300.00,,,,,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,107,Treasury,2006,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,102250.00,112160.00,125690.00,139060.00,152560.00,166190.00,176740.00,,,,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,124,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,118420.00,132730.00,146780.00,161120.00,176290.00,191980.00,212820.00,,,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,121,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,125000.00,141270.00,160190.00,179580.00,200510.00,221880.00,243820.00,,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,122,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,133790.00,151810.00,168460.00,185250.00,210110.00,233320.00,254810.00,,,,Exclusion of employer contributions for medical insurance premiums and medical care,,,,,,,,,,,,,,,,,
#+,126,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,131080.00,142010.00,155050.00,169190.00,184860.00,199900.00,214740.00,,,Exclusion of employer contributions for medical insurance premiums and medical care ,,,,,,,,,,,,,,,,,
#+,131,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,144412.00,159868.00,176964.00,191540.00,208650.00,228040.00,248600.00,,Exclusion of employer contributions for medical insurance premiums and medical care  ,,,,,,,,,,,,,,,,,
#+,131,Treasury,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,160110.00,173750.00,184460.00,196220.00,211470.00,230080.00,248980.00,Exclusion of employer contributions for medical insurance premiums and medical care  ,,,,,,,,,,,,,,,,,
#,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Self-employed medical insurance premiums.&mdash;Under the baseline tax system, all compensation and remuneration, including dedicated payments and in-kind benefits, should be included in taxable income. In contrast, under current law self-employed taxpayers may deduct a percentage of their family health insurance premiums. Taxpayers without self-employment income are not eligible for the special percentage deduction. The deductible percentage is 60 percent in 2001, 70 percent in 2002, and 100 percent in 2003 and thereafter. </p>"
#+,95,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1310.00,1405.00,1550.00,2055.00,2905.00,,,,,,,,,,,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,96,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,1250.00,1380.00,1545.00,2070.00,2905.00,3210.00,,,,,,,,,,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,98,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1340.00,1510.00,1760.00,2470.00,3580.00,3900.00,4220.00,,,,,,,,,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,98,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1520.00,1730.00,2420.00,3570.00,3870.00,4170.00,4430.00,,,,,,,,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,98,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1760.00,2500.00,3690.00,3940.00,4220.00,4520.00,4980.00,,,,,,,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,108,Treasury,2006,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3330.00,3780.00,4330.00,4800.00,5260.00,5760.00,6250.00,,,,,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,125,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3790.00,4240.00,4630.00,5080.00,5570.00,6050.00,6730.00,,,,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,122,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3970.00,4370.00,3730.00,4180.00,4670.00,5230.00,5810.00,,,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,123,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,4260.00,4680.00,5170.00,5710.00,6590.00,7450.00,8180.00,,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,127,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,5080.00,5470.00,6020.00,6680.00,7490.00,8250.00,9100.00,,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,132,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,4870.00,5250.00,5740.00,6150.00,6580.00,7120.00,7780.00,,Self-employed medical insurance premiums,,,,,,,,,,,,,,,,,
#+,132,Treasury,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,5680.00,6210.00,6690.00,7200.00,7740.00,8310.00,8900.00,Self-employed medical insurance premiums ,,,,,,,,,,,,,,,,,
