"PSC CODE","PRODUCT AND SERVICE CODE NAME","START DATE","END DATE","PRODUCT AND SERVICE CODE FULL NAME","PRODUCT AND SERVICE CODE EXCLUDES","PRODUCT AND SERVICE CODE NOTES","PRODUCT AND SERVICE CODE INICLUDES"
"10","WEAPONS",10/1/1979,,,,"THIS GROUP INCLUDES COMBAT WEAPONS AS WELL AS WEAPON-LIKE NONCOMBAT ITEMS, SUCH AS LINE THROWING DEVICES AND PYROTECHNIC PISTOLS.  ALSO INCLUDED IN THIS GROUP ARE WEAPON NEUTRALIZING EQUIPMENT, SUCH AS DEGAUSSERS, AND DECEPTION EQUIPMENT, SUCH AS CAMOUFLAGE NETS.  EXCLUDED FROM THIS GROUP ARE FIRE CONTROL AND NIGHT DEVICES CLASSIFIABLE IN GROUPS 12 OR 58.",
"1000",,12/12/2003,,,,,
"1005","GUNS, THROUGH 30 MM",10/15/1978,,"GUNS, THROUGH 30 MM","TURRETS, AIRCRAFT.",,"MACHINE GUNS; BRUSHES, MACHINE GUN AND PISTOL."
"1010","GUNS, OVER 30 MM UP TO 75 MM",10/15/1978,,"GUNS, OVER 30 MM UP TO 75 MM",,,"BREECH MECHANISMS; MOUNTS GRENADE LAUNCHERS FOR INTEGRAL-CARTRIDGE GRENADES, SINGLE-SHOT OR AUTO-LOADING OR AUTOMATIC-FIRING."
"1015","GUNS, 75 MM THROUGH 125 MM",10/15/1978,,"GUNS, 75 MM THROUGH 125 MM",,,"BREECH MECHANISMS; MOUNTS; RAMMERS."
"1020","GUNS OVER 125 MM THROUGH 150 MM",10/15/1978,,"GUNS, OVER 125 MM THROUGH 150 MM INCLUDES BREECH MECHANISMS, POWER DRIVES; GUN SHIELDS.",,,
"1025","GUNS OVER 150 MM THROUGH 200 MM",10/15/1978,,"GUNS, OVER 150 MM THROUGH 200 MM INCLUDES FIRING PLATFORMS; MOUNTS; GUN SHIELDS.",,,
"1030","GUNS OVER 200 MM THROUGH 300 MM",11/15/1978,,"GUNS, OVER 200 MM THROUGH 300 MM INCLUDES GUN YOKES; RAMMERS; REFLECTORS.",,,
"1035","GUNS, OVER 300 MM",1/15/1979,,"GUNS, OVER 300 MM",,,"BREECH MECHANISMS; TRAINING GEARS; POWER DRIVES."
"1040","CHEMICAL WEAPONS AND EQUIPMENT",10/15/1978,,"CHEMICAL WEAPONS AND EQUIPMENT",,,"FLAME THROWERS; SMOKE GENERATORS."
"1045","LAUNCHERS, TORPEDO AND DEPTH CHARGE",10/15/1978,,"LAUNCHERS, TORPEDO AND DEPTH CHARGE",,,"DEPTH CHARGE TRACKS; TORPEDO TUBES."
"1055","LAUNCHERS, ROCKET AND PYROTECHNIC",10/15/1978,,"LAUNCHERS, ROCKET AND PYROTECHNIC","SPECIFICALLY DESIGNED AIRBORNE GUIDED MISSILE  LAUNCHERS; JETTISONABLE ROCKET LAUNCHERS; LAUNCHER FAIRINGS DESIGNED FOR SPECIFIC AIRFRAMES; RIFLE GRENADE LAUNCHERS; GRENADE LAUNCHERS FOR INTEGRAL-CARTRIDGE GRENADES, SINGLE-SHOT OR AUTO LOADING OR AUTOMATIC FIRING.",,"AIRBORNE ROCKET LAUNCHERS ADAPTABLE TO GUIDED MISSILE USE."
"1070","NETS AND BOOMS, ORDNANCE",12/15/1978,,"NETS AND BOOMS, ORDNANCE",,"THIS CLASS INCLUDES NETS AND BOOMS FOR HARBOR  DEFENSE ONLY.",
"1075","DEGAUSSING & MINE SWEEPING EQUIPMEN",10/15/1978,,"DEGAUSSING AND MINE SWEEPING EQUIPMENT",,,
"1080","CAMOUFLAGE AND DECEPTION EQUIPMENT",10/15/1978,,"CAMOUFLAGE AND DECEPTION EQUIPMENT",,,"DUMMY ARTILLERY, AIRCRAFT AND VEHICLES; GARNISHED NETS."
"1090","WPNS ASSY INTERCHANGE BETWN 2/MORE",10/15/1978,,"ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE  CLASSES",,,"COMPONENTS AND ACCESSORIES USED ON OR WITH WEAPONS FALLING IN TWO OR MORE CLASSES OF GROUP 10."
"1095","MISCELLANEOUS WEAPONS",10/15/1978,,"MISCELLANEOUS WEAPONS",,,"LINE THROWING GUNS; CATAPULT GUNS; BAYONETS; SALUTING GUNS; SIGNAL GUNS; FLARE GUNS; BARRAGE BALLOONS; ACCESSORIES, NOT ELSEWHERE CLASSIFIABLE, FOR WEAPONS IN THIS GROUP; EXPENDABLE BOMB DISPENSERS."
"11","NUCLEAR ORDNANCE",10/1/1979,,,,"THIS GROUP INCLUDES, IN PARTICULAR, NUCLEAR  ORDNANCE TRAINING WEAPONS, PRACTICE BALLISTIC UNITS, AND ALL COMPONENTS SPECIALLY DESIGNED THEREFORE, WHEN NOT SPECIFICALLY CLASSIFIED ELSEWHERE.  ALSO INCLUDED IN THE GROUP ARE SPECIALLY DESIGNED SIMULATORS AND MOCKUPS, WHICH ARE  INTEGRAL PARTS OF THE ABOVE.  EXCLUDED FROM THIS GROUP  ARE GENERAL PURPOSE NOSE CONES, CASE SECTIONS, FLARE  SECTIONS OR CENTER SECTIONS DESIGNED TO CARRY PAYLOADS  OTHER THAN NUCLEAR AND/OR FOR USE ON A MISSILE, ROCKET,  OR RE-ENTRY VEHICLE TO ATTAIN THE NECESSARY AERODYNAMIC  CONFIGURATION.",
"1105","NUCLEAR BOMBS",12/15/1978,,"NUCLEAR BOMBS","PARACHUTE CANOPIES AND CANOPY HARDWARE.","THIS CLASS INCLUDES NUCLEAR WEAPONS (INCLUDING BOMBS), WHICH ARE DESIGNED TO BE DROPPED FROM AN AIRCRAFT.","BALLISTIC CASES, TAIL ASSEMBLIES, RETARDATION DEVICES, AND OTHER PECULIAR COMPONENTS WHICH ARE NOT  CLASSIFIABLE ELSEWHERE."
"1110","NUCLEAR PROJECTILES",1/15/1980,,"NUCLEAR PROJECTILES",,"THIS CLASS INCLUDES NUCLEAR WEAPONS WHICH ARE DESIGNED TO BE PROPELLED FROM A RECOILLESS RIFLE, GUN,  HOWITZER, OR THE LIKE, AND WHICH ARE NOT DESIGNED TO BE  SELF PROPELLED.","OGIVE SECTIONS, BODY SECTIONS, BASES, AND OTHER PECULIAR COMPONENTS WHICH ARE NOT CLASSIFIABLE ELSEWHERE."
"1115","NUCLEAR WARHEADS & WARHEAD SECTIONS",11/15/1978,,"NUCLEAR WARHEADS AND WARHEAD  SECTIONS","SUCH COMPONENTS AS FUZING AND FIRING DEVICES,  NUCLEAR COMPONENTS, HIGH EXPLOSIVE COMPONENTS, CLASSIFIABLE IN MORE SPECIFIC CLASSES, AND ITEMS SUCH AS PROJECTILES  AND BOMBS WHICH INCLUDE THE ENTIRE OUTER CASE OF A WEAPON.","THIS CLASS INCLUDES NUCLEAR WARHEADS (WITHOUT OR ASSEMBLED WITH CASE SECTIONS, ADAPTION KITS, AND/OR FUZING AND FIRING COMPONENTS) WHICH ARE TO BE USED IN OR WITH BOMBS, ROCKETS, PROJECTILES, MISSILES, DEMOLITION CHARGES, OR THE LIKE.  ALSO INCLUDES CASE SECTIONS, NOSE CONES,  FLARE SECTIONS, CENTER SECTIONS, AND AUXILIARY STRUCTURAL COMPONENTS OF MISSILES, ROCKETS, AND RE-ENTRY VEHICLES  WHICH ARE DESIGNED OR CONSTRUCTED FOR EXCLUSIVE USE WITH OR FOR HOUSING OF NUCLEAR WARHEADS AND/OR WARHEAD SECTIONS.","COMPONENTS AND PARTS PECULIAR TO THE WARHEAD OR WARHEAD SECTION, WHICH ARE NOT CLASSIFIABLE IN MORE SPECIFIC CLASSES."
"1120","NUCLEAR DEPTH CHARGES",1/15/1985,,"NUCLEAR DEPTH CHARGES",,"THIS CLASS INCLUDES NUCLEAR WEAPONS WHICH CONSIST  OF DEPTH CHARGE BODIES ASSEMBLED WITH NUCLEAR WARHEADS.  IT INCLUDES TRAINING WEAPONS AND ALL SPECIALLY DESIGNED  COMPONENTS WHICH ARE NOT CLASSIFIABLE ELSEWHERE.",
"1125","NUCLEAR DEMOLITION CHARGES",10/1/1991,,"NUCLEAR DEMOLITION CHARGES",,"THIS CLASS INCLUDES NUCLEAR WEAPONS WHICH ARE DESIGNED TO BE EMPLACED IN OR NEAR A STRUCTURE, AREA OR  THE LIKE, WHICH IS TO BE DESTROYED.  THE WEAPONS MAY INCLUDE ACCESSORIES.","OUTER CASES, CASE SECTIONS AND OTHER PECULIAR  COMPONENTS, WHICH ARE NOT CLASSIFIABLE ELSEWHERE."
"1127","NUCLEAR ROCKETS",9/15/1982,,"NUCLEAR ROCKETS","ROCKET MOTORS; WARHEAD COMPONENTS; ROCKET  COMPONENTS CLASSIFIED IN OTHER FSC CLASSES.","THIS CLASS INCLUDES NUCLEAR WEAPONS, CONSISTING OF ROCKET BODIES ASSEMBLED WITH NUCLEAR WARHEADS,  WHICH COMPRISE A SINGLE ITEM OF SUPPLY AND ARE ISSUED AS SUCH.","COMPONENTS PECULIAR TO ASSEMBLED ROCKETS WHICH ARE NOT CLASSIFIABLE ELSEWHERE."
