"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.306","Biodiesel","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",8/18/2010 13:30,1/1/2005 0:00
"10.787","Broadband Initiatives Program","Department of Agriculture / Rural Utilities Service","B - Project Grants (Discretionary), E - Direct Loans",9/9/2010 8:37,8/12/2009 14:31
"10.903","Soil Survey","Department of Agriculture / Natural Resources Conservation Service","L - DISSEMINATION OF TECHNICAL INFORMATION",8/30/2010 12:44,1/1/1969 0:00
"11.300","Investments for Public Works and Economic Development Facilities","Department of Commerce / Economic Development Administration","B - Project Grants",10/22/2009 12:01,1/1/1965 0:00
"11.307","Economic Adjustment Assistance","Department of Commerce / Economic Development Administration","B - PROJECT GRANTS",10/22/2009 12:09,1/1/1975 0:00
"11.611","Manufacturing Extension Partnership","Department of Commerce / National Institute of Standards and Technology (NIST)","B - Cooperative Agreements, L - DISSEMINATION OF TECHNICAL INFORMATION",7/23/2009 13:46,1/1/1992 0:00
"12.105","Protection of Essential Highways, Highway Bridge Approaches, and Public Works","Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES",3/20/2011 5:00,1/1/1970 0:00
"12.107","Navigation Projects","Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES",3/20/2011 5:00,1/1/1967 0:00
"12.108","Snagging and Clearing for Flood Control","Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES",3/20/2011 5:00,1/1/1970 0:00
"12.109","Protection, Clearing and Straightening Channels","Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES",9/19/2008 0:00,1/1/1970 0:00
"15.033","Road Maintenance_Indian Roads","Department of the Interior / Bureau of Indian Affairs","C - DIRECT PAYMENTS FOR A SPECIFIED USE",12/1/2010 10:29,1/1/1997 0:00
"15.234","Secure Rural Schools and Community Self-Determination","Department of the Interior / Bureau of Land Management","B - Cooperative Agreements",9/19/2010 20:08,1/1/2008 0:00
"15.616","Clean Vessel Act","Department of the Interior / Fish and Wildlife Service","B - PROJECT GRANTS",8/18/2010 7:52,1/1/1993 0:00
"15.916","Outdoor Recreation_Acquisition, Development and Planning","Department of the Interior / National Park Service","B - PROJECT GRANTS",12/1/2010 10:45,1/1/1981 0:00
"20.106","Airport Improvement Program","Department of Transportation / Federal Aviation Administration (FAA)","B - PROJECT GRANTS, K - ADVISORY SERVICES AND COUNSELING",8/13/2010 7:50,1/1/1983 0:00
"20.200","Highway Research and Development Program","Department of Transportation / Federal Highway Administration (FHWA)","B - Cooperative Agreements",7/27/2010 7:45,1/1/1970 0:00
"20.205","Highway Planning and Construction","Department of Transportation / Federal Highway Administration (FHWA)","A - FORMULA GRANTS, B - PROJECT GRANTS",7/27/2010 7:46,1/1/1967 0:00
"20.215","Highway Training and Education","Department of Transportation / Federal Highway Administration (FHWA)","B - Cooperative Agreements, M - TRAINING",7/28/2010 7:50,1/1/1980 0:00
"20.218","National Motor Carrier Safety","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","A - FORMULA GRANTS",8/2/2010 6:58,1/1/1983 0:00
"20.231","Performance and Registration Information Systems Management","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","B - Project Grants (Discretionary)",7/28/2010 7:50,1/1/2006 0:00
"20.232","Commercial Driver's License Program Improvement Grant","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","B - Cooperative Agreements, B - Project Grants, B - Project Grants (Discretionary)",8/2/2010 6:59,1/1/2005 0:00
"20.233","Border Enforcement Grants","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","B - Project Grants (Discretionary)",6/11/2010 7:23,1/1/2005 0:00
"20.234","Safety Data Improvement Program","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","B - Project Grants (Discretionary)",9/27/2010 9:01,1/1/2006 0:00
"20.235","Commercial Motor Vehicle Operator Training Grants","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","B - Project Grants (Discretionary)",8/2/2010 6:59,1/1/2006 0:00
"20.237","Commercial Vehicle Information Systems and Networks","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","B - Project Grants (Discretionary)",8/11/2010 7:55,1/1/2006 0:00
"20.238","Commercial Drivers License Information System (CDLIS) Modernization Grant","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","B - Cooperative Agreements, B - Project Grants, B - Project Grants (Discretionary)",8/2/2010 7:00,1/1/2007 0:00
"20.239","Motor Carrier Research and Technology Programs","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","B - Cooperative Agreements, B - Project Grants, B - Project Grants (Contracts)",8/13/2010 7:51,9/11/2009 8:40
"20.240","Fuel Tax Evasion-Intergovernmental Enforcement Effort","Department of Transportation / Federal Highway Administration (FHWA)","B - PROJECT GRANTS",7/28/2010 7:51,1/1/2006 0:00
"20.241","Federal Motor Carrier Safety Administration National Training Center","Department of Transportation","A - Formula Grants (Cooperative Agreements)",8/3/2010 10:30,9/21/2009 8:46
"20.242","Medical Programs","Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA)","B - Cooperative Agreements (Discretionary Grants)",2/4/2010 9:24,2/4/2010 9:24
"20.301","Railroad Safety","Department of Transportation / Federal Railroad Administration (FRA)","B - Project Grants",8/11/2010 7:55,1/1/1971 0:00
"20.313","Railroad Research and Development","Department of Transportation / Federal Railroad Administration (FRA)","B - PROJECT GRANTS",8/6/2010 7:45,1/1/2000 0:00
"20.314","Railroad Development","Department of Transportation / Federal Railroad Administration (FRA)","B - PROJECT GRANTS",8/11/2010 7:55,1/1/2006 0:00
"20.315","National Railroad Passenger Corporation Grants","Department of Transportation / Federal Railroad Administration (FRA)","B - PROJECT GRANTS",8/11/2010 7:56,1/1/2006 0:00
"20.316","Railroad Rehabilitation and Improvement Financing Program","Department of Transportation / Federal Railroad Administration (FRA)","E - DIRECT LOANS, F - Loan Guarantees/Grants",8/11/2010 7:56,1/1/2007 0:00
"20.317","Capital Assistance to States - Intercity Passenger Rail Service","Department of Transportation / Federal Railroad Administration (FRA)","B - PROJECT GRANTS",8/13/2010 7:51,1/1/2008 0:00
"20.318","Maglev Project Selection Program - SAFETEA-LU","Department of Transportation / Federal Railroad Administration (FRA)","B - Cooperative Agreements",8/11/2010 7:58,1/1/2008 0:00
"20.319","High-Speed Rail Corridors and Intercity Passenger Rail Service  Capital Assistance Grants","Department of Transportation / Federal Railroad Administration (FRA)","B - Cooperative Agreements, B - Project Grants",8/6/2010 7:45,6/17/2009 12:19
