"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.025","Plant and Animal Disease, Pest Control, and Animal Care","Department of Agriculture / Animal and Plant Health Inspection Service","B - PROJECT GRANTS",9/17/2010 9:12,1/1/1972 0:00
"10.153","Market News","Department of Agriculture / Agricultural Marketing Service","L - DISSEMINATION OF TECHNICAL INFORMATION",9/17/2010 7:34,1/1/1969 0:00
"10.155","Marketing Agreements and Orders","Department of Agriculture / Agricultural Marketing Service","J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING",9/17/2010 7:34,1/1/1969 0:00
"10.250","Agricultural and Rural Economic Research","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",11/29/2010 14:11,1/1/1969 0:00
"10.500","Cooperative Extension Service","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS, B - PROJECT GRANTS",9/14/2010 14:40,1/1/1970 0:00
"10.700","National Agricultural Library","Department of Agriculture / Agricultural Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",7/28/2010 7:41,1/1/1969 0:00
"10.903","Soil Survey","Department of Agriculture / Natural Resources Conservation Service","L - DISSEMINATION OF TECHNICAL INFORMATION",8/30/2010 12:44,1/1/1969 0:00
"10.907","Snow Survey and Water Supply Forecasting","Department of Agriculture / Natural Resources Conservation Service","L - DISSEMINATION OF TECHNICAL INFORMATION",8/30/2010 12:46,1/1/1971 0:00
"10.950","Agricultural Statistics Reports","Department of Agriculture / National Agricultural Statistics Service","L - DISSEMINATION OF TECHNICAL INFORMATION",9/17/2008 0:00,1/1/1969 0:00
"11.001","Census Bureau Data Products","Department of Commerce / U.S. Census Bureau","L - DISSEMINATION OF TECHNICAL INFORMATION",9/17/2008 0:00,1/1/1965 0:00
"11.002","Census Customer Services","Department of Commerce / U.S. Census Bureau","K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/17/2008 0:00,1/1/1970 0:00
"11.006","Personal Census Search","Department of Commerce / U.S. Census Bureau","J - PROVISION OF SPECIALIZED SERVICES",9/17/2008 0:00,1/1/1967 0:00
"11.026","STAT-USA: Key Business, Economic, and International Trade Information","Department of Commerce / Economics and Statistics Administration","L - DISSEMINATION OF TECHNICAL INFORMATION",9/18/2008 0:00,1/1/1994 0:00
"11.108","Commercial Service","Department of Commerce / International Trade Administration","K - ADVISORY SERVICES AND COUNSELING",9/18/2008 0:00,1/1/1980 0:00
"11.110","Manufacturing and Services","Department of Commerce / International Trade Administration","K - ADVISORY SERVICES AND COUNSELING",9/19/2008 0:00,1/1/1984 0:00
"11.150","Export Licensing Service and Information","Department of Commerce / Bureau of Export Administration","K - ADVISORY SERVICES AND COUNSELING",9/18/2008 0:00,1/1/1988 0:00
"11.303","Economic Development_Technical Assistance","Department of Commerce / Economic Development Administration","B - PROJECT GRANTS",10/16/2009 14:16,1/1/1969 0:00
"11.400","Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System)","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:26,1/1/2004 0:00
"11.553","Special Projects","Department of Commerce / National Telecommunications and Information Administration","B - PROJECT GRANTS",8/27/2010 7:47,1/1/2008 0:00
"11.603","National Standard Reference Data System","Department of Commerce / National Institute of Standards and Technology (NIST)","H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",9/19/2008 0:00,1/1/1969 0:00
"11.604","Standard Reference Materials","Department of Commerce / National Institute of Standards and Technology (NIST)","H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",9/19/2008 0:00,1/1/1969 0:00
"11.606","Weights and Measures Service","Department of Commerce / National Institute of Standards and Technology (NIST)","J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/19/2008 0:00,1/1/1967 0:00
"11.650","National Technical Information Service","Department of Commerce / National Technical Information Service","L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1971 0:00
"11.900","Patent and Trademark Technical Information Dissemination","Department of Commerce / Office of the Secretary","L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1969 0:00
"12.104","Flood Plain Management Services","Department of Defense / Department of the Army, Office of the Chief of Engineers","K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1965 0:00
"15.130","Indian Education_Assistance to Schools","Department of the Interior / Bureau of Indian Education","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/23/2010 7:52,1/1/1965 0:00
"15.850","Indian Arts and Crafts Development","Department of the Interior / Indian Arts and Crafts Board","I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",11/5/2008 0:00,1/1/1970 0:00
"15.915","Technical Preservation Services","Department of the Interior / National Park Service","J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",12/1/2010 10:45,1/1/1981 0:00
"15.916","Outdoor Recreation_Acquisition, Development and Planning","Department of the Interior / National Park Service","B - PROJECT GRANTS",12/1/2010 10:45,1/1/1981 0:00
"16.003","Law Enforcement Assistance_Narcotics and Dangerous Drugs Technical Laboratory Publications","Department of Justice / Drug Enforcement Administration","L - DISSEMINATION OF TECHNICAL INFORMATION",7/30/2009 11:35,1/1/1970 0:00
