"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.167","Transportation Services","Department of Agriculture / Agricultural Marketing Service","K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",9/17/2010 7:35,1/1/1991 0:00
"10.253","Food Assistance and Nutrition Research Programs (FANRP)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",10/30/2008 0:00,1/1/2008 0:00
"10.254","Program of Research on the Economic of Invasive Species Management (PREISM)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",10/30/2008 0:00,1/1/2008 0:00
"10.255","Research Innovation and Development Grants in Economic (RIDGE)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",10/30/2008 0:00,1/1/2008 0:00
"10.256","Consumer Data and Information Program","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",11/29/2010 14:14,1/1/2007 0:00
"10.320","Sun Grant Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Cooperative Agreements)",9/14/2010 14:41,3/24/2010 7:24
"10.759","Part 1774  Special Evaluation Assistance for Rural Communities and Households Program (SEARCH)","Department of Agriculture / Rural Development","B - Project Grants",9/7/2010 18:41,9/9/2009 11:18
"10.767","Intermediary Relending Program","Department of Agriculture / Rural Development","E - DIRECT LOANS",11/26/2010 10:42,1/1/1993 0:00
"10.787","Broadband Initiatives Program","Department of Agriculture / Rural Utilities Service","B - Project Grants (Discretionary), E - Direct Loans",9/9/2010 8:37,8/12/2009 14:31
"10.858","Denali Commmission Grants and Loans","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS",9/7/2010 19:00,1/1/2002 0:00
"11.010","Community Trade Adjustment Assistance","Department of Commerce / Economic Development Administration","B - Project Grants (Discretionary)",8/9/2010 8:19,10/8/2009 7:20
"11.302","Economic Development_Support for Planning Organizations","Department of Commerce / Economic Development Administration","B - PROJECT GRANTS",10/16/2009 14:11,1/1/1969 0:00
"11.303","Economic Development_Technical Assistance","Department of Commerce / Economic Development Administration","B - PROJECT GRANTS",10/16/2009 14:16,1/1/1969 0:00
"11.307","Economic Adjustment Assistance","Department of Commerce / Economic Development Administration","B - PROJECT GRANTS",10/22/2009 12:09,1/1/1975 0:00
"11.557","Broadband Technology Opportunities Program (BTOP)","Department of Commerce / National Telecommunications and Information Administration","B - Project Grants",8/27/2010 7:47,5/26/2009 15:39
"11.611","Manufacturing Extension Partnership","Department of Commerce / National Institute of Standards and Technology (NIST)","B - Cooperative Agreements, L - DISSEMINATION OF TECHNICAL INFORMATION",7/23/2009 13:46,1/1/1992 0:00
"12.002","Procurement Technical Assistance For Business Firms","Department of Defense / Defense Logistics Agency","B - PROJECT GRANTS",11/5/2008 0:00,1/1/1988 0:00
"12.599","Congressionally Directed Assistance","Department of Defense / Office of the Secretary of Defense","B - Cooperative Agreements, B - Project Grants",3/5/2010 12:50,3/5/2010 12:50
"14.251","Economic Development Initiative-Special Project, Neighborhood Initiative and Miscellaneous Grants","Department of Housing and Urban Development / Office of Community Planning and Development","B - PROJECT GRANTS",7/16/2010 8:03,1/1/2008 0:00
"15.226","Payments in Lieu of Taxes","Department of the Interior / Bureau of Land Management","C - DIRECT PAYMENTS FOR A SPECIFIED USE, D - DIRECT PAYMENTS WITH UNRESTRICTED USE",10/31/2008 0:00,1/1/1999 0:00
