"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.405","Farm Labor Housing Loans and Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS, F - GUARANTEED/INSURED LOANS",7/6/2010 6:25,1/1/1965 0:00
"10.410","Very Low to Moderate Income Housing Loans","Department of Agriculture / Rural Development","E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS",10/14/2010 7:16,1/1/1965 0:00
"10.411","Rural Housing Site Loans and Self_Help Housing Land Development Loans","Department of Agriculture / Rural Development","E - DIRECT LOANS",9/9/2010 8:37,1/1/1969 0:00
"10.415","Rural Rental Housing Loans","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS",8/9/2010 8:07,1/1/1967 0:00
"10.417","Very Low-Income Housing Repair Loans and Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS",10/14/2010 7:17,1/1/1970 0:00
"10.420","Rural Self-Help Housing Technical Assistance","Department of Agriculture / Rural Development","B - PROJECT GRANTS",8/23/2010 9:00,1/1/1970 0:00
"10.427","Rural Rental Assistance Payments","Department of Agriculture / Rural Development","C - DIRECT PAYMENTS FOR A SPECIFIED USE",8/13/2009 7:39,1/1/1978 0:00
"10.433","Rural Housing Preservation Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",8/23/2010 9:01,1/1/1986 0:00
"10.438","Section 538 Rural Rental Housing Guaranteed Loans","Department of Agriculture / Rural Development","F - GUARANTEED/INSURED LOANS",9/10/2010 7:42,1/1/1989 0:00
"10.441","Technical and Supervisory Assistance Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",8/23/2010 9:01,1/1/1993 0:00
"10.442","Housing Application Packaging Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",8/23/2010 9:02,1/1/1994 0:00
"10.444","Direct Housing_Natural Disaster Loans and Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS",8/23/2010 9:03,1/1/1998 0:00
"10.445","Direct Housing_Natural Disaster","Department of Agriculture / Rural Development","E - DIRECT LOANS",8/23/2010 9:03,1/1/1998 0:00
"10.447","The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR)","Department of Agriculture / Rural Housing Service","B - PROJECT GRANTS",9/7/2010 18:40,1/1/2007 0:00
"10.448","Rural Development Multi-Family Housing Rural Housing Voucher Demonstration Program","Department of Agriculture / Rural Development","C - Direct Payments for Specified Use",9/8/2010 12:23,10/14/2009 7:46
"10.451","Noninsured Assistance","Department of Agriculture / Farm Service Agency","D - DIRECT PAYMENTS WITH UNRESTRICTED USE",8/30/2010 9:57,1/1/1997 0:00
"10.759","Part 1774  Special Evaluation Assistance for Rural Communities and Households Program (SEARCH)","Department of Agriculture / Rural Development","B - Project Grants",9/7/2010 18:41,9/9/2009 11:18
"10.768","Business and Industry Loans","Department of Agriculture / Rural Development","F - GUARANTEED/INSURED LOANS",9/23/2010 7:51,1/1/1993 0:00
"10.788","Very Low to Moderate Income Housing Loans - Direct","Department of Agriculture / Rural Development","E - Direct Loans, F - Guaranteed/Insured Loans",8/23/2010 9:07,9/29/2009 12:10
"10.789","Very Low to Moderate Income Housing Loans - Guaranteed","Department of Agriculture / Rural Development","E - Direct Loans, F - Guaranteed/Insured Loans",11/28/2010 12:55,9/29/2009 12:10
"14.103","Interest Reduction Payments_Rental and Cooperative Housing for Lower Income Families","Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner","C - DIRECT PAYMENTS FOR A SPECIFIED USE, F - GUARANTEED/INSURED LOANS",9/20/2010 9:59,1/1/1969 0:00
"14.108","Rehabilitation Mortgage Insurance","Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner","F - GUARANTEED/INSURED LOANS",8/12/2010 7:32,1/1/1970 0:00
"14.110","Manufactured Home Loan Insurance_Financing Purchase of Manufactured Homes as Principal Residences of Borrowers","Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner","F - GUARANTEED/INSURED LOANS",8/12/2010 7:32,1/1/1970 0:00
"14.112","Mortgage Insurance for Construction or Substantial Rehabilitation of Condominium Projects","Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner","F - GUARANTEED/INSURED LOANS",8/12/2010 7:33,1/1/1970 0:00
"14.117","Mortgage Insurance_Homes","Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner","F - GUARANTEED/INSURED LOANS",8/13/2010 7:47,1/1/1967 0:00
"14.119","Mortgage Insurance_Homes for Disaster Victims","Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner","F - GUARANTEED/INSURED LOANS",8/13/2010 7:47,1/1/1967 0:00
"14.122","Mortgage Insurance_Homes in Urban Renewal Areas","Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner","F - GUARANTEED/INSURED LOANS",8/16/2010 9:12,1/1/1970 0:00
