"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.056","Farm Storage Facility Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS",8/30/2010 9:45,1/1/1970 0:00
"10.212","Small Business Innovation Research","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",1/10/2011 10:59,1/1/1986 0:00
"10.352","Value-Added Producer Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/23/2010 7:51,1/1/2005 0:00
"10.421","Indian Tribes and Tribal Corporation Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS",10/30/2008 0:00,1/1/1971 0:00
"10.450","Crop Insurance","Department of Agriculture / Risk Management Agency","G - INSURANCE",9/12/2008 0:00,1/1/1969 0:00
"10.603","Emerging Markets Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",10/30/2008 0:00,1/1/2002 0:00
"10.767","Intermediary Relending Program","Department of Agriculture / Rural Development","E - DIRECT LOANS",11/26/2010 10:42,1/1/1993 0:00
"10.768","Business and Industry Loans","Department of Agriculture / Rural Development","F - GUARANTEED/INSURED LOANS",9/23/2010 7:51,1/1/1993 0:00
"10.769","Rural Business Enterprise Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",11/26/2010 10:43,1/1/1993 0:00
"10.773","Rural Business Opportunity Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/29/2010 7:46,1/1/1999 0:00
"10.783","Rural Business Enterprise Grants - ARRA","Department of Agriculture / Rural Development","B - Project Grants",10/1/2009 10:56,10/1/2009 10:56
"10.787","Broadband Initiatives Program","Department of Agriculture / Rural Utilities Service","B - Project Grants (Discretionary), E - Direct Loans",9/9/2010 8:37,8/12/2009 14:31
"10.854","Rural Economic Development Loans and Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS",9/29/2010 7:46,1/1/1988 0:00
"10.861","Public Television Station Digital Transition Grant Program","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/8/2010 12:27,1/1/2005 0:00
"10.870","Rural Microentrepreneur Assistance Program","Department of Agriculture / Rural Business-Cooperative Service","B - Project Grants, E - Direct Loans",10/2/2009 9:32,10/2/2009 9:32
"10.961","Scientific Cooperation and Research","Department of Agriculture / Foreign Agricultural Service","B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE, M - Training",9/17/2010 7:37,1/1/1986 0:00
"11.001","Census Bureau Data Products","Department of Commerce / U.S. Census Bureau","L - DISSEMINATION OF TECHNICAL INFORMATION",9/17/2008 0:00,1/1/1965 0:00
"11.002","Census Customer Services","Department of Commerce / U.S. Census Bureau","K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/17/2008 0:00,1/1/1970 0:00
"11.003","Census Geography","Department of Commerce / U.S. Census Bureau","J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION",9/17/2008 0:00,1/1/1969 0:00
"11.004","Census Intergovernmental Services","Department of Commerce / U.S. Census Bureau","K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/17/2008 0:00,1/1/1970 0:00
"11.005","Census Special Tabulations and Services","Department of Commerce / U.S. Census Bureau","J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION",6/20/2008 0:00,1/1/1969 0:00
"11.010","Community Trade Adjustment Assistance","Department of Commerce / Economic Development Administration","B - Project Grants (Discretionary)",8/9/2010 8:19,10/8/2009 7:20
"11.012","Integrated Ocean Observing System (IOOS)","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - Project Grants",10/19/2009 7:46,10/19/2009 7:46
"11.013","Education Quality Award Ambassadorship","Department of Commerce / National Institute of Standards and Technology (NIST)","B - Cooperative Agreements",12/2/2009 14:21,12/2/2009 14:21
"11.025","Measures and Analyses of the U.S. Economy","Department of Commerce / Economics and Statistics Administration","L - DISSEMINATION OF TECHNICAL INFORMATION",9/18/2008 0:00,1/1/1976 0:00
"11.026","STAT-USA: Key Business, Economic, and International Trade Information","Department of Commerce / Economics and Statistics Administration","L - DISSEMINATION OF TECHNICAL INFORMATION",9/18/2008 0:00,1/1/1994 0:00
"11.106","Remedies for Unfair Foreign Trade Practices_Antidumping and Countervailing Duty Investigations","Department of Commerce / International Trade Administration","J - PROVISION OF SPECIALIZED SERVICES, N - INVESTIGATION OF COMPLAINTS",9/18/2008 0:00,1/1/2004 0:00
"11.108","Commercial Service","Department of Commerce / International Trade Administration","K - ADVISORY SERVICES AND COUNSELING",9/18/2008 0:00,1/1/1980 0:00
"11.110","Manufacturing and Services","Department of Commerce / International Trade Administration","K - ADVISORY SERVICES AND COUNSELING",9/19/2008 0:00,1/1/1984 0:00
"11.111","Foreign-Trade Zones in the United States","Department of Commerce / International Trade Administration","J - PROVISION OF SPECIALIZED SERVICES",9/18/2008 0:00,1/1/1986 0:00
"11.112","Market Development Cooperator Program","Department of Commerce / International Trade Administration","B - PROJECT GRANTS",9/18/2008 0:00,1/1/1994 0:00
"11.113","ITA Special Projects","Department of Commerce / International Trade Administration","B - PROJECT GRANTS",9/18/2008 0:00,1/1/1995 0:00
"11.150","Export Licensing Service and Information","Department of Commerce / Bureau of Export Administration","K - ADVISORY SERVICES AND COUNSELING",9/18/2008 0:00,1/1/1988 0:00
"11.300","Investments for Public Works and Economic Development Facilities","Department of Commerce / Economic Development Administration","B - Project Grants",10/22/2009 12:01,1/1/1965 0:00
"11.307","Economic Adjustment Assistance","Department of Commerce / Economic Development Administration","B - PROJECT GRANTS",10/22/2009 12:09,1/1/1975 0:00
"11.313","Trade Adjustment Assistance for Firms","Department of Commerce / Economic Development Administration","B - Cooperative Agreements",8/9/2010 8:19,1/1/1991 0:00
"11.400","Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System)","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:26,1/1/2004 0:00
"11.407","Interjurisdictional Fisheries Act of 1986","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","A - FORMULA GRANTS",6/30/2009 9:27,1/1/1971 0:00
"11.408","Fishermen's Contingency Fund","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","D - DIRECT PAYMENTS WITH UNRESTRICTED USE",6/30/2009 9:27,1/1/1971 0:00
"11.413","Fishery Products Inspection and Certification","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","J - PROVISION OF SPECIALIZED SERVICES",6/30/2009 9:28,1/1/1971 0:00
"11.415","Fisheries Finance Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","E - DIRECT LOANS",6/30/2009 9:28,1/1/1971 0:00
"11.427","Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/4/2009 8:33,1/1/1980 0:00
"11.434","Cooperative Fishery Statistics","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:32,1/1/1991 0:00
"11.435","Southeast Area Monitoring and Assessment Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/4/2009 9:56,1/1/1991 0:00
"11.436","Columbia River Fisheries Development Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:32,1/1/1991 0:00
"11.437","Pacific Fisheries Data Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:34,1/1/1991 0:00
"11.438","Pacific Coast Salmon Recovery_Pacific Salmon Treaty Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:34,1/1/1991 0:00
"11.439","Marine Mammal Data Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:34,1/1/1991 0:00
"11.441","Regional Fishery Management Councils","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:36,1/1/1991 0:00
"11.444","Hawaii Sustainable Fisheries Development (Aquaculture Program)","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:37,1/1/1991 0:00
"11.445","Hawaii Stock Management Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:38,1/1/1991 0:00
"11.450","Automated Flood Warning Systems (AFWS)","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:39,1/1/1993 0:00
"11.452","Unallied Industry Projects","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:40,1/1/1993 0:00
"11.455","Cooperative Science and Education Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:41,1/1/1993 0:00
"11.457","Chesapeake Bay Studies","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:41,1/1/1992 0:00
"11.462","Hydrologic Research","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/4/2009 9:57,1/1/1994 0:00
"11.463","Habitat Conservation","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",7/28/2009 11:21,1/1/1993 0:00
"11.474","Atlantic Coastal Fisheries Cooperative Management Act","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 10:17,1/1/1995 0:00
"11.477","Fisheries Disaster Relief","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",10/31/2008 0:00,1/1/1999 0:00
"11.478","Center for Sponsored Coastal Ocean Research_Coastal Ocean Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 10:18,1/1/1998 0:00
"11.482","Coral Reef Conservation Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - Cooperative Agreements",7/2/2010 7:25,7/2/2010 7:25
"11.550","Public Telecommunications Facilities Planning and Construction","Department of Commerce / National Telecommunications and Information Administration","B - PROJECT GRANTS",8/27/2010 7:46,1/1/1979 0:00
"11.557","Broadband Technology Opportunities Program (BTOP)","Department of Commerce / National Telecommunications and Information Administration","B - Project Grants",8/27/2010 7:47,5/26/2009 15:39
"11.601","Calibration Program","Department of Commerce / National Institute of Standards and Technology (NIST)","J - PROVISION OF SPECIALIZED SERVICES",9/18/2008 0:00,1/1/1970 0:00
"11.604","Standard Reference Materials","Department of Commerce / National Institute of Standards and Technology (NIST)","H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",9/19/2008 0:00,1/1/1969 0:00
"11.606","Weights and Measures Service","Department of Commerce / National Institute of Standards and Technology (NIST)","J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/19/2008 0:00,1/1/1967 0:00
"11.610","National Center for Standards and Certification Information","Department of Commerce / National Institute of Standards and Technology (NIST)","L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1986 0:00
"11.611","Manufacturing Extension Partnership","Department of Commerce / National Institute of Standards and Technology (NIST)","B - Cooperative Agreements, L - DISSEMINATION OF TECHNICAL INFORMATION",7/23/2009 13:46,1/1/1992 0:00
"11.617","Congressionally-Identified Projects","Department of Commerce / National Institute of Standards and Technology (NIST)","B - PROJECT GRANTS",11/13/2008 0:00,1/1/2002 0:00
"11.650","National Technical Information Service","Department of Commerce / National Technical Information Service","L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1971 0:00
"11.800","Minority Business Enterprise Centers","Department of Commerce / Minority Business Development Agency","B - PROJECT GRANTS",9/19/2008 0:00,1/1/1970 0:00
"11.801","Native American Business Enterprise Centers","Department of Commerce / Minority Business Development Agency","B - PROJECT GRANTS",9/19/2008 0:00,1/1/1986 0:00
"11.802","Minority Business Resource Development","Department of Commerce","B - Cooperative Agreements, B - Project Grants",5/12/2010 7:44,5/12/2010 7:44
"11.803","Minority Business Opportunity Center (MBOC)","Department of Commerce / Minority Business Development Agency","B - PROJECT GRANTS",9/19/2008 0:00,1/1/1986 0:00
"11.805","MBDA Business Center","Department of Commerce / Minority Business Development Agency","B - Cooperative Agreements",9/17/2010 7:37,9/17/2010 7:37
"11.900","Patent and Trademark Technical Information Dissemination","Department of Commerce / Office of the Secretary","L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1969 0:00
"12.002","Procurement Technical Assistance For Business Firms","Department of Defense / Defense Logistics Agency","B - PROJECT GRANTS",11/5/2008 0:00,1/1/1988 0:00
"12.102","Emergency Rehabilitation of Flood Control Works or Federally Authorized Coastal Protection Works","Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES",9/19/2008 0:00,1/1/1984 0:00
"12.103","Emergency Operations Flood Response and Post Flood Response","Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES",9/19/2008 0:00,1/1/1965 0:00
"12.600","Community Economic Adjustment","Department of Defense / Office of Economic Adjustment","B - Cooperative Agreements, B - Project Grants, J - Provision of Specialized Services, L - Dissemination of Technical Information",10/22/2010 11:29,10/22/2010 11:29
"12.607","Community Economic Adjustment Assistance for Establishment, Expansion, Realignment, or Closure of a Military Installation","Department of Defense / Office of Economic Adjustment","B - PROJECT GRANTS",9/19/2008 0:00,1/1/1985 0:00
"12.610","Community Economic Adjustment Planning Assistance for Joint Land Use Studies","Department of Defense / Office of Economic Adjustment","B - PROJECT GRANTS",9/19/2008 0:00,1/1/1989 0:00
"12.611","Community Economic Adjustment Planning Assistance for Reductions in Defense Industry Employment","Department of Defense / Office of Economic Adjustment","B - PROJECT GRANTS",9/19/2008 0:00,1/1/1992 0:00
"12.615","RESEARCH AND TECHNICAL ASSISTANCE","Department of Defense / Office of Economic Adjustment","B - PROJECT GRANTS",1/6/2009 0:00,1/1/2008 0:00
"14.218","Community Development Block Grants/Entitlement Grants","Department of Housing and Urban Development / Office of Community Planning and Development","A - Formula Grants",7/16/2010 8:01,1/1/1975 0:00
"14.225","Community Development Block Grants/Special Purpose Grants/Insular Areas","Department of Housing and Urban Development / Office of Community Planning and Development","B - PROJECT GRANTS",7/16/2010 8:01,1/1/1980 0:00
"14.227","Community Development Block Grants/Technical Assistance Program","Department of Housing and Urban Development / Office of Community Planning and Development","B - PROJECT GRANTS",7/16/2010 8:02,1/1/1981 0:00
"14.228","Community Development Block Grants/State's program and Non-Entitlement Grants in Hawaii","Department of Housing and Urban Development / Office of Community Planning and Development","A - FORMULA GRANTS",7/16/2010 8:03,1/1/1981 0:00
"14.246","Community Development Block Grants/Brownfields Economic Development Initiative","Department of Housing and Urban Development / Office of Community Planning and Development","B - PROJECT GRANTS",7/15/2010 13:24,1/1/1996 0:00
"14.263","Rural Innovation Fund","Department of Housing and Urban Development / Office of Community Planning and Development","B - Project Grants",9/29/2010 7:46,9/29/2010 7:46
"14.862","Indian Community Development Block Grant Program","Department of Housing and Urban Development / Office of Public and Indian Housing","B - PROJECT GRANTS",6/29/2010 14:45,1/1/1994 0:00
"15.020","Aid To Tribal Governments","Department of the Interior / Bureau of Indian Affairs","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/17/2010 7:39,1/1/1997 0:00
"15.021","Consolidated Tribal Government Program","Department of the Interior / Bureau of Indian Affairs","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/24/2010 8:16,1/1/1997 0:00
"15.022","Tribal Self-Governance","Department of the Interior / Bureau of Indian Affairs","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/24/2010 8:16,1/1/1997 0:00
"15.024","Indian Self-Determination Contract Support","Department of the Interior / Bureau of Indian Affairs","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/27/2010 8:47,1/1/1997 0:00
"15.032","Indian Economic Development","Department of the Interior / Bureau of Indian Affairs","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/27/2010 8:53,1/1/1997 0:00
"15.124","Indian Loans_Economic Development","Department of the Interior / Bureau of Indian Affairs","F - GUARANTEED/INSURED LOANS",12/2/2010 7:56,1/1/1970 0:00
"15.615","Cooperative Endangered Species Conservation Fund","Department of the Interior / Fish and Wildlife Service","B - PROJECT GRANTS",8/19/2010 7:40,1/1/1992 0:00
"15.850","Indian Arts and Crafts Development","Department of the Interior / Indian Arts and Crafts Board","I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",11/5/2008 0:00,1/1/1970 0:00
"15.875","Economic, Social, and Political Development of the Territories","Department of the Interior / Office of Insular Affairs","B - PROJECT GRANTS, D - Direct Payments with Unrestricted Use",9/19/2010 20:13,1/1/1982 0:00
"17.002","Labor Force Statistics","Department of Labor / Bureau of Labor Statistics","B - PROJECT GRANTS, L - DISSEMINATION OF TECHNICAL INFORMATION",11/17/2010 10:53,1/1/1969 0:00
"17.003","Prices and Cost of Living Data","Department of Labor / Bureau of Labor Statistics","L - DISSEMINATION OF TECHNICAL INFORMATION",8/23/2010 9:35,1/1/1969 0:00
"17.004","Productivity and Technology Data","Department of Labor / Bureau of Labor Statistics","L - DISSEMINATION OF TECHNICAL INFORMATION",8/23/2010 9:35,1/1/1969 0:00
"17.005","Compensation and Working Conditions","Department of Labor / Bureau of Labor Statistics","B - PROJECT GRANTS, L - DISSEMINATION OF TECHNICAL INFORMATION",8/23/2010 9:37,1/1/1969 0:00
"17.245","Trade Adjustment Assistance","Department of Labor / Employment Training Administration","B - PROJECT GRANTS",8/27/2010 7:52,1/1/1981 0:00
