"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.025","Plant and Animal Disease, Pest Control, and Animal Care","Department of Agriculture / Animal and Plant Health Inspection Service","B - PROJECT GRANTS",9/17/2010 9:12,1/1/1972 0:00
"10.053","Dairy Indemnity Program","Department of Agriculture / Farm Service Agency","D - DIRECT PAYMENTS WITH UNRESTRICTED USE",8/30/2010 9:47,1/1/1969 0:00
"10.207","Animal Health and Disease Research","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS",8/17/2010 12:37,1/1/1981 0:00
"10.320","Sun Grant Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Cooperative Agreements)",9/14/2010 14:41,3/24/2010 7:24
"10.421","Indian Tribes and Tribal Corporation Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS",10/30/2008 0:00,1/1/1971 0:00
"10.500","Cooperative Extension Service","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS, B - PROJECT GRANTS",9/14/2010 14:40,1/1/1970 0:00
"10.690","Lake Tahoe Erosion Control Grant Program","Department of Agriculture / Forest Service","B - Project Grants",8/16/2010 11:16,9/22/2009 13:18
"10.760","Water and Waste Disposal Systems for Rural Communities","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS",9/8/2010 12:24,1/1/1993 0:00
"10.762","Solid Waste Management Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/8/2010 12:25,1/1/1993 0:00
"10.763","Emergency Community Water Assistance Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/8/2010 12:25,1/1/1993 0:00
"10.770","Water and Waste Disposal Loans and Grants (Section 306C)","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS",9/7/2010 18:42,1/1/1993 0:00
