"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.207","Animal Health and Disease Research","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS",8/17/2010 12:37,1/1/1981 0:00
"10.210","Food and Agricultural Sciences National Needs Graduate Fellowship Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",9/17/2010 9:28,1/1/1985 0:00
"10.216","1890 Institution Capacity Building Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",9/14/2010 14:38,1/1/1990 0:00
"10.217","Higher Education Challenge Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",8/17/2010 14:58,1/1/1990 0:00
"10.220","Higher Education Multicultural Scholars Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",8/18/2010 10:06,1/1/1994 0:00
"10.221","Tribal Colleges Education Equity Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",1/10/2011 10:59,1/1/1997 0:00
"10.222","Tribal Colleges Endowment Program","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS",8/18/2010 10:35,1/1/1997 0:00
"10.223","Hispanic Serving Institutions Education Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",8/18/2010 10:39,1/1/1997 0:00
"10.226","Secondary and Two-Year Postsecondary Agriculture Education Challenge Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",8/18/2010 11:31,1/1/1999 0:00
"10.228","Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",8/18/2010 12:56,1/1/2001 0:00
"10.305","International Science and Education Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",8/18/2010 13:22,1/1/2005 0:00
"10.308","Resident Instruction Grants for Insular Area Activities","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",9/15/2010 7:54,1/1/2005 0:00
"10.318","Women and Minorities in Science, Technology, Engineering, and","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",1/10/2011 11:00,3/24/2010 7:23
"10.322","Distance Education Grants for Institutions of Higher Education in Insular Areas","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",11/17/2010 10:43,11/17/2010 10:43
"10.443","Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers","Department of Agriculture / Departmental Management","B - PROJECT GRANTS",3/31/2011 5:00,1/1/1994 0:00
"10.500","Cooperative Extension Service","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS, B - PROJECT GRANTS",9/14/2010 14:40,1/1/1970 0:00
"10.771","Rural Cooperative Development Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/29/2010 7:45,1/1/1994 0:00
"10.855","Distance Learning and Telemedicine Loans and Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS",11/28/2010 12:56,1/1/1992 0:00
"10.960","Technical Agricultural Assistance","Department of Agriculture / Foreign Agricultural Service","B - PROJECT GRANTS",9/17/2008 0:00,1/1/1986 0:00
"10.961","Scientific Cooperation and Research","Department of Agriculture / Foreign Agricultural Service","B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE, M - Training",9/17/2010 7:37,1/1/1986 0:00
"11.013","Education Quality Award Ambassadorship","Department of Commerce / National Institute of Standards and Technology (NIST)","B - Cooperative Agreements",12/2/2009 14:21,12/2/2009 14:21
"11.303","Economic Development_Technical Assistance","Department of Commerce / Economic Development Administration","B - PROJECT GRANTS",10/16/2009 14:16,1/1/1969 0:00
"11.417","Sea Grant Support","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",7/28/2009 11:18,1/1/1971 0:00
"11.430","Undersea Research","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:29,1/1/1987 0:00
"11.431","Climate and Atmospheric Research","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",10/2/2009 11:36,1/1/1987 0:00
"11.432","National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - Cooperative Agreements",8/11/2010 7:54,1/1/1990 0:00
"11.443","Short Term Climate Fluctuations","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:36,1/1/1992 0:00
"11.444","Hawaii Sustainable Fisheries Development (Aquaculture Program)","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:37,1/1/1991 0:00
"11.449","Independent Education and Science Projects and Programs","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",9/18/2008 0:00,1/1/1992 0:00
"11.459","Weather and Air Quality Research","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:41,1/1/1992 0:00
"11.460","Special Oceanic and Atmospheric Projects","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - Cooperative Agreements",6/30/2009 9:42,1/1/1992 0:00
"11.481","Educational Partnership Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/17/2009 12:06,1/1/2001 0:00
"11.555","Public Safety Interoperable Communications Grant Program","Department of Commerce / National Telecommunications and Information Administration","B - PROJECT GRANTS",10/10/2008 0:00,1/1/2008 0:00
"11.557","Broadband Technology Opportunities Program (BTOP)","Department of Commerce / National Telecommunications and Information Administration","B - Project Grants",8/27/2010 7:47,5/26/2009 15:39
"11.610","National Center for Standards and Certification Information","Department of Commerce / National Institute of Standards and Technology (NIST)","L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1986 0:00
"12.330","Science, Technology, Engineering & Mathematics (STEM) for K-12 & Institutions of Higher Learning- NAVY","Department of Defense / Department of the Navy, Office of the Chief of Naval Research","B - Cooperative Agreements, B - Project Grants",4/12/2011 10:56,4/12/2011 10:56
"12.351","Basic  Scientific Research - Combating Weapons of Mass Destruction","Department of Defense / Office of the Secretary of Defense","B - PROJECT GRANTS",9/19/2008 0:00,1/1/2007 0:00
"12.352","Scientific Research - Combating Weapons of Mass Destruction","Department of Defense / Office of the Secretary of Defense","B - PROJECT GRANTS",9/19/2008 0:00,1/1/2007 0:00
"12.357","ROTC Language and Culture Training Grants","Department of Defense / Defense Logistics Agency","B - Project Grants",9/7/2010 19:01,9/7/2010 19:01
"12.360","Research on Chemical and Biological Defense","Department of Defense / Office of the Secretary of Defense","B - PROJECT GRANTS",4/1/2011 5:00,1/1/2007 0:00
"12.369","Marine Corps Systems Command Federal Assistance Program","Department of Defense / Marine Corps Systems Command","B - Project Grants",4/28/2011 5:00,4/28/2011 5:00
"12.420","Military Medical Research and Development","Department of Defense / U.S. Army Medical Command","B - PROJECT GRANTS",9/19/2008 0:00,1/1/1991 0:00
"12.550","The Language Flagship Grants to Institutions of Higher Education","Department of Defense / Office of the Secretary of Defense","B - PROJECT GRANTS",3/30/2011 11:28,1/1/1996 0:00
"12.551","National Security Education Program David L. Boren Scholarships","Department of Defense","B - Project Grants (including individual awards)",2/6/2011 17:03,1/1/1998 0:00
"12.552","National Security Education Program David L. Boren Fellowships","Department of Defense","B - Project Grants (including individual awards)",2/6/2011 17:03,1/1/1998 0:00
"12.553","The Language Flagship Fellowships","Department of Defense","B - Project Grants (Fellowships)",3/30/2011 11:29,1/1/2006 0:00
"12.554","English for Heritage Language Speakers Grants to U.S. Institutions of Higher Education","Department of Defense / Office of the Assistant Secretary (strategy and Requirements)","B - PROJECT GRANTS",9/19/2008 0:00,1/1/2006 0:00
"12.555","English for Heritage Language Speakers Scholarships","Department of Defense","B - Project Grants (including individual awards)",2/6/2011 17:04,1/1/2006 0:00
"12.556","Competitive Grants: Promoting K-12 Student Achievement at Military-Connected Schools","Department of Defense","B - Project Grants (Discretionary)",10/20/2009 7:47,8/31/2009 8:03
"12.557","Invitational Grants for Military-Connected Schools","Department of Defense","B - Project Grants (Discretionary)",10/20/2009 7:45,10/20/2009 7:45
"12.558","Department of Defense Impact Aid (Supplement, CWSD, BRAC)","Department of Defense / Office of the Secretary of Defense","A - Formula Grants",11/18/2010 8:37,10/16/2009 8:44
"12.560","DOD, NDEP, DOTC-STEM Education Outreach Implementation","Department of Defense / Office of the Secretary of Defense","B - Project Grants",2/11/2011 13:26,4/18/2010 11:34
"12.630","Basic, Applied, and Advanced Research in Science and Engineering","Department of Defense / Office of the Secretary of Defense","B - Cooperative Agreements, B - Project Grants",4/18/2010 11:34,1/1/1994 0:00
"12.631","Science, Technology, Engineering and Mathematics (STEM) Educational Program: Science, Mathematics And Research for Transformation (SMART)","Department of Defense / Office of the Secretary of Defense","B - Project Grants",11/18/2010 8:38,4/18/2010 11:35
"12.700","Donations/Loans of Obsolete DOD Property","Department of Defense / Secretaries of Military Departments","I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT",9/19/2008 0:00,1/1/1971 0:00
"12.900","Language Grant Program","Department of Defense / National Security Agency","B - PROJECT GRANTS",11/13/2008 0:00,1/1/1992 0:00
"12.901","Mathematical Sciences Grants Program","Department of Defense / National Security Agency","B - PROJECT GRANTS",4/7/2011 5:02,1/1/1992 0:00
"12.902","Information Security Grant Program","Department of Defense / National Security Agency","B - PROJECT GRANTS",4/21/2011 10:09,1/1/1995 0:00
"14.516","Doctoral Dissertation Research Grants","Department of Housing and Urban Development / Office of Policy Development and Research","B - PROJECT GRANTS",7/21/2010 7:47,1/1/2001 0:00
"14.519","Tribal Colleges and Universities Program","Department of Housing and Urban Development / Office of Policy Development and Research","B - PROJECT GRANTS",7/21/2010 7:48,1/1/2001 0:00
"14.523","Transformation Initiative Research Grants: Sustainable Community Research Grant Program","Department of Housing and Urban Development / Office of Policy Development and Research","B - Project Grants",9/19/2010 20:05,7/12/2010 6:56
"14.524","Transformation Initiative Research Grants: Natural Experiments","Department of Housing and Urban Development / Office of Policy Development and Research","B - Project Grants",9/19/2010 20:06,7/12/2010 7:00
"14.525","Transformation Initiative Research Grants: Demonstration and Related Small Grants","Department of Housing and Urban Development / Office of Policy Development and Research","B - Project Grants",9/19/2010 20:06,7/12/2010 7:02
