"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"15.944","Natural Resource Stewardship","Department of the Interior / National Park Service","B - Cooperative Agreements (Discretionary Grants), C - Direct Payments for Specified Use",12/15/2010 7:44,12/15/2010 7:44
"15.978","Upper Mississippi River System Long Term Resource Monitoring Program","Department of the Interior / U.S. Geological Survey","B - Cooperative Agreements",8/2/2010 6:57,1/1/1998 0:00
"19.017","Environmental and Scientific Partnerships and Programs","U.S. Department of State / Bureau of Oceans and International Environmental and Scientific Affairs","B - Cooperative Agreements, B - Project Grants",10/14/2009 10:32,10/14/2009 10:32
"19.124","U.S. Department of State","U.S. Department of State / Bureau of East Asian and  Pacific Affairs","B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (for specified projects)",12/7/2010 10:06,12/7/2010 10:06
"20.219","Recreational Trails Program","Department of Transportation / Federal Highway Administration (FHWA)","A - Formula Grants, A - Formula Grants (Apportionments)",7/28/2010 7:50,1/1/1993 0:00
"66.120","Puget Sound Watershed Management Assistance","Environmental Protection Agency / Region 10","B - Cooperative Agreements",4/27/2010 7:35,10/22/2009 7:46
"66.121","Puget Sound Protection and Restoration: Tribal Implementation Assistance Program","Environmental Protection Agency / Region 10","B - Cooperative Agreements",4/27/2010 7:35,10/25/2009 10:24
"66.122","Puget Sound Action Agenda Outreach, Education and Stewardship Support Program","Environmental Protection Agency / Region 10","B - Cooperative Agreements",6/8/2010 7:44,12/17/2009 7:36
"66.123","Puget Sound Action Agenda: Technical Investigations and Implementation Assistance Program","Environmental Protection Agency / Region 10","B - Project Grants",10/22/2010 11:30,12/17/2009 7:36
"66.124","Coastal Wetlands Planning Protection and Restoration Act","Environmental Protection Agency / Region 6","B - Cooperative Agreements",4/5/2010 7:14,4/5/2010 7:14
"66.125","Lake Pontchartrain Basin Restoration Program (PRP)","Environmental Protection Agency / Region 6","B - Cooperative Agreements",4/5/2010 7:15,4/5/2010 7:15
"66.126","THE SAN FRANCISCO BAY WATER QUALITY IMPROVEMENT FUND","Environmental Protection Agency / Region 9","B - Project Grants",10/22/2010 11:31,10/22/2010 11:31
"66.432","State Public Water System Supervision","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:38,1/1/1975 0:00
"66.433","State Underground Water Source Protection","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:38,1/1/1975 0:00
"66.461","Regional Wetland Program Development Grants","Environmental Protection Agency / Office of Water","B - Cooperative Agreements",4/27/2010 7:40,1/1/1989 0:00
"66.462","National Wetland Program Development Grants and Five-Star Restoration Training Grant","Environmental Protection Agency / Office of Water","B - Cooperative Agreements",4/27/2010 7:40,1/1/2005 0:00
"66.812","Hazardous Waste Management Grant Program for Tribes","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - Cooperative Agreements",4/30/2010 7:36,1/1/2002 0:00
"81.057","University Coal Research","Department of Energy","B - PROJECT GRANTS",9/29/2010 7:48,1/1/1980 0:00
"81.105","National Industrial Competitiveness through Energy, Environment, and Economics","Department of Energy","B - PROJECT GRANTS",10/1/2010 8:20,1/1/1993 0:00
"81.132","Geologic Sequestration Site Characterization","Department of Energy","B - Cooperative Agreements",10/1/2010 8:20,5/22/2009 9:42
"81.134","Industrial Carbon Capture and Storage (CCS) Application","Department of Energy","B - Cooperative Agreements",7/28/2009 8:06,5/22/2009 9:42
"81.214","Environmental Monitoring/Cleanup, Cultural and Resource Mgmt., Emergency Response Research, Outreach, Technical Analysis","Department of Energy","B - Cooperative Agreements (Discretionary Grants)",11/28/2010 12:58,11/28/2010 12:58
"91.003","91.003 Annual Senior Fellowship Competition","United States Institute of Peace","B - Project Grants (Cooperative Agreements or Contracts)",6/27/2010 8:22,6/27/2010 8:22
