Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$5,798,853","$5,399,623","$6,055,730","$6,030,012","$5,779,630","$4,214,724","$3,702,973","$17,110,150","$11,197,618","$19,153,281","$15,065,171","$29,238,254","$22,542,434","$31,254,360","$10,460,460","$52,510,741","$50,818,314"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858","$1,112,811","$1,107,307","$1,105,517","$1,108,427","$981,259","$546,781","$513,954","$514,098","$637,120","$514,000","$531,413","$1,814,782","$1,265,000","$10,074,611","$5,413,238","$9,104,453","$6,392,832"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205","$1,718,248",$0,"$3,080,823","$2,757,193","$2,804,018","$1,459,565","$1,628,185","$840,131","$556,807","$7,895,018","$8,312,600","$4,174,046","$6,390,393","$4,490,240","$5,345,668","$4,735,708","$6,399,639"
2007,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205","$335,090","$245,489","$229,864","$259,019",$0,"$203,000","$212,000",$0,$0,"$614,000","$77,989","$210,402","$2,085,306","$1,072,680","$50,000",$0,"$120,355"
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816","$1,000,000","$890,000","$926,402","$500,000","$600,000","$540,000","$600,000","$300,000",$0,$0,"$1,712,942","$1,249,013","$1,272,523","$1,272,380","$2,416,242","$1,938,794","$1,825,047"
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049","$1,159,926","$1,012,516","$1,012,874","$1,187,394","$897,248","$143,905","$52,405","$136,381","$198,021","$222,019","$265,130","$734,746","$414,595","$903,913","$969,747","$967,613","$1,009,888"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138","$6,178,972","$5,502,783","$5,444,877","$4,844,545","$4,333,933","$2,369,892","$8,257,560","$8,461,904","$19,436,985","$23,369,730","$33,967,130","$36,433,426","$32,996,566","$46,784,483","$51,415,681","$44,240,076","$47,401,150"
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625","$802,856","$803,130","$766,128","$877,360","$671,193","$501,028","$524,782","$1,277,450","$1,432,635","$1,745,973","$2,154,485","$2,071,322","$2,541,811","$3,885,761","$3,825,921","$3,978,039","$3,119,031"
2007,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744","$808,390","$880,884","$795,787","$771,960","$674,752","$353,514","$353,415","$142,229","$692,893","$540,627","$465,424","$754,913","$1,053,553","$822,054","$1,032,449","$1,319,409","$2,734,837"
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086","$149,956","$71,601",,,,,,,,,,,,,,,
2007,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",$0,$0,$0,$0,,,$0,$0,$0,$0,"$117,275",$0,"$506,686","$677,819","$717,957","$681,457","$676,771"
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",$0,$0,"$6,833",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,$0,$0
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",$0,"$12,160","$31,108","$9,600",$0,$0,"$36,874",$0,"$865,506","$290,578","$734,088","$1,331,537","$1,581,210","$1,799,634","$1,615,047","$2,053,515","$2,398,080"
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",$0,"$43,441",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",$0,"$600,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2007,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498","$221,243","$240,388","$266,805","$310,797","$293,558","$244,771","$196,397","$399,262","$362,102","$440,309","$461,913","$426,277","$522,722","$611,730","$738,450","$661,500","$1,065,689"
2007,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$3,020,236","$3,027,319","$3,118,463","$3,070,477","$3,835,477","$486,303","$191,776"
2007,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229","$635,500","$839,314","$837,433","$819,000","$851,221","$1,025,867","$1,058,232","$1,452,160","$1,486,904","$1,787,790","$1,888,899","$2,097,917","$2,559,916","$3,643,274","$3,027,776","$4,284,648","$9,000,556"
2007,0028,Pierce County Ferry Operations,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",$0,"$48,727",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205","$340,000","$1,306,000",$0,"$508,920","$537,521","$386,577","$281,577","$1,036,726","$19,112","$2,598,193","$5,616,290","$5,779,749","$7,020,865","$7,215,884","$6,502,610","$5,482,944","$4,877,750"
2006,0033,Senior Services of Snohomish County,Mukilteo,WA,"Seattle, WA",14,954,"2,712,205","$93,501","$18,580","$37,375","$6,873","$26,250",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
2007,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780","$516,547","$271,169","$501,221","$426,776","$472,242","$511,287","$511,287","$1,462,676","$1,673,305","$802,823","$745,176","$792,760","$1,500,042","$1,661,446","$2,196,846","$2,496,788","$1,970,185"
2007,0035,Washington State Ferries,Seattle,WA,"Seattle, WA",14,954,"2,712,205",$0,"$14,566",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1991,0036,"ATE Management & Service Company, Inc.",Mukilteo,WA,"Seattle, WA",18,588,"1,744,086",$0,,,,,,,,,,,,,,,,
1998,0038,Community and Rural Transportation ,Idaho Falls,ID,"Idaho Falls, ID",362,21,"56,356",,,"$190,112","$217,053","$170,037","$183,370","$141,769","$260,849",,,,,,,,,
2007,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",,,,,,,,,$0,$0,"$345,923","$45,885","$89,080",$0,$0,"$41,280","$784,703"
2007,0041,Alaska Railroad Corporation,Anchorage,AK,"Anchorage, AK",135,79,"225,744",,,,,,,,,,,$0,$0,$0,$0,$0,$0,$0
