Date,Name,Price Paid,Pricing Mechanism,Description,Transaction Type,FDIC Number,OTS Number,Type of Institution,Total Assets (Q4 2008),Regulator,City,State,Stock Symbol,Program,Warrant Strike Price,Warrant Received,Stock Price (as of close 2009-04-08),In/Out of Money (as of close 2009-04-08),Subsidy Rate Estimate (percentage),Subsidy Rate Estimate Date,Subsidy Rate Estimate Source
2009-03-27,"NAPLES BANCORP, INC.",4000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3238596,,holding company,157103000.00,,Naples,FL,,CPP,,,,,,,
2009-03-27,PATHWAY BANCORP,3727000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3304361,,holding company,153859000.00,,Cairo,NE,,CPP,,,,,,,
2009-03-27,"SBT BANCORP, INC.",4000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3385100,,holding company,240699000.00,,Simsbury,CT,,CPP,,,,,,,
2009-03-27,"SPIRIT BANKCORP, INC.",30000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1062135,,holding company,1265063000.00,,Bristow,OK,,CPP,,,,,,,
2009-03-27,"TRIAD BANCORP, INC.",3700000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3722376,,holding company,146340000.00,,Frontenac,MO,,CPP,,,,,,,
2009-03-27,TRINITY CAPITAL CORPORATION,35539000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1056161,,holding company,1409958000.00,,Los Alamos,NM,,CPP,,,,,,,
2009-03-20,Citizens Bank & Trust Company,2400000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,16417,,bank,129320000.00,FDIC,Covington,LA,,CPP,,,,,,,
2009-03-20,"COMMUNITY FIRST BANCSHARES, INC.",20000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1140659,,holding company,1348746000.00,,Union City,TN,,CPP,,,,,,,
2009-03-20,FARMERS AND MERCHANTS FINANCIAL CORPORATION,442000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1059694,,holding company,22709000.00,,Argonia,KS,,CPP,,,,,,,
2009-03-20,"FARMERS STATE BANKSHARES, INC.",700000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1717707,,holding company,45528000.00,,Holton,KS,,CPP,,,,,,,
2009-03-20,"FIRST COLEBROOK BANCORP, INC.",4500000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1132636,,holding company,194128000.00,,Colebrook,NH,,CPP,,,,,,,
2009-03-20,FIRST NBC BANK HOLDING COMPANY,17836000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3485541,,holding company,641026000.00,,New Orleans,LA,,CPP,,,,,,,
2009-03-20,HERITAGE OAKS BANCORP,21000000.00,Par,Preferred Stock w/Warrants,Purchase,2253529,,holding company,803809000.00,,Paso Robles,CA,,CPP,,,,,,,
2009-03-20,"KIRKSVILLE BANCORP, INC.",470000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3357938,,holding company,21772000.00,,Kirksville,MO,,CPP,,,,,,,
2009-03-20,"PEOPLES BANCSHARES OF TN, INC.",3900000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3403161,,holding company,175754000.00,,Madisonville,TN,,CPP,,,,,,,
2009-03-20,PREMIER BANK HOLDING COMPANY,9500000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,2815468,,holding company,430848000.00,,Tallahassee,FL,,CPP,,,,,,,
2009-03-13,"1st United Bancorp, Inc.",10000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,2860431,,holding company,618037000.00,,Boca Raton,FL,,CPP,,,,,,,
2009-03-13,"BancIndependent, Inc.",21100000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1082209,,holding company,898455000.00,,Sheffield,AL,,CPP,,,,,,,
2009-03-13,Bank of George,2672000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,58626,,bank,101328000.00,FDIC,Las Vegas,NV,,CPP,,,,,,,
2009-03-13,"Blackhawk Bancorp, Inc.",10000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1491913,,holding company,500257000.00,,Beloit,WI,,CPP,,,,,,,
2009-03-13,"Butler Point, Inc.",607000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1246793,,holding company,40840000.00,,Catlin,IL,,CPP,,,,,,,
2009-03-13,Discover Financial Services,1224558000.00,Par,Preferred Stock w/Warrants,Purchase,,,bank,,,Riverwoods,IL,,CPP,,,,,,,
2009-03-13,First American International Corp.,17000000.00,Par,Preferred Stock,Purchase,3266302,,holding company,604374000.00,,Brooklyn,NY,,CPP,,,,,,,
2009-03-13,First Intercontinental Bank,6398000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,34998,,bank,235316000.00,FDIC,Doraville,GA,,CPP,,,,,,,
2009-03-13,First National Corporation,13900000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1076123,,holding company,547356000.00,,Strasburg,VA,,CPP,,,,,,,
2009-03-13,First Northern Community Bancorp,17390000.00,Par,Preferred Stock w/Warrants,Purchase,2880626,,holding company,670796000.00,,Dixon,CA,,CPP,,,,,,,
2009-03-13,First Place Financial Corp.,72927000.00,Par,Preferred Stock w/Warrants,Purchase,876371,H3282,thrift holding company,3186505000.00,Thrift,Warren,OH,,CPP,,,,,,,
2009-03-13,"Haviland Bancshares, Inc.",425000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1063945,,holding company,27752000.00,,Haviland,KS,,CPP,,,,,,,
2009-03-13,IBW Financial Corporation,6000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,2326179,,holding company,363881000.00,,Washington,DC,,CPP,,,,,,,
2009-03-13,Madison Financial Corporation,3370000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,2747260,,holding company,141740000.00,,Richmond,KY,,CPP,,,,,,,
2009-03-13,Moneytree Corporation,9516000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3387832,,holding company,436583000.00,,Lenoir City,TN,,CPP,,,,,,,
2009-03-13,"Provident Community Bancshares, Inc.",9266000.00,Par,Preferred Stock w/Warrants,Purchase,3177341,,holding company,436350000.00,,Rock Hill,SC,,CPP,,,,,,,
2009-03-13,"Salisbury Bancorp, Inc.",8816000.00,Par,Preferred Stock w/Warrants,Purchase,2693273,,holding company,494517000.00,,Lakeville,CT,,CPP,,,,,,,
2009-03-13,"Sovereign Bancshares, Inc.",18215000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3269602,,holding company,756030000.00,,Dallas,TX,,CPP,,,,,,,
2009-03-13,"Unity Bancshares, Inc.",3000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,2630746,,holding company,337676000.00,Federal Reserve,Saint John,MO,,CPP,,,,,,,
2009-03-06,AmeriBank Holding Company,2492000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3043008,,holding company,105214000.00,Federal Reserve,Collinsville,OK,,CPP,,,,,,,
2009-03-06,"Blue Ridge Bancshares, Inc.",12000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1891317,,holding company,466625000.00,Federal Reserve,Independence,MO,,CPP,,,,,,,
2009-03-06,"Blue River Bancshares, Inc.",5000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,,H3082,thrift holding company,252152000.00,,Shelbyville,IN,,CPP,,,,,,,
2009-03-06,"BOH Holdings, Inc.",10000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3807974,,holding company,382030000.00,Federal Reserve,Houston,TX,,CPP,,,,,,,
2009-03-06,Citizens Bancshares Corporation,7462000.00,Par,Preferred Stock,Purchase,1078958,,holding company,347751000.00,Federal Reserve,Atlanta,GA,,CPP,,,,,,,
2009-03-06,"Community Bancshares of Kansas, Inc. ",500000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3488289,,holding company,26266000.00,Federal Reserve,Goff,KS,,CPP,,,,,,,
2009-03-06,"Farmers & Merchants Bancshares, Inc.",11000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1134881,,holding company,470785000.00,Federal Reserve,Houston,TX,FMBN,CPP,,,,,,,
2009-03-06,First Busey Corporation,100000000.00,Par,Preferred Stock w/Warrants,Purchase,1203602,,holding company,4465247000.00,Federal Reserve,Urbana,IL,BUSE,CPP,,,,,,,
2009-03-06,"First Federal Bancshares of Arkansas, Inc.",16500000.00,Par,Preferred Stock w/Warrants,Purchase,,H2658,thrift holding company,795143000.00,,Harrison,AR,FFBH,CPP,,,,,,,
2009-03-06,"First Reliance Bancshares, Inc.",15349000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3070312,,holding company,598360000.00,Federal Reserve,Florence,SC,,CPP,,,,,,,
2009-03-06,"First Southwest Bancorporation, Inc.",5500000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3228681,,holding company,238169000.00,Federal Reserve,Alamosa,CO,,CPP,,,,,,,
