Failed Institution,City,State,Date of Bank Closure,Estimated Loss to the Deposit Insurance Fund (exact),Estimated Loss to the Deposit Insurance Fund (lower range),Estimated Loss to the Deposit Insurance Fund (upper range),Notes,Report
Omni National Bank,Atlanta,GA,2009-03-27,290000000.00,,,,
Colorado National Bank,Colorado Springs,CO,2009-03-20,9000000.00,,,,
FirstCity Bank,Stockbridge,GA,2009-03-20,100000000.00,,,,
"TeamBank, National Association",Paola,KS,2009-03-20,98000000.00,,,,
Freedom Bank of Georgia,Commerce,GA,2009-03-06,36200000.00,,,,
Heritage Community Bank,Glenwood,IL,2009-02-27,41600000.00,,,,
Security Savings Bank,Henderson,NV,2009-02-27,59100000.00,,,,
Silver Falls Bank,Silverton,OR,2009-02-20,50000000.00,,,,
Corn Belt Bank and Trust Company,"Pittsfield,",IL,2009-02-13,100000000.00,,,,
Pinnacle Bank of Oregon,Beaverton,OR,2009-02-13,12100000.00,,,,
Riverside Bank of the Gulf Coast,Cape Coral,FL,2009-02-13,201500000.00,,,,
Sherman County Bank,Loup City,NE,2009-02-13,28000000.00,,,,
Alliance Bank,Culver City,CA,2009-02-06,206000000.00,,,,
County Bank,Merced,CA,2009-02-06,135000000.00,,,,
FirstBank Financial Services,McDonough,GA,2009-02-06,110000000.00,,,,
MagnetBank,Salt Lake City,UT,2009-01-30,119400000.00,,,,
Ocala National Bank,Ocala,FL,2009-01-30,99600000.00,,,,
Suburban Federal Savings Bank,Crofton,MD,2009-01-30,126000000.00,,,,
1st Centennial Bank,Redlands,CA,2009-01-23,227000000.00,,,,
Bank of Clark County,Vancouver,WA,2009-01-16,,120000000.00,145000000.00,,
National Bank of Commerce,Berkeley,IL,2009-01-16,97100000.00,,,,
Haven Trust Bank,Duluth,GA,2008-12-12,200000000.00,,,,
Sanderson State Bank,Sanderson,TX,2008-12-12,12500000.00,,,,
First Georgia Community Bank,Jackson,GA,2008-12-05,72200000.00,,,,
Downey Savings and Loan,Newport Beach,CA,2008-11-21,1400000000.00,,,,
