Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$4,617,346",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$67,941","$347,249",$0,$0,"$3,723,941","$1,212,316","$4,519,926"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858","$20,090",$0,$0,$0,$0,$0,$0,"$160,645","$138,330","$141,386","$204,608",$992,$0,$0,"$120,900","$484,741","$438,464","$57,558"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",$0,$0,$0,"$6,870,613","$4,953,257","$1,558,879","$1,480,984","$826,084","$5,796,235",$0,$0,"$4,737,878","$1,743,146","$4,163,400","$7,426,921","$9,305,475","$12,279,008","$15,081,026"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",$0,$0,$0,$0,$0,$0,$0,"$253,948","$3,632,324",$0,"$38,700",$0,"$19,217",$0,$0,$0,$0,"$82,654"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$27,951",$0,$0,$0,"$69,577","$234,354",$0,$0,"$218,613"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",$0,"$10,896","$46,301","$214,120","$82,241",$0,$0,$0,"$216,128","$60,419","$209,733","$104,178","$86,639","$203,374","$42,078","$13,221","$32,146","$442,737"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138","$586,483","$1,299,118","$5,326,049","$11,138,064","$23,348,499","$23,081,528","$38,751,996","$15,087,146","$562,701","$645,004","$992,545",$0,"$564,812",$0,$0,"$10,577",$0,$0
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744","$21,238",$512,"$43,730","$110,027",$0,"$441,569",$0,"$49,817","$1,067,265","$72,900","$1,134","$4,652","$79,738","$2,186,746","$1,133,972","$776,607","$678,295","$190,093"
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",$0,,,,,,,,,,,,,,,,,
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",$0,$0,$0,$0,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$67,763"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",$0,"$610,457",$0,$0,$0,"$200,000",$0,$0,$0,$0,$0,$0,$0,,$0,$0,$0,"$1,199,940"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826","$865,169","$1,040,380","$3,463,889","$3,693,589","$2,700,128","$1,307,171","$670,297","$1,141,942","$459,304",$0,$0,"$50,755","$463,164",$0,$0,$0,$0,$0
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",$0,$0,"$1,317,248",$0,"$4,773,591","$191,900","$2,960,959","$1,065,858","$4,724,774","$2,259,780","$505,916","$20,000",$0,"$961,683","$657,800","$347,524","$3,214","$171,748"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",$0,$0,$0,"$873,525","$713,497","$340,200","$23,928","$199,877","$306,973","$3,380",$0,$0,$0,"$15,918","$240,864","$272,783","$856,820",$0
2008,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",$0,"$2,975",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$90,931",$0
2008,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$180,000",$0,$0,$0,$0,$0,"$74,918","$1,017,696","$874,320"
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$37,629"
2008,0028,Pierce County Ferry Operations,University Place,WA,"Seattle, WA",14,954,"2,712,205",$0,"$173,174","$1,512,133","$1,965,501","$36,296","$9,302","$60,635",$0,"$17,390",$0,$0,$0,$0,$0,"$1,764,500",$0,"$83,376",$0
