FY,COMPANY NAME,SHIPYARD,PROJECT DESCRIPTION (Quantity),PROJECT COST,TITLE XI COMMITMENT AMOUNT,DATE APPROVED,Default Fiscal Year,Default Date,Total Guarentee Amount at Default,Paid Out Amount,Recovered Amount
1994,"Cenac Towing Company, Inc.",NABRICO (Nashville Bridge Co.),"(40) Double-Skin 30,000 Barrel Inshore Tank Barge","$51,108,701.00 ","$44,720,000.00 ",5/11/1994,,,,,
1994,"Penn Barge, Inc.","Alabama Shipyard, Inc./ Halter Marine, Inc.",(2) Integrated Tug/Barges,"$35,000,000.00 ","$26,250,000.00 ",6/22/1994,,,,,
1994,Puerto Quetzal,McDermott Incorp.,(2) U.S-Flag Power Barges,"$95,000,000.00 ","$25,000,000.00 ",5/11/1994,,,,,
1994,"Global Industries, Ltd.",Aker Gulf Marine,(1) Swath Dive Support Vessel,"$23,711,000.00 ","$20,852,000.00 ",7/6/1994,,,,,
1994,National Steel & Shipbuilding Company,National Steel & Shipbuilding Company,Phase I and Phase II Capital Improvement Projects,"$26,000,000.00 ","$22,700,000.00 ",7/15/1994,,,,,
1994,"Coastal Ship, Inc.",Trinity Marine Group,(2) Catamaran-hull RO/RO,"$132,472,404.00 ","$115,912,000.00 ",7/26/1994,,,,,
1994,Compania de Electricidad de Puerto Plata,McDermott Incorp.,(1) Barge Mounted Power Barge,"$39,551,868.00 ","$34,293,000.00 ",8/8/1994,,,,,
1995,"Surf Express, Inc.","Gulf Coast Yachts, Inc.",(1) Wave Piercer Catamaran Ferry,"$1,850,000.00 ","$1,480,000.00 ",2/14/1995,1998,2/1/1998,"$1,701,000.00","$1,788,854.00","$100,000.00"
1995,"Great AQ Steamboat Company (formerly Delta Queen Steamship Development, Inc.)","McDermott - New Orleans, LA",(1) Paddhewheel Steamboat,"$69,424,647.00 ","$60,746,000.00 ",7/26/1995,2002,1/1/2002,"$33,334,000.00","$25,185,531.00",$0.00
1995,Avondale Industries Inc.,N/A,Shipyard Modernization,"$20,320,000.00 ","$17,780,000.00 ",10/24/1994,,,,,
1995,Fleves Shipping Corporation,Newport News Shipbuilding & Drydock Company,(4) Product Tankers,"$152,620,000.00 ","$133,542,000.00 ",10/31/1994,,,,,
1995,Edison Chouest Offshore,North American Shipbuilding,(1) Undersea Warfare surface Support Ship,"$13,659,432.00 ","$11,658,282.00 ",2/1/1995,,,,,
1995,Bay Transportation Inc. d/b/a St. Phillip Towing,Nashville Bridge Co.,(2) Stern drive tractor tugs,"$11,628,540.00 ","$10,174,000.00 ",2/7/1995,,,,,
1995,American Heavy Lift Shipping Company,"Avondale Industries, Inc.",(4) Double-hulled Product Tankers,"$159,273,686.00 ","$139,364,475.00 ",2/6/1995,,,,,
1995,Alpha Marine Services,North American Shipbuilding,(6) Tractor-Type Tugs,"$13,484,704.95 ","$11,799,000.00 ",2/24/1995,,,,,
1995,"Canal Barge Company, Inc.",Trinity/Newpark Ship/Conrad Ind.,(4) Steel Liquid Tank Barges; (1) 260' Deck Barge;  (1) 120' Deck Barge,"$4,982,452.00 ","$4,359,645.00 ",4/13/1995,,,,,
1995,Manson Construction & Engineering Company,"Nichols Marine - Portland, OR",(3) Dump Barges,"$9,766,976.00 ","$8,544,000.00 ",5/31/1995,,,,,
1995,"Maryland Marine, Inc.","Trinity - Madisonville, LA",(4) Double-skill unmanned tank barges,"$5,142,860.00 ","$4,500,000.00 ",6/14/1995,,,,,
1995,"Martin Gas Marine, Inc.","AMFELS - Brownsville, TX",(2) Tug/Barge unit,"$17,000,000.00 ","$14,875,000.00 ",7/25/1995,,,,,
1995,"Alpha Marine Services, Inc.","North America - Larose, LA",(1) Deepwater Supply Vessel,"$6,000,000.00 ","$5,250,000.00 ",8/11/1995,,,,,
1995,"Edison Chouest Offshore, Inc.","North America - Larose, LA",(1) Self-sustaining breakbulk Container vessel,"$17,000,000.00 ","$12,883,000.00 ",8/21/1995,,,,,
1996,"SEAREX, Inc.","Gulf Coast - Lakeshore, MS","(4) Self-propelled, Self-Elevating Vessels","$60,197,928.00 ","$43,961,000.00 ",10/28/1995,2001,3/1/2001,"$77,269,000.00","$78,099,782.00","$25,405,708.00"
1996,"North American Shipbuilding, Inc.","North American - Larose, LA",Shipyard Modernization,"$7,408,519.00 ","$6,386,000.00 ",10/23/1995,,,,,
1996,Great Independence Ship Co.,"Newport News - Newport News, VA",(1) Reconstruction/Reconditioning of INDEPENDENCE,"$46,399,628.00 ","$33,332,000.00 ",11/16/1995,,,,,
1996,"Parker Towing Company, Inc.","Trinity Marine - Nashville, TN",(20) Hopper Barges; (1) Rake deck barge; (1) Rake deck crane barge,"$6,709,782.00 ","$5,570,000.00 ",11/22/1995,,,,,
1996,Tugz International L.L.C.,"Runyan - Pensacola, FL",(2) Tractor Tugs,"$7,426,900.00 ","$6,498,537.00 ",12/19/1995,,,,,
1996,Dannebrog Rederi AS,"Alabama Shipyard - Mobile, AL","(2) Double-hull 16,000 DWT Tankers","$53,274,933.00 ","$46,615,000.00 ",12/20/1995,,,,,
1996,"Canal Barge Company, Inc.","Trinity Marine - Gulfport, MS Newport News",(20) Steel Liquid tank barges; (1) 260' deck barge,"$20,321,280.00 ","$17,781,000.00 ",12/22/1995,,,,,
1996,Smith/Enron Cogeneration Limited Partnership,"Trinity Marine - Beaumont, TX",(2) Barge Mounted Power Barges,"$205,000,000.00 ","$50,000,000.00 ",12/22/1995,,,,,
1996,Bay Transportation Corporation,"Trinity Marine - Gulfport, MS",(2) 6700 HP Stern Drive Tractor Tugs,"$12,467,380.00 ","$10,908,958.00 ",12/29/1995,,,,,
1996,Hvide Van Ommeren Tankers I-V L.L.C.,"Newport News - Newport News, VA",(5) Double Eagle Product Tankers,"$246,700,000.00 ","$215,862,500.00 ",2/9/1996,,,,,
1996,Port Imperial Ferry Corp.,"Gladding Hearn - Somerset, MA",(5) 96-foot Aluminum Monohull Vessels,"$6,991,980.00 ","$5,117,000.00 ",3/7/1996,,,,,
1996,"T.T. Barge Services, Inc.","North America - Larose, LA",Shipyard Modernization,"$3,822,000.00 ","$3,057,000.00 ",3/18/1996,,,,,
1996,"Alpha Marine Services, Inc.","North America - Larose, LA",(1) Deep submergence rescue vehicle support ship,"$15,640,000.00 ","$13,000,000.00 ",3/21/1996,,,,,
1996,"Global Industries, Ltd.","Service Marine - Morgan City Bollinger Shipyards - Lockport, LA",(1) Launch Barge; (2) Lift Boats; (1) Deck Barge,"$24,590,000.00 ","$19,966,375.00 ",3/29/1996,,,,,
