"Indent","Category","Source","report","2000 Corp","2001 Corp","2002 Corp","2003 Corp","2004 Corp","2005 Corp","2006 Corp","2007 Corp","2008 Corp","2009 Corp","2010 Corp","2011 Corp","2012 Corp","2013 Corp","2014 Corp","2015 Corp","2016 Corp","2000 Indv","2001 Indv","2002 Indv","2003 Indv","2004 Indv","2005 Indv","2006 Indv","2007 Indv","2008 Indv","2009 Indv","2010 Indv","2011 Indv","2012 Indv","2013 Indv","2014 Indv","2015 Indv","2016 Indv","Description/Expenditure Name","Notes"
,"Income security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Income Security budget function consists of government spending on a range of income security programs that provide cash or near-cash assistance to low-income persons, certain retirees, persons with disabilities and the unemployed. This budget function does not include social security or income security for veterans. Income Security is function 600 of the U.S. Budget. ",
"#","$250 credit against income taxes owed for 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>There is no definition available for this tax expenditure in the 2006, 2008, or 2010 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p>",
"#+",,"JCT",2011,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,200,100,0,0,0,,,,"$250 credit against income taxes owed for 2009",
"#","401(k) plans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Under the baseline tax system, all compensation, including deferred and dedicated payments, should be included in taxable income. In contrast, under current law individual taxpayers can make tax-preferred contributions to certain types of employer-provided 401(k) plans (and 401(k)-type plans like 403(b) plans and the Federal Government's Thrift Savings Plan). In 2010, an employee could exclude up to $16,500 (indexed) of wages from AGI under a qualified arrangement with an employer's 401(k) plan. Employees age 50 or over could exclude up to $22,000 in contributions (indexed). The tax on contributions and the investment income earned by 401(k)-type plans is deferred until withdrawn. </p><p>This tax expenditure corresponds with the JCT tax expenditure ""Employer plans,"" found in the Income Security Budget Function and available <a href="" "">LINK HERE</a>.</p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
"#+",,"JCT",2010,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,51200,55200,68100,77800,89100,,,,,"Defined contribution plans",
"#+",,"JCT",2011,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,32600,29600,32600,39800,49700,,,,"Defined contribution plans","Pattern differs from tax expenditure calculated in prior pamphlets because of economic conditions in 2008 and 2009. "
"#+",,"JCT",2012,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,32500,38200,44100,49100,48300,,,"Defined contribution plans","Pattern differs from tax expenditure calculated in prior pamphlets because of economic conditions in 2008 and 2009. "
"#+",112,"Treasury",2003,,0,0,0,0,0,0,0,,,,,,,,,,,44080,52960,59510,62770,65290,69230,73320,,,,,,,,,,"401(k) plans",
"#+",113,"Treasury",2004,,,0,0,0,0,0,0,0,,,,,,,,,,,50830,52920,55290,57830,61490,65060,68030,,,,,,,,,"401(k) plans",
"#+",113,"Treasury",2005,,,,0,0,0,0,0,0,0,,,,,,,,,,,51560,56740,58910,61340,65750,71080,75440,,,,,,,,"401(k) plans",
