"Indent","Category","Source","Report","2000 (Corp)","2001 (Corp)","2002 (Corp)","2003 (Corp)","2004 (Corp)","2005 (Corp)","2006 (Corp)","2007 (Corp)","2008 (Corp)","2009 (Corp)","2010 (Corp)","2011 (Corp)","2012 (Corp)","2013 (Corp)","2014 (Corp)","2015 (Corp)","2016 (Corp)","2000 (Indv)","2001 (Indv)","2002 (Indv)","2003 (Indv)","2004 (Indv)","2005 (Indv)","2006 (Indv)","2007 (Indv)","2008 (Indv)","2009 (Indv)","2010 (Indv)","2011 (Indv)","2012 (Indv)","2013 (Indv)","2014 (Indv)","2015 (Indv)","2016 (Indv)","Expenditure Name","Expenditure Footnotes"
,"Commerce and housing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#","Exemption of credit union income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Credit union income exemption.&mdash;Under the baseline tax system, corporations pay taxes on their profits under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. However, in the Tax Code the earnings of credit unions not distributed to members as interest or dividends are exempt from the income tax. </p>",
"#+",34,"Treasury",2001,1550,1650,1765,1890,2020,2155,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,"Exemption of credit union income",
"#+",35,"Treasury",2002,1550,1650,1770,1890,2020,2160,2280,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,"Exemption of credit union income",
"#+",33,"Treasury",2003,,1000,1070,1150,1230,1320,1420,1530,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,"Exemption of credit union income",
"#+",33,"Treasury",2004,,,1020,1090,1160,1240,1320,1410,1510,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,"Exemption of credit union income",
"#+",33,"Treasury",2005,,,,1300,1360,1430,1500,1570,1650,1730,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,"Exemption of credit union income",
"#+",36,"Treasury",2006,,,,,1270,1330,1390,1440,1510,1570,1640,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,"Exemption of credit union income",
"#+",51,"Treasury",2007,,,,,,1290,1370,1450,1540,1640,1740,1850,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,"Exemption of credit union income",
"#+",48,"Treasury",2008,,,,,,,1320,1400,1480,1570,1660,1750,1850,,,,,,,,,,,0,0,0,0,0,0,0,,,,,"Exemption of credit union income",
"#+",47,"Treasury",2009,,,,,,,,1310,1380,1450,1530,1610,1690,1780,,,,,,,,,,,0,0,0,0,0,0,0,,,,"Exemption of credit union income",
"#+",50,"Treasury",2010,,,,,,,,,1140,1190,1230,1280,1330,1380,1430,,,,,,,,,,,,,,,,,,,,"Exemption of credit union income",
