Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",DR,,,,,,"$5,185,098","$1,644,463","$3,339,579","$725,832","$3,264,619","$4,645,327","$4,115,853","$2,559,052","$1,059,620","$2,073,371","$123,331","$4,931,877"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,"$8,814,720","$8,151,730","$8,029,820","$4,089,695","$609,339","$218,340","$1,719,041","$453,104",,,$0,"$1,496","$102,395","$236,305",,"$677,549","$25,037"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,"$38,392,650","$30,604,370","$28,987,249","$40,301,551","$63,997,729","$84,217,643","$38,361,130","$125,548,303","$59,040,908","$24,629,328","$57,007,448","$88,589,920","$218,080,294","$53,451,873","$41,166,271","$61,413,900","$90,491,305"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",TB,"$4,959,536","$3,659,547","$3,940,026","$2,195,877","$6,510,639","$8,445,641","$4,012,162","$4,975,267","$5,188,362","$9,677,313","$48,588,752","$15,671,917","$13,909,526","$11,873,698","$8,551,081","$2,904,418","$1,366,588"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",VP,"$5,772,370","$7,467,099","$3,406,964","$6,066,699","$1,265,379","$8,060,494","$7,095,293","$5,225,999","$4,231,086","$1,742,580","$1,296,530","$4,535,666","$4,219,830","$3,248,737","$5,130,872","$3,244,383","$4,594,100"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,"$184,471","$1,220,307","$2,291,353","$1,404,798","$268,153","$139,931","$712,672","$208,454","$33,519","$724,390","$41,867","$20,456","$1,596,423","$1,895,062",$0,$0,"$798,950"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",LR,,,,,,,,,"$20,804","$1,851,680","$2,219,562","$1,634,649","$1,576,692","$969,769",,,
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",MB,"$3,344,697","$2,443,122","$12,317,197","$5,717,807","$1,127,029","$8,388,030","$496,342","$772,270","$2,153,301","$1,608,368","$1,204,134","$8,426,240","$425,807","$4,605,565","$9,866,502","$13,822,940","$11,396,722"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",VP,"$101,727","$164,302","$207,079","$215,859","$2,876",$972,$845,$880,$230,$371,"$431,207",$424,"$471,493","$210,363","$484,741","$557,353",$0
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,"$661,197","$1,891,878",,,"$402,504","$428,930",,,,,"$1,890,995","$1,002,697","$3,125,692","$3,411,307","$1,946,302","$1,004,679","$1,025,353"
