Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,"$2,907,248","$3,836,276","$5,531,613","$11,854,660","$11,033,321","$19,647,893","$28,721,065","$32,264,403","$36,157,343","$37,146,156","$41,709,800","$41,603,378","$43,530,523","$44,555,726","$47,914,047","$50,611,056","$47,932,638","$52,752,281"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,DO,"$779,814","$1,270,213","$1,352,836","$1,166,862","$861,166","$1,238,339","$1,115,987","$1,140,960","$1,261,640","$1,346,339","$1,340,558","$1,373,224","$1,421,503","$1,426,751","$2,071,123",,,"$2,459,635"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"$100,229,190","$164,800,746","$176,406,749","$176,286,121","$177,818,831","$188,275,605","$204,535,855","$217,825,456","$240,067,671","$243,983,571","$253,523,107","$279,791,558","$294,146,010","$309,420,258","$293,776,827","$319,877,720","$344,920,214","$373,901,082"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,"$2,045,067","$2,524,014","$2,340,775","$2,828,396","$4,232,482","$2,340,867",,,,,,,,,$0,$0,"$5,676,503","$5,885,935"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",TB,DO,"$18,531,075","$31,608,198","$33,586,811","$33,952,039","$36,039,336","$37,177,884","$34,908,243","$39,218,165","$42,412,329","$42,995,545","$43,968,966","$40,746,738","$42,331,347","$42,675,704","$50,869,418","$53,012,393","$53,466,930","$54,878,861"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"$2,246,924","$5,376,267","$6,538,201","$6,972,793","$7,120,791","$5,797,353","$6,281,161","$6,039,933","$6,842,087","$6,926,133","$7,389,338","$7,311,389","$7,299,846","$7,234,031","$6,701,931","$7,625,484","$8,231,535","$9,751,345"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,DO,"$2,258,880","$3,127,350","$3,399,815","$3,656,557","$4,057,757","$4,358,569","$4,646,185","$4,518,506","$4,575,515","$4,767,173","$4,970,625","$5,446,386","$5,439,547","$5,490,285","$6,105,251","$6,538,526","$7,081,197","$7,783,038"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,PT,"$713,512","$799,975","$952,904","$1,313,146","$1,827,190","$1,936,642","$2,106,150","$2,101,677","$2,424,081","$2,469,024","$2,618,923","$2,719,221","$2,885,808","$2,935,655","$3,140,655","$3,415,685","$3,809,131","$4,178,794"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",MB,DO,"$16,459,738","$20,040,902","$21,065,138","$21,731,478","$23,886,907","$24,334,268","$25,242,351","$25,411,561","$25,939,566","$24,931,229","$25,600,378","$27,078,807","$26,796,773","$27,336,673","$31,604,725","$35,215,046","$37,305,903","$43,194,327"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",VP,DO,"$71,954","$102,273","$128,740","$142,676","$135,218","$113,485","$112,612","$120,240","$110,550","$138,216","$148,733","$201,213","$182,050","$220,890","$285,405","$449,168","$485,341","$633,398"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"$3,044,667","$3,806,904","$4,092,096","$4,777,820","$5,111,750","$5,654,743","$5,616,586","$5,542,067","$6,006,219","$3,834,140","$3,861,907","$4,444,827","$4,327,889","$4,689,446","$4,864,946","$4,945,342","$5,418,818","$6,402,645"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,"$2,847,543","$2,777,433","$3,926,269","$4,872,388","$5,226,271","$4,382,437","$4,770,572","$5,389,348","$5,953,953","$7,244,634","$6,784,201","$6,739,634","$6,836,841","$8,057,307","$7,463,182","$8,938,581","$10,388,687","$11,234,591"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"$26,058,862","$26,261,834","$26,570,959","$30,286,363","$31,627,742","$31,961,565","$35,003,984","$37,408,000","$41,492,536","$39,825,674","$43,950,764","$49,109,629","$54,658,105","$59,821,695","$50,352,443","$54,366,276","$61,082,330","$69,340,588"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,"$1,773,087","$2,160,361","$2,262,045","$1,426,942",,,,,,,,,,,$0,$0,$0,$0
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"$133,204","$205,086","$286,868","$539,843","$620,207","$776,878","$856,232","$1,704,990","$2,035,823","$1,799,402","$1,794,139","$2,168,332","$2,562,112","$2,919,760","$2,807,307","$3,026,575","$3,608,617","$4,289,260"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"$502,387","$733,204","$921,224","$806,136","$842,570","$921,687","$1,029,590","$1,155,828","$1,320,163","$1,390,318","$1,424,473","$1,531,173","$2,282,577","$2,613,527","$2,678,049","$2,447,434","$3,598,548","$3,894,273"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"$4,420,662","$5,142,012","$6,390,931","$6,339,895","$6,056,134","$6,147,295","$5,693,046","$5,987,372","$6,200,786","$6,422,004","$6,878,240","$8,904,885","$8,434,417","$8,501,933","$9,472,685","$11,043,240","$12,277,276","$12,858,718"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",DR,PT,"$346,842","$392,294","$496,328","$710,910","$950,120","$1,002,384","$630,099","$776,649","$709,263","$683,454","$768,518","$761,015","$823,520","$889,220","$1,072,484","$1,118,430","$1,148,338","$1,555,807"
