#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
14.400,Equal Opportunity in Housing,Department of Housing and Urban Development / Office of Fair Housing and Equal Opportunity,N - INVESTIGATION OF COMPLAINTS,7/18/2010 22:52,1/1/1969 0:00
14.408,Fair Housing Initiatives Program,Department of Housing and Urban Development / Office of Fair Housing and Equal Opportunity,B - PROJECT GRANTS,8/5/2010 7:46,1/1/1988 0:00
14.416,Educaction and Outreach Initiatives,Department of Housing and Urban Development / Office of Fair Housing and Equal Opportunity,"B - Cooperative Agreements, B - Project Grants",7/21/2010 7:47,7/21/2009 17:53
14.417,Fair Housing Organizaiton Initiatives,Department of Housing and Urban Development / Office of Fair Housing and Equal Opportunity,B - Cooperative Agreements,7/21/2010 7:47,7/21/2009 17:53
14.418,Private Enforcement Initiatives,Department of Housing and Urban Development / Office of Fair Housing and Equal Opportunity,"B - Cooperative Agreements, B - Project Grants, B - Project Grants (Contracts)",8/5/2010 7:47,7/21/2009 17:53
15.029,Tribal Courts,Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/27/2010 8:49,1/1/1997 0:00
15.030,Indian Law Enforcement,Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/27/2010 8:50,1/1/1997 0:00
15.040,Real Estate Programs_Indian Lands,Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/24/2010 8:16,1/1/1997 0:00
15.052,Litigation Support for Indian Rights,Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,12/1/2010 10:42,1/1/1997 0:00
15.053,Attorney Fees_Indian Rights,Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,12/1/2010 10:42,1/1/1997 0:00
15.057,Navajo-Hopi Indian Settlement Program,Department of the Interior / Bureau of Indian Affairs,"C - DIRECT PAYMENTS FOR A SPECIFIED USE, J - PROVISION OF SPECIALIZED SERVICES",9/27/2010 8:58,1/1/1997 0:00
15.063,Improvement and Repair of Indian Detention Facilities,Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/27/2010 8:59,1/1/1997 0:00
15.144,Indian Child Welfare Act_Title II Grants,Department of the Interior / Bureau of Indian Affairs,B - PROJECT GRANTS,12/2/2010 7:56,1/1/1980 0:00
15.226,Payments in Lieu of Taxes,Department of the Interior / Bureau of Land Management,"C - DIRECT PAYMENTS FOR A SPECIFIED USE, D - DIRECT PAYMENTS WITH UNRESTRICTED USE",10/31/2008 0:00,1/1/1999 0:00
15.250,Regulation of Surface Coal Mining and Surface Effects of Underground Coal Mining,Department of the Interior / Office of Surface Mining,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE",5/21/2010 9:53,1/1/1978 0:00
16.001,Law Enforcement Assistance_Narcotics and Dangerous Drugs_Laboratory Analysis,Department of Justice / Drug Enforcement Administration,J - PROVISION OF SPECIALIZED SERVICES,7/30/2009 11:35,1/1/1969 0:00
16.003,Law Enforcement Assistance_Narcotics and Dangerous Drugs Technical Laboratory Publications,Department of Justice / Drug Enforcement Administration,L - DISSEMINATION OF TECHNICAL INFORMATION,7/30/2009 11:35,1/1/1970 0:00
16.004,Law Enforcement Assistance_Narcotics and Dangerous Drugs Training,Department of Justice / Drug Enforcement Administration,M - TRAINING,7/30/2009 11:35,1/1/1969 0:00
16.012,"Alcohol, Tobacco, and Firearms_Training Assistance",Department of Justice / Drug Enforcement Administration,M - TRAINING,9/17/2008 0:00,1/1/2004 0:00
16.013,Violence Against Women Act Court Training and Improvement Grants,Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:50,1/1/2008 0:00
16.014,"Engaging Men and Youth in Preventing Domestic Violence, Dating Violence, Sexual Assault, and Stalking",Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,10/21/2010 13:07,1/1/2008 0:00
16.015,Missing Alzheimer's Disease Patient Assistance Program,Department of Justice,B - Project Grants,7/6/2010 6:30,6/5/2009 8:42
16.017,Sexual Assault Services Formula Program,Department of Justice / Violence Against Women Office,"A - FORMULA GRANTS, B - PROJECT GRANTS",11/17/2010 10:50,1/1/2008 0:00
16.100,Desegregation of Public Education,Department of Justice / Civil Rights Division,J - PROVISION OF SPECIALIZED SERVICES,8/27/2010 7:50,1/1/1965 0:00
16.101,Equal Employment Opportunity,Department of Justice / Civil Rights Division,J - PROVISION OF SPECIALIZED SERVICES,8/27/2010 7:50,1/1/1965 0:00
16.103,Fair Housing and Equal Credit Opportunity,Department of Justice / Civil Rights Division,J - PROVISION OF SPECIALIZED SERVICES,8/27/2010 7:51,1/1/1970 0:00
16.104,Protection of Voting Rights,Department of Justice / Civil Rights Division,J - PROVISION OF SPECIALIZED SERVICES,8/27/2010 7:51,1/1/1965 0:00
