#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
10.312,Biomass Research and Development Initiative Competitive Grants Program (BRDI),Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants,9/14/2010 14:47,7/15/2009 10:20
10.320,Sun Grant Program,Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants (Cooperative Agreements),9/14/2010 14:41,3/24/2010 7:24
10.500,Cooperative Extension Service,Department of Agriculture / National Institute of Food and Agriculture,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/14/2010 14:40,1/1/1970 0:00
10.857,State Bulk Fuel Revolving Fund Grants,Department of Agriculture / Rural Development,B - PROJECT GRANTS,9/7/2010 18:59,1/1/2001 0:00
10.859,Assistance to High Energy Cost Rural Communities,Department of Agriculture / Rural Development,"B - PROJECT GRANTS, E - DIRECT LOANS",9/3/2010 19:10,1/1/2001 0:00
10.865,Biorefinery Assistance,Department of Agriculture / Rural Business-Cooperative Service,F - Guaranteed/Insured Loans,12/23/2009 9:02,12/23/2009 9:02
10.866,Repowering Assistance,Department of Agriculture / Rural Business-Cooperative Service,C - Direct Payments for Specified Use,11/28/2010 12:57,11/28/2010 12:57
10.867,BIOENERGY PROGRAM FOR ADVANCED BIOFUELS,Department of Agriculture / Rural Business-Cooperative Service,D - Direct Payments with Unrestricted Use,10/25/2010 9:59,10/25/2010 9:59
10.868,Rural Energy for America Program,Department of Agriculture / Rural Business-Cooperative Service,F - Loan Guarantees/Grants,12/11/2009 7:47,12/11/2009 7:47
14.318,Assisted Housing Stability and Energy and Green Retrofit Investments Program (Recovery Act Funded),Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner,B - Project Grants (Special),9/29/2010 7:47,5/13/2009 9:17
14.506,General Research and Technology Activity,Department of Housing and Urban Development / Office of Policy Development and Research,J - Provision of Specialized Services,7/18/2010 22:52,1/1/1972 0:00
14.523,Transformation Initiative Research Grants: Sustainable Community Research Grant Program,Department of Housing and Urban Development / Office of Policy Development and Research,B - Project Grants,9/19/2010 20:05,7/12/2010 6:56
15.148,Tribal Energy Development Capacity Grants,Department of the Interior / Bureau of Indian Affairs,,12/18/2008 0:00,1/1/2008 0:00
15.421,Alaska Coastal Marine Institute,"Department of the Interior / The Bureau of Ocean Energy Management, Regulation, and Enforcement",B - Cooperative Agreements,9/30/2010 15:39,1/1/2006 0:00
15.422,Louisiana State University (LSU) Coastal Marine Institute  (CMI),"Department of the Interior / The Bureau of Ocean Energy Management, Regulation, and Enforcement",B - Cooperative Agreements,12/2/2010 7:56,1/1/2006 0:00
15.424,Marine Minerals Activities,"Department of the Interior / The Bureau of Ocean Energy Management, Regulation, and Enforcement",B - Cooperative Agreements,9/30/2010 15:40,1/1/2006 0:00
15.425,Offshore Research Technology Center (OTRC) Texas Engineering Experiment Station (TEES),"Department of the Interior / The Bureau of Ocean Energy Management, Regulation, and Enforcement",B - PROJECT GRANTS,9/30/2010 15:42,1/1/2006 0:00
15.649,Service Training and Technical Assistance (Generic Training),Department of the Interior / Fish and Wildlife Service,B - PROJECT GRANTS,8/19/2010 7:48,1/1/2007 0:00
15.656,"Recovery Act Funds - Habitat Enhancement, Restoration and Improvement.",Department of the Interior / Fish and Wildlife Service,B - Project Grants (Cooperative Agreements),12/1/2010 10:43,5/27/2009 9:20
15.819,Energy Cooperatives to Support the National Coal Resources Data System (NCRDS),Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements,7/22/2010 7:49,6/3/2009 9:53
19.017,Environmental and Scientific Partnerships and Programs,U.S. Department of State / Bureau of Oceans and International Environmental and Scientific Affairs,"B - Cooperative Agreements, B - Project Grants",10/14/2009 10:32,10/14/2009 10:32
19.124,U.S. Department of State,U.S. Department of State / Bureau of East Asian and  Pacific Affairs,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (for specified projects)",12/7/2010 10:06,12/7/2010 10:06
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",Appalachian Regional Commission,B - PROJECT GRANTS,9/23/2010 7:54,1/1/1970 0:00
43.010,Construction & Environmental Compliance & Remediation,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants)",11/1/2010 7:35,11/1/2010 7:35
64.114,Veterans Housing_Guaranteed and Insured Loans,Department of Veterans Affairs / Veterans Benefits Administration,F - GUARANTEED/INSURED LOANS,7/16/2008 0:00,1/1/1965 0:00
81.003,Granting of Patent Licenses,Department of Energy,L - DISSEMINATION OF TECHNICAL INFORMATION,9/22/2010 7:26,1/1/1978 0:00
81.022,Used Energy-Related Laboratory Equipment Grants,Department of Energy,B - Project Grants,9/22/2010 7:26,1/1/1978 0:00
81.036,Inventions and Innovations,Department of Energy,"B - PROJECT GRANTS, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",9/27/2010 9:04,1/1/1978 0:00
81.041,State Energy Program,Department of Energy,"A - Formula Grants, B - Project Grants, L - Dissemination of Technical Information",9/25/2010 8:55,1/1/1978 0:00
81.042,Weatherization Assistance for Low-Income Persons,Department of Energy,"A - Formula Grants, B - Project Grants",11/17/2010 10:52,1/1/1978 0:00
81.049,Office of Science Financial Assistance Program,Department of Energy,B - Project Grants (Cooperative Agreements),9/29/2010 7:47,1/1/1978 0:00
81.057,University Coal Research,Department of Energy,B - PROJECT GRANTS,9/29/2010 7:48,1/1/1980 0:00
81.064,Office of Scientific and Technical Information,Department of Energy,L - DISSEMINATION OF TECHNICAL INFORMATION,10/1/2010 8:18,1/1/1980 0:00
81.065,Nuclear Waste Disposal Siting,Department of Energy,"B - Project Grants (Cooperative Agreements), C - DIRECT PAYMENTS FOR A SPECIFIED USE",10/20/2009 7:42,1/1/1980 0:00
81.079,Regional Biomass Energy Programs,Department of Energy,B - PROJECT GRANTS,9/27/2010 9:10,1/1/1983 0:00
81.086,Conservation Research and Development,Department of Energy,"B - Project Grants, B - Project Grants (Cooperative Agreements)",9/25/2010 8:56,1/1/1984 0:00
81.087,Renewable Energy Research and Development,Department of Energy,B - Project Grants (Cooperative Agreements),9/27/2010 9:10,1/1/1984 0:00
81.089,Fossil Energy Research and Development,Department of Energy,B - Cooperative Agreements,10/1/2010 8:19,1/1/1984 0:00
81.104,Office of Environmental Waste Processing,Department of Energy,B - Cooperative Agreements,10/9/2009 11:36,1/1/1992 0:00
81.105,"National Industrial Competitiveness through Energy, Environment, and Economics",Department of Energy,B - PROJECT GRANTS,10/1/2010 8:20,1/1/1993 0:00
81.106,"Transport of Transuranic Wastes to the Waste Isolation Pilot Plant: States and Tribal Concerns, Proposed Solutions",Department of Energy,B - Project Grants (Cooperative Agreements),9/29/2010 7:48,1/1/1993 0:00
81.108,Epidemiology and Other Health Studies Financial Assistance Program,Department of Energy,B - PROJECT GRANTS,9/24/2010 10:03,1/1/1994 0:00
81.113,Defense Nuclear Nonproliferation Research,Department of Energy,B - Cooperative Agreements,9/24/2010 10:03,1/1/1998 0:00
81.117,"Energy Efficiency and Renewable Energy Information Dissemination, Outreach, Training and Technical Analysis/Assistance",Department of Energy,B - PROJECT GRANTS,9/25/2010 8:56,1/1/1999 0:00
81.119,State Energy Program Special Projects,Department of Energy,B - PROJECT GRANTS,9/27/2010 9:11,1/1/2000 0:00
81.121,"Nuclear Energy Research, Development and Demonstration",Department of Energy,B - Project Grants (Cooperative Agreements),9/29/2010 7:48,1/1/2001 0:00
81.122,"Electricity Delivery and Energy Reliability, Research, Development and Analysis",Department of Energy,B - Project Grants (Cooperative Agreements),9/24/2010 10:03,1/1/2005 0:00
81.126,Federal Loan Guarantees for Innovative Energy Technologies,Department of Energy,"E - Direct Loans, F - Guaranteed/Insured Loans",9/25/2010 8:56,1/1/2006 0:00
81.127,Energy Efficient Appliance Rebate Program (EEARP),Department of Energy,A - Formula Grants,9/23/2010 7:54,5/22/2009 9:42
81.128,Energy Efficiency and Conservation Block Grant Program (EECBG),Department of Energy,"A - Formula Grants, B - Project Grants (Special)",9/27/2010 9:11,5/26/2009 15:39
81.129,"Energy Efficiency and Renewable Energy Technology Deployment, Demonstration and Commercialization",Department of Energy,"B - Cooperative Agreements, B - Project Grants",9/27/2010 9:11,5/22/2009 9:42
81.130,Carbon Capture and Storage-FutureGen 2.0,Department of Energy,B - Cooperative Agreements,9/22/2010 7:27,9/22/2010 7:27
81.131,Expand and Extend Clean Coal Power Initiative,Department of Energy,B - Cooperative Agreements,10/1/2010 8:20,7/27/2009 13:19
81.132,Geologic Sequestration Site Characterization,Department of Energy,B - Cooperative Agreements,10/1/2010 8:20,5/22/2009 9:42
81.133,Geologic Sequestration Training and Research Grant Program,Department of Energy,B - Project Grants,10/1/2010 8:20,7/27/2009 13:19
81.134,Industrial Carbon Capture and Storage (CCS) Application,Department of Energy,B - Cooperative Agreements,7/28/2009 8:06,5/22/2009 9:42
81.135,Advanced Research and Projects Agency – Energy Financial Assistance Program,Department of Energy,B - Cooperative Agreements,10/1/2010 8:21,5/13/2009 9:17
84.002,Adult Education - Basic Grants to States,Department of Education / Office of Vocational and Adult Education,A - FORMULA GRANTS,8/23/2010 9:46,1/1/1980 0:00
84.040,Impact Aid_Facilities Maintenance,Department of Education / Office of Elementary and Secondary Education,B - PROJECT GRANTS,8/30/2010 13:03,1/1/1980 0:00
84.048,Career and Technical Education -- Basic Grants to States,Department of Education / Office of Vocational and Adult Education,A - FORMULA GRANTS,9/3/2010 19:02,1/1/1980 0:00
91.003,91.003 Annual Senior Fellowship Competition,United States Institute of Peace,B - Project Grants (Cooperative Agreements or Contracts),6/27/2010 8:22,6/27/2010 8:22
93.224,"Consolidated Health Centers (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, Public Housing Primary Care, and School Based Health Centers)",Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/16/2010 11:10,1/1/1990 0:00
93.612,Native American Programs,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/18/2010 23:04,1/1/1990 0:00
94.002,Retired and Senior Volunteer Program,Corporation for National and Community Service,B - PROJECT GRANTS,12/20/2009 17:32,1/1/1995 0:00
94.013,Volunteers in Service to America,Corporation for National and Community Service,J - Provision of Specialized Services,12/20/2009 17:34,1/1/1995 0:00
97.070,Map Modernization Management Support,Department of Homeland Security,B - PROJECT GRANTS,6/18/2010 14:54,1/1/2004 0:00
