#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
10.163,Market Protection and Promotion,Department of Agriculture / Agricultural Marketing Service,"J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",9/17/2010 7:35,1/1/1982 0:00
10.165,Perishable Agricultural Commodities Act,Department of Agriculture / Agricultural Marketing Service,N - INVESTIGATION OF COMPLAINTS,9/17/2010 7:35,1/1/1982 0:00
10.500,Cooperative Extension Service,Department of Agriculture / National Institute of Food and Agriculture,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/14/2010 14:40,1/1/1970 0:00
11.413,Fishery Products Inspection and Certification,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),J - PROVISION OF SPECIALIZED SERVICES,6/30/2009 9:28,1/1/1971 0:00
11.559,Low-Power Television and Translator Upgrade Program,Department of Commerce / National Telecommunications and Information Administration,B - Project Grants,8/27/2010 7:47,5/22/2009 9:42
12.111,Emergency Advance Measures for Flood Prevention,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1983 0:00
14.168,Land Sales-Certain Subdivided Land (Interstate Land Sales Registration) and Real Estate Settlement Procedures Act,Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner,"L - DISSEMINATION OF TECHNICAL INFORMATION, N - INVESTIGATION OF COMPLAINTS",8/16/2010 9:40,1/1/1982 0:00
15.850,Indian Arts and Crafts Development,Department of the Interior / Indian Arts and Crafts Board,"I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",11/5/2008 0:00,1/1/1970 0:00
16.527,"Supervised Visitation, Safe Havens for Children",Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:50,1/1/2002 0:00
16.528,Enhanced Training and Services to End Violence and Abuse of Women Later in Life,Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:51,1/1/2002 0:00
