#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
10.207,Animal Health and Disease Research,Department of Agriculture / National Institute of Food and Agriculture,A - FORMULA GRANTS,8/17/2010 12:37,1/1/1981 0:00
10.215,Sustainable Agriculture Research and Education,Department of Agriculture / National Institute of Food and Agriculture,B - PROJECT GRANTS,8/17/2010 14:57,1/1/1988 0:00
10.216,1890 Institution Capacity Building Grants,Department of Agriculture / National Institute of Food and Agriculture,B - PROJECT GRANTS,9/14/2010 14:38,1/1/1990 0:00
10.219,Biotechnology Risk Assessment Research,Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants,9/14/2010 14:39,1/1/1993 0:00
10.303,Integrated Programs,Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants,9/14/2010 14:40,1/1/2000 0:00
10.318,"Women and Minorities in Science, Technology, Engineering, and",Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants,1/10/2011 11:00,3/24/2010 7:23
10.320,Sun Grant Program,Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants (Cooperative Agreements),9/14/2010 14:41,3/24/2010 7:24
10.777,Norman E. Borlaug International Agricultural Science and Technology Fellowship,Department of Agriculture / Foreign Agricultural Service,C - Direct Payments for Specified Use,9/7/2010 18:42,9/7/2010 18:42
10.865,Biorefinery Assistance,Department of Agriculture / Rural Business-Cooperative Service,F - Guaranteed/Insured Loans,12/23/2009 9:02,12/23/2009 9:02
10.903,Soil Survey,Department of Agriculture / Natural Resources Conservation Service,L - DISSEMINATION OF TECHNICAL INFORMATION,8/30/2010 12:44,1/1/1969 0:00
10.961,Scientific Cooperation and Research,Department of Agriculture / Foreign Agricultural Service,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE, M - Training",9/17/2010 7:37,1/1/1986 0:00
11.008,NOAA Mission-Related Education Awards,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Cooperative Agreements,6/30/2009 9:24,6/30/2009 9:24
11.011,Ocean Exploration,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Project Grants,10/19/2009 7:45,10/19/2009 7:45
11.012,Integrated Ocean Observing System (IOOS),Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Project Grants,10/19/2009 7:46,10/19/2009 7:46
11.417,Sea Grant Support,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,7/28/2009 11:18,1/1/1971 0:00
11.426,Financial Assistance for National Centers for Coastal Ocean Science,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/4/2009 8:33,1/1/1980 0:00
11.429,Marine Sanctuary Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/18/2009 11:57,1/1/1985 0:00
11.432,National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Cooperative Agreements,8/11/2010 7:54,1/1/1990 0:00
11.440,"Environmental Sciences, Applications, Data, and Education",Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/30/2009 9:35,1/1/1991 0:00
11.443,Short Term Climate Fluctuations,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/30/2009 9:36,1/1/1992 0:00
11.444,Hawaii Sustainable Fisheries Development (Aquaculture Program),Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/30/2009 9:37,1/1/1991 0:00
11.445,Hawaii Stock Management Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/30/2009 9:38,1/1/1991 0:00
11.449,Independent Education and Science Projects and Programs,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,9/18/2008 0:00,1/1/1992 0:00
11.452,Unallied Industry Projects,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/30/2009 9:40,1/1/1993 0:00
11.454,Unallied Management Projects,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/30/2009 9:40,1/1/1993 0:00
11.455,Cooperative Science and Education Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/30/2009 9:41,1/1/1993 0:00
11.457,Chesapeake Bay Studies,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/30/2009 9:41,1/1/1992 0:00
11.460,Special Oceanic and Atmospheric Projects,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Cooperative Agreements,6/30/2009 9:42,1/1/1992 0:00
11.462,Hydrologic Research,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/4/2009 9:57,1/1/1994 0:00
