#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
10.163,Market Protection and Promotion,Department of Agriculture / Agricultural Marketing Service,"J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",9/17/2010 7:35,1/1/1982 0:00
10.206,Grants for Agricultural Research_Competitive Research Grants,Department of Agriculture / National Institute of Food and Agriculture,B - PROJECT GRANTS,1/10/2011 10:58,1/1/1981 0:00
10.500,Cooperative Extension Service,Department of Agriculture / National Institute of Food and Agriculture,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/14/2010 14:40,1/1/1970 0:00
10.553,School Breakfast Program,Department of Agriculture / Food and Nutrition Service,A - Formula Grants (Apportionments),8/13/2010 7:46,1/1/1967 0:00
10.555,National School Lunch Program,Department of Agriculture / Food and Nutrition Service,A - FORMULA GRANTS,8/13/2010 7:46,1/1/1965 0:00
10.556,Special Milk Program for Children,Department of Agriculture / Food and Nutrition Service,A - FORMULA GRANTS,8/13/2010 7:46,1/1/1965 0:00
10.557,"Special Supplemental Nutrition Program for Women, Infants, and Children",Department of Agriculture / Food and Nutrition Service,A - FORMULA GRANTS,12/17/2010 11:27,1/1/1974 0:00
10.558,Child and Adult Care Food Program,Department of Agriculture / Food and Nutrition Service,A - FORMULA GRANTS,8/19/2010 7:36,1/1/1976 0:00
10.559,Summer Food Service Program for Children,Department of Agriculture / Food and Nutrition Service,A - FORMULA GRANTS,12/16/2010 7:46,1/1/1976 0:00
10.565,Commodity Supplemental Food Program,Department of Agriculture / Food and Nutrition Service,"A - FORMULA GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",8/18/2010 7:46,1/1/1979 0:00
10.566,Nutrition Assistance For Puerto Rico,Department of Agriculture / Food and Nutrition Service,C - DIRECT PAYMENTS FOR A SPECIFIED USE,8/26/2010 7:55,1/1/1983 0:00
