#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
10.207,Animal Health and Disease Research,Department of Agriculture / National Institute of Food and Agriculture,A - FORMULA GRANTS,8/17/2010 12:37,1/1/1981 0:00
10.405,Farm Labor Housing Loans and Grants,Department of Agriculture / Rural Development,"B - PROJECT GRANTS, F - GUARANTEED/INSURED LOANS",7/6/2010 6:25,1/1/1965 0:00
10.500,Cooperative Extension Service,Department of Agriculture / National Institute of Food and Agriculture,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/14/2010 14:40,1/1/1970 0:00
10.567,Food Distribution Program on Indian Reservations,Department of Agriculture / Food and Nutrition Service,"B - PROJECT GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",8/9/2010 8:12,1/1/1983 0:00
10.700,National Agricultural Library,Department of Agriculture / Agricultural Research Service,L - DISSEMINATION OF TECHNICAL INFORMATION,7/28/2010 7:41,1/1/1969 0:00
10.855,Distance Learning and Telemedicine Loans and Grants,Department of Agriculture / Rural Development,"B - PROJECT GRANTS, E - DIRECT LOANS",11/28/2010 12:56,1/1/1992 0:00
11.001,Census Bureau Data Products,Department of Commerce / U.S. Census Bureau,L - DISSEMINATION OF TECHNICAL INFORMATION,9/17/2008 0:00,1/1/1965 0:00
11.002,Census Customer Services,Department of Commerce / U.S. Census Bureau,"K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/17/2008 0:00,1/1/1970 0:00
11.300,Investments for Public Works and Economic Development Facilities,Department of Commerce / Economic Development Administration,B - Project Grants,10/22/2009 12:01,1/1/1965 0:00
11.413,Fishery Products Inspection and Certification,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),J - PROVISION OF SPECIALIZED SERVICES,6/30/2009 9:28,1/1/1971 0:00
12.350,Department of Defense HIV/AIDS Prevention Program,"Department of Defense / Department of the Navy, Office of the Chief of Naval Research",B - PROJECT GRANTS,9/19/2008 0:00,1/1/2006 0:00
12.420,Military Medical Research and Development,Department of Defense / U.S. Army Medical Command,B - PROJECT GRANTS,9/19/2008 0:00,1/1/1991 0:00
14.128,Mortgage Insurance_Hospitals,Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner,F - GUARANTEED/INSURED LOANS,8/13/2010 7:49,1/1/1965 0:00
14.129,"Mortgage Insurance_Nursing Homes, Intermediate Care Facilities, Board and Care Homes and Assisted Living Facilities",Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner,F - GUARANTEED/INSURED LOANS,8/13/2010 7:49,1/1/1965 0:00
14.151,Supplemental Loan Insurance_Multifamily Rental Housing,Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner,F - GUARANTEED/INSURED LOANS,8/16/2010 9:36,1/1/1969 0:00
14.218,Community Development Block Grants/Entitlement Grants,Department of Housing and Urban Development / Office of Community Planning and Development,A - Formula Grants,7/16/2010 8:01,1/1/1975 0:00
14.906,Healthy Homes Technical Studies Grants,Department of Housing and Urban Development / Office of Healthy Homes and Lead Hazard Control,B - Cooperative Agreements,9/19/2010 20:07,1/1/2004 0:00
15.025,"Services to Indian Children, Elderly and Families",Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/27/2010 8:48,1/1/1997 0:00
15.113,Indian Social Services_Welfare Assistance,Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/23/2010 7:52,1/1/1965 0:00
15.144,Indian Child Welfare Act_Title II Grants,Department of the Interior / Bureau of Indian Affairs,B - PROJECT GRANTS,12/2/2010 7:56,1/1/1980 0:00
15.616,Clean Vessel Act,Department of the Interior / Fish and Wildlife Service,B - PROJECT GRANTS,8/18/2010 7:52,1/1/1993 0:00
16.001,Law Enforcement Assistance_Narcotics and Dangerous Drugs_Laboratory Analysis,Department of Justice / Drug Enforcement Administration,J - PROVISION OF SPECIALIZED SERVICES,7/30/2009 11:35,1/1/1969 0:00
16.003,Law Enforcement Assistance_Narcotics and Dangerous Drugs Technical Laboratory Publications,Department of Justice / Drug Enforcement Administration,L - DISSEMINATION OF TECHNICAL INFORMATION,7/30/2009 11:35,1/1/1970 0:00
16.004,Law Enforcement Assistance_Narcotics and Dangerous Drugs Training,Department of Justice / Drug Enforcement Administration,M - TRAINING,7/30/2009 11:35,1/1/1969 0:00
16.527,"Supervised Visitation, Safe Havens for Children",Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:50,1/1/2002 0:00
16.528,Enhanced Training and Services to End Violence and Abuse of Women Later in Life,Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:51,1/1/2002 0:00
16.529,"Education, Training, and Enhanced Services to End Violence Against and Abuse of Women with Disabilities",Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:51,1/1/2002 0:00
16.544,Youth Gang Prevention,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - PROJECT GRANTS,7/8/2010 7:39,1/1/1990 0:00
16.583,Children's Justice Act Partnerships for Indian Communities,Department of Justice / Office of Victims of Crime,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE",7/8/2010 7:40,1/1/1989 0:00
16.589,"Rural Domestic Violence, Dating Violence, Sexual Assault, and Stalking Assistance Program",Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,10/21/2010 13:11,1/1/1996 0:00
16.593,Residential Substance Abuse Treatment for State Prisoners,Department of Justice / Bureau of Justice Assistance,A - FORMULA GRANTS,6/21/2010 23:00,1/1/1996 0:00
16.616,Indian Country Alcohol and Drug Prevention,Department of Justice / Bureau of Justice Assistance,B - PROJECT GRANTS,7/9/2010 7:51,1/1/2001 0:00
16.801,Recovery Act - State Victim Assistance Formula Grant Program,Department of Justice / Office of Victims of Crime,B - Project Grants,7/8/2010 7:46,5/15/2009 17:33
16.802,Recovery Act - State Victim Compensation Formula Grant Program,Department of Justice,B - Project Grants,7/8/2010 7:46,5/15/2009 17:33
17.276,Health Coverage Tax Credit (HCTC),Department of Labor / Employment Training Administration,B - Project Grants,9/25/2010 8:55,5/22/2009 9:42
17.308,Farm Labor Contractor Registration,Department of Labor / Wage and Hour Division,"K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",8/27/2010 8:00,1/1/1972 0:00
17.502,Occupational Safety and Health_Susan Harwood Training Grants,Department of Labor / Occupational Safety and Health Administration,B - PROJECT GRANTS,7/9/2010 7:54,1/1/1991 0:00
17.503,Occupational Safety and Health_State Program,Department of Labor / Occupational Safety and Health Administration,B - PROJECT GRANTS,7/9/2010 7:54,1/1/1994 0:00
17.504,Consultation Agreements,Department of Labor / Occupational Safety and Health Administration,B - Cooperative Agreements,7/9/2010 7:55,1/1/1995 0:00
17.600,Mine Health and Safety Grants,Department of Labor / Mine Safety and Health Administration,B - PROJECT GRANTS,8/18/2010 11:01,1/1/1978 0:00
17.601,Mine Health and Safety Counseling and Technical Assistance,Department of Labor / Mine Safety and Health Administration,"K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",8/18/2010 11:01,1/1/1978 0:00
17.602,Mine Health and Safety Education and Training,Department of Labor / Mine Safety and Health Administration,M - TRAINING,8/18/2010 11:00,1/1/1978 0:00
17.603,Brookwood-Sago Grant,Department of Labor / Mine Safety and Health Administration,B - PROJECT GRANTS,8/18/2010 11:02,1/1/2007 0:00
17.604,Safety and Health Grants,Department of Labor / Mine Safety and Health Administration,B - PROJECT GRANTS,8/18/2010 11:00,1/1/2008 0:00
19.019,International Programs to Combat Human Trafficking,U.S. Department of State / Trafficking in Persons,"B - Cooperative Agreements, B - Project Grants",11/5/2009 7:30,11/5/2009 7:30
19.021,Investing in People in The Middle East and North Africa,U.S. Department of State / Bureau of Near Eastern Affairs,B - Cooperative Agreements,7/9/2010 7:56,7/9/2010 7:56
19.124,U.S. Department of State,U.S. Department of State / Bureau of East Asian and  Pacific Affairs,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (for specified projects)",12/7/2010 10:06,12/7/2010 10:06
19.522,Overseas Refugee Assistance Programs for Strategic Global Priorities,"U.S. Department of State / Bureau of Population, Refugees, and Migration",B - Cooperative Agreements,10/16/2009 8:50,1/1/2005 0:00
20.700,Pipeline Safety Program Base Grants,Department of Transportation / Pipeline and Hazardous Materials Safety Administration,A - FORMULA GRANTS,8/3/2010 10:31,1/1/1971 0:00
20.721,PHMSA Pipeline Safety Program One Call Grant,Department of Transportation / Pipeline and Hazardous Materials Safety Administration,B - PROJECT GRANTS,8/4/2010 8:01,1/1/2008 0:00
21.011,Capital Magnet Fund,Department of the Treasury / Community Development Financial Institutions Fund,B - Project Grants,6/7/2010 8:18,2/5/2010 8:53
21.013,Qualifying Therapeutic Discovery Project Credit,Department of the Treasury / Internal Revenue Service (IRS),"B - Project Grants, B - Project Grants (Special)",7/22/2010 7:50,7/22/2010 7:50
43.010,Construction & Environmental Compliance & Remediation,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants)",11/1/2010 7:35,11/1/2010 7:35
45.310,Grants to States,Institute of Museum and Library Services,A - FORMULA GRANTS,11/7/2008 0:00,1/1/1998 0:00
45.312,National Leadership Grants,Institute of Museum and Library Services,B - PROJECT GRANTS,11/14/2008 0:00,1/1/1998 0:00
64.005,Grants to States for Construction of State Home Facilities,Department of Veterans Affairs / VA Health Administration Center,B - PROJECT GRANTS,10/19/2009 7:48,1/1/1970 0:00
64.007,Blind Rehabilitation Centers,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,7/16/2008 0:00,1/1/1967 0:00
64.008,Veterans Domiciliary Care,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,6/19/2008 0:00,1/1/1965 0:00
64.009,Veterans Medical Care Benefits,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,6/16/2008 0:00,1/1/1965 0:00
64.010,Veterans Nursing Home Care,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,6/16/2008 0:00,1/1/1967 0:00
64.011,Veterans Dental Care,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,6/16/2008 0:00,1/1/1967 0:00
64.012,Veterans Prescription Service,Department of Veterans Affairs / VA Health Administration Center,"H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",6/19/2008 0:00,1/1/1967 0:00
64.013,Veterans Prosthetic Appliances,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,6/19/2008 0:00,1/1/1967 0:00
64.014,Veterans State Domiciliary Care,Department of Veterans Affairs / VA Health Administration Center,A - FORMULA GRANTS,6/19/2008 0:00,1/1/1970 0:00
64.015,Veterans State Nursing Home Care,Department of Veterans Affairs / VA Health Administration Center,A - FORMULA GRANTS,6/19/2008 0:00,1/1/1970 0:00
64.016,Veterans State Hospital Care,Department of Veterans Affairs / VA Health Administration Center,A - FORMULA GRANTS,6/16/2008 0:00,1/1/1970 0:00
64.018,Sharing Specialized Medical Resources,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,6/20/2008 0:00,1/1/1971 0:00
