"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2007."""
""
Budget_function,Title as it Appears in Source,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2005 Total,2006 Total,2007 Total,2008 Total,2009 Total,2010 Total,2011 Total,Notes
Energy,Alcohol fuel credits,10.00,10.00,10.00,10.00,10.00,10.00,10.00,30.00,30.00,30.00,40.00,40.00,50.00,20.00,40.00,40.00,40.00,50.00,50.00,60.00,30.00,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2005 $1,500; 2006 $2,110; 2007 $2,400; 2008 $2,740; 2009 $3,080; 2010 $3,410 and 2011 $870."
Energy,Allowance of deduction for certain energy efficient commercial building property,0.00,20.00,40.00,30.00,10.00,0.00,0.00,0.00,60.00,150.00,110.00,20.00,-10.00,-10.00,0.00,80.00,190.00,140.00,30.00,-10.00,-10.00,
Energy,Alternative Fuel and Fuel Mixture tax credit,150.00,170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,170.00,0.00,0.00,0.00,0.00,0.00,
Energy,Alternative fuel production credit,100.00,100.00,100.00,40.00,0.00,0.00,0.00,2220.00,2290.00,2360.00,950.00,0.00,0.00,0.00,2320.00,2390.00,2460.00,990.00,0.00,0.00,0.00,
Energy,Amortize all geological and geophysical expenditures over 2 years,0.00,10.00,30.00,40.00,30.00,20.00,10.00,0.00,30.00,120.00,140.00,110.00,80.00,50.00,0.00,40.00,150.00,180.00,140.00,100.00,60.00,
Energy,Capital gains treatment of royalties on coal,90.00,90.00,90.00,100.00,70.00,60.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,90.00,90.00,100.00,70.00,60.00,80.00,
Energy,Credit for business installation of qualified fuel cells and stationary microturbine power plants,0.00,20.00,30.00,10.00,0.00,0.00,0.00,0.00,60.00,100.00,40.00,-10.00,-10.00,-10.00,0.00,80.00,130.00,50.00,-10.00,-10.00,-10.00,
Energy,Credit for construction of new energy efficient homes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,10.00,10.00,0.00,0.00,0.00,10.00,20.00,10.00,10.00,0.00,0.00,
Energy,Credit for energy efficiency improvements to existing homes,0.00,220.00,380.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,380.00,150.00,0.00,0.00,0.00,
Energy,Credit for energy efficient appliances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,80.00,0.00,0.00,0.00,0.00,0.00,120.00,80.00,0.00,0.00,0.00,0.00,
Energy,Credit for holding clean renewable energy bonds,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,40.00,50.00,50.00,0.00,0.00,10.00,30.00,40.00,50.00,50.00,
Energy,Credit for investment in clean coal facilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,100.00,150.00,200.00,280.00,0.00,50.00,50.00,100.00,150.00,200.00,280.00,
Energy,Credit for production from advanced nuclear power facilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,30 percent credit for residential purchases/installations of solar and fuel cells,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,
Energy,Deferral of gain from dispositions of transmission property to implement FERC restructuring policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,490.00,620.00,530.00,230.00,-100.00,-360.00,-510.00,490.00,620.00,530.00,230.00,-100.00,-360.00,-510.00,
Energy,New technology credit,20.00,40.00,50.00,50.00,50.00,50.00,50.00,220.00,470.00,640.00,750.00,800.00,810.00,810.00,240.00,510.00,690.00,800.00,850.00,860.00,860.00,
Energy,Enhanced oil recovery credit,30.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,0.00,0.00,0.00,0.00,0.00,20.00,300.00,0.00,0.00,0.00,0.00,0.00,20.00,
Energy,Exception from passive loss limitation for working interests in oil and gas properties,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,
Energy,"Excess of percentage over cost depletion, fuels",60.00,70.00,70.00,60.00,60.00,60.00,60.00,530.00,600.00,620.00,600.00,580.00,560.00,560.00,590.00,670.00,690.00,660.00,640.00,620.00,620.00,
