"Source: JCT. ""JCS-3-07: Estimates Of Federal Tax Expenditures For Fiscal Years 2007-2011."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2007 Total,2008 Total,2009 Total,2010 Total,2011 Total,Notes
Energy,Tax credits for alcohol fuels,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,"In addition, the credit from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $10.9 billion over the fiscal years 2007 through 2011."
Energy,Deduction for expenditures on energy-efficient commercial building property,<50,100.00,<50,>-50,>-50,<50,100.00,<50,>-50,>-50,0,200.00,0,0,0,
Energy,Tax credit for producing fuels from a non-conventional source,800.00,300.00,<50,<50,<50,3700.00,1400.00,<50,<50,<50,4500.00,1700.00,0,0,0,
Energy,Amortization of geological and geophysical expenditures associated with oil and gas exploration,<50,100.00,100.00,100.00,<50,100.00,200.00,200.00,200.00,100.00,100.00,300.00,300.00,300.00,100.00,
Energy,Tax credits for biodiesel fuels ,0.00,0.00,0.00,0.00,0.00,100.00,100.00,<50,0.00,0.00,100.00,100.00,0.00,0.00,0.00,"In addition, the credit from excise tax for biodiesel results in a reduction in excise tax reciepts, net of income tax effect, of less than  $50 million in each of the fiscal years 2007 through 2011. "
Energy,Tax credit for the purchase of qualified energy efficiency improvements to existing homes,300.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,200.00,0.00,0.00,0.00,
Energy,Tax credit for the production of energy-efficient appliances,0.00,0.00,0.00,0.00,0.00,100.00,<50,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,
Energy,Tax credit for holders of clean renewable energy bonds,<50,<50,<50,<50,<50,<50,<50,100.00,100.00,100.00,0,0,100.00,100.00,100.00,
Energy,Tax credits for investments in clean coal power generation facilities,0.00,0.00,0.00,0.00,0.00,100.00,100.00,200.00,200.00,300.00,100.00,100.00,200.00,200.00,300.00,
Energy,Energy credit (Section 48),<50,<50,<50,<50,<50,100.00,100.00,<50,<50,<50,100.00,100.00,0,0,0,
Energy,Tax credits for electricity production from renewable resources,100.00,100.00,100.00,100.00,100.00,1000.00,1500.00,1800.00,1600.00,1400.00,1100.00,1600.00,1900.00,1700.00,1500.00,
Energy,Tax credit for enhanced oil recovery costs,100.00,<50,<50,<50,<50,100.00,<50,<50,<50,<50,200.00,0,0,0,0,
Energy,Excess of percentage over cost depletion: Oil and gas,<50,<50,<50,<50,<50,1100.00,1200.00,1200.00,1200.00,1200.00,1100.00,1200.00,1200.00,1200.00,1200.00,
Energy,Excess of percentage over cost depletion: Other fuels,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Energy,Exclusion of interest on State and local government qualified private activity bonds for energy production facilities,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of exploration and development costs: Oil and gas,<50,<50,<50,<50,<50,1100.00,800.00,600.00,500.00,500.00,1100.00,800.00,600.00,500.00,500.00,
Energy,Expensing of exploration and development costs: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Tax credit for clean-fuel vehicle refueling property,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Tax credits for alternative technology vehicles,200.00,200.00,200.00,100.00,<50,100.00,<50,<50,<50,<50,300.00,200.00,200.00,100.00,0,
Energy,Tax credit and deduction for small refiners with capital costs associated with EPA sulfur regulation compliance,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of the cost of property used in the refining of liquid fuels,>-50,0.00,0.00,0.00,0.00,>-50,200.00,500.00,700.00,600.00,0,200.00,500.00,700.00,600.00,
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,600.00,700.00,700.00,700.00,700.00,600.00,700.00,700.00,700.00,700.00,1200.00,1400.00,1400.00,1400.00,1400.00,
Commerce and housing,Depreciation of equipment in excess of the alternative depreciation system,-300.00,800.00,2300.00,4100.00,5600.00,1800.00,6200.00,11100.00,16500.00,21400.00,1500.00,7000.00,13400.00,20600.00,27000.00,
Commerce and housing,Depreciation of rental housing in excess of alternative depreciation system,3900.00,4400.00,4900.00,5400.00,6000.00,400.00,500.00,500.00,600.00,700.00,4300.00,4900.00,5400.00,6000.00,6700.00,
Commerce and housing,Additional first-year depreciation for Gulf Opportunity Zone property,400.00,200.00,0.00,0.00,0.00,900.00,400.00,100.00,0.00,-100.00,1300.00,600.00,100.00,0.00,-100.00,
Commerce and housing,Amortization of business startup costs,700.00,800.00,800.00,900.00,900.00,<50,<50,<50,<50,<50,700.00,800.00,800.00,900.00,900.00,
Commerce and housing,Exclusion of capital gains on sales of principal residences,28500.00,29000.00,30100.00,31100.00,34900.00,0.00,0.00,0.00,0.00,0.00,28500.00,29000.00,30100.00,31100.00,34900.00,
Commerce and housing,Carryover basis of capital gains on gifts,5500.00,5700.00,5900.00,6100.00,6000.00,0.00,0.00,0.00,0.00,0.00,5500.00,5700.00,5900.00,6100.00,6000.00,
Commerce and housing,"Cash accounting, other than agriculture",800.00,800.00,900.00,900.00,1000.00,<50,<50,<50,<50,<50,800.00,800.00,900.00,900.00,1000.00,
Commerce and housing,Completed contract rules,<50,<50,<50,<50,<50,400.00,400.00,500.00,600.00,600.00,400.00,400.00,500.00,600.00,600.00,
Commerce and housing,Tax credit for employer-paid FICA taxes on tips,200.00,200.00,200.00,200.00,200.00,200.00,300.00,300.00,300.00,300.00,400.00,500.00,500.00,500.00,500.00,
Commerce and housing,Tax credit for low-incoming housing,700.00,700.00,700.00,800.00,800.00,4400.00,4600.00,4900.00,5300.00,5700.00,5100.00,5300.00,5600.00,6100.00,6500.00,
Commerce and housing,Tax credit for rehabilitation of historic structures,100.00,100.00,200.00,200.00,200.00,300.00,300.00,300.00,400.00,400.00,400.00,400.00,500.00,600.00,600.00,
Commerce and housing,"Tax credit for rehabilitation of structures, other than historic structures",100.00,100.00,100.00,200.00,200.00,<50,<50,<50,1000.00,1000.00,100.00,100.00,100.00,1200.00,1200.00,
Commerce and housing,Tax credit for the cost of carrying tax-paid distilled spirits in wholesale inventories,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Commerce and housing,Deduction for mortgate interest on owner-occupied residences,73700.00,79900.00,85200.00,90500.00,101000.00,0.00,0.00,0.00,0.00,0.00,73700.00,79900.00,85200.00,90500.00,101000.00,
Commerce and housing,Deduction for property taxes on owner-occupied residences,16800.00,14300.00,14200.00,13900.00,27900.00,0.00,0.00,0.00,0.00,0.00,16800.00,14300.00,14200.00,13900.00,27900.00,
Commerce and housing,Deduction for premiums for qualified mortgage insurance,<50,100.00,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,
Commerce and housing,Deduction for income attributable to domestic production activities,1300.00,1800.00,2000.00,2600.00,3400.00,3900.00,5500.00,5900.00,7400.00,8800.00,5200.00,7300.00,7900.00,10000.00,12200.00,
Commerce and housing,Deferral of gain on like-kind exchanges,1000.00,1000.00,1000.00,1100.00,1000.00,3300.00,3300.00,3300.00,3300.00,3400.00,4300.00,4300.00,4300.00,4400.00,4400.00,
Commerce and housing,Deferral of gain on non-dealer installment sales,2300.00,1200.00,600.00,500.00,900.00,3300.00,1700.00,900.00,800.00,1000.00,5600.00,2900.00,1500.00,1300.00,1900.00,
Commerce and housing,Exception from net operating loss limitations for corporations in bankruptcy proceedings,0.00,0.00,0.00,0.00,0.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,
Commerce and housing,Exemptions from imputed interest rules,400.00,400.00,400.00,500.00,500.00,<50,<50,<50,<50,<50,400.00,400.00,400.00,500.00,500.00,
Commerce and housing,Exclusion of investment income on life insurance and annuity contracts,26100.00,26800.00,27500.00,28200.00,28900.00,2500.00,2600.00,2700.00,2700.00,2800.00,28600.00,29400.00,30200.00,30900.00,31700.00,
Commerce and housing,Exclusion of interest on State and local government qualified private activity bonds for owner-occupied housing,900.00,1000.00,1100.00,1100.00,1200.00,400.00,400.00,400.00,400.00,400.00,1300.00,1400.00,1500.00,1500.00,1600.00,
Commerce and housing,Exclusion of interest on State and local government qualified private activity bonds for rental housing,500.00,500.00,600.00,600.00,600.00,200.00,200.00,200.00,200.00,200.00,700.00,700.00,800.00,800.00,800.00,
Commerce and housing,Exclusion of interest on State and local government small-issue qualified private activity bonds,300.00,300.00,400.00,400.00,400.00,100.00,100.00,100.00,100.00,200.00,400.00,400.00,500.00,500.00,600.00,
Commerce and housing,Exemption of credit union income,0.00,0.00,0.00,0.00,0.00,1600.00,1700.00,1800.00,1900.00,1900.00,1600.00,1700.00,1800.00,1900.00,1900.00,
Commerce and housing,Expensing under section 179 of depreciable business property,2900.00,2200.00,1600.00,1700.00,-100.00,400.00,300.00,200.00,200.00,0.00,3300.00,2500.00,1800.00,1900.00,-100.00,
Commerce and housing,Expensing of magazine circulation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,"Reduced rates on first $10,000,000 of corporate taxable income",0.00,0.00,0.00,0.00,0.00,3500.00,3500.00,3500.00,3400.00,3400.00,3500.00,3500.00,3500.00,3400.00,3400.00,
Commerce and housing,Deduction of unpaid property loss reserves for property and casualty insurance companies,0.00,0.00,0.00,0.00,0.00,3400.00,3500.00,3600.00,3600.00,3700.00,3400.00,3500.00,3600.00,3600.00,3700.00,
Commerce and housing,Reduced rates of tax on dividends and long-term capital gains,127100.00,127900.00,131000.00,146600.00,99300.00,0.00,0.00,0.00,0.00,0.00,127100.00,127900.00,131000.00,146600.00,99300.00,
Commerce and housing,Small life insurance company taxable income adjustment,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Tax exemption for certain small insurance companies,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Special deduction for Blue Cross and Blue Shield companies,0.00,0.00,0.00,0.00,0.00,1000.00,1000.00,1000.00,1100.00,1100.00,1000.00,1000.00,1000.00,1100.00,1100.00,
Commerce and housing,Deduction of certain film and television production costs,<50,<50,<50,<50,<50,100.00,100.00,<50,<50,<50,100.00,100.00,0,0,0,
Commerce and housing,"Special rules for magazines, paperback book, and record returns",<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Special treatment of life insurance company reserves,0.00,0.00,0.00,0.00,0.00,2000.00,2000.00,2100.00,2200.00,2300.00,2000.00,2000.00,2100.00,2200.00,2300.00,
Commerce and housing,Exclusion of capital gains at death,51900.00,53700.00,57500.00,60100.00,56700.00,0.00,0.00,0.00,0.00,0.00,51900.00,53700.00,57500.00,60100.00,56700.00,
Commerce and housing,"Tax credit for employers for retention of employees affected by Hurricanes Katrina, Rita, and Wilma",<50,<50,<50,<50,0.00,<50,<50,<50,<50,<50,0,0,0,0,0.00,
Commerce and housing,Tax credit for Gulf Opportunity Zone employers providing in-kind lodging for employees and income exclusion for the employees,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,
Transportation,Deferral of tax on capital construction funds of shipping companies,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Transportation,Exclusion of interest on State and local government qualified private activity bonds for highway projects and rail-truck transfer facilities,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Transportation,Exclusion of employer-paid transportation benefits,4700.00,4800.00,4900.00,5100.00,5200.00,0.00,0.00,0.00,0.00,0.00,4700.00,4800.00,4900.00,5100.00,5200.00,
Transportation,Tax credit for certain expenditures on railroad track maintenance,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,<50,<50,100.00,100.00,100.00,0.00,0.00,
Income security,Additional standard deduction for the blind and the elderly,1700.00,1600.00,1700.00,1800.00,2200.00,0.00,0.00,0.00,0.00,0.00,1700.00,1600.00,1700.00,1800.00,2200.00,
Income security,Deduction for casualty and theft losses,800.00,300.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,800.00,300.00,300.00,300.00,300.00,
Income security,Earned income credit (EIC),44700.00,46500.00,47900.00,48900.00,46900.00,0.00,0.00,0.00,0.00,0.00,44700.00,46500.00,47900.00,48900.00,46900.00,
Income security,Employer plans,108600.00,114100.00,120400.00,126700.00,137500.00,0.00,0.00,0.00,0.00,0.00,108600.00,114100.00,120400.00,126700.00,137500.00,
Income security,Exclusion of damages on account of personal physical injuries or physical sickness,1500.00,1500.00,1500.00,1500.00,1600.00,0.00,0.00,0.00,0.00,0.00,1500.00,1500.00,1500.00,1500.00,1600.00,
Income security,Exclusion of disaster mitigation payments,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Income security,Exclusion of cash public assistance benefits,2900.00,3000.00,3000.00,3100.00,3400.00,0.00,0.00,0.00,0.00,0.00,2900.00,3000.00,3000.00,3100.00,3400.00,
Income security,Exclusion of special benefits for disabled coal miners,100.00,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,
Income security,Exclusion of survivor annuities paid to families of public safety officers killed in the line of duty,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Income security,Exclusion of workers' compensation benefits (disability and survivors payments),2600.00,2700.00,2700.00,2700.00,3000.00,0.00,0.00,0.00,0.00,0.00,2600.00,2700.00,2700.00,2700.00,3000.00,
Income security,Individual retirement plans,15500.00,17000.00,18500.00,20000.00,23200.00,0.00,0.00,0.00,0.00,0.00,15500.00,17000.00,18500.00,20000.00,23200.00,
Income security,Plans covering partners and sole proprietors (sometimes referred to as ``Keogh plans''),8800.00,9500.00,10600.00,11500.00,14100.00,0.00,0.00,0.00,0.00,0.00,8800.00,9500.00,10600.00,11500.00,14100.00,
Income security,Tax credit for certain individuals for elective deferrals and IRA contributions,900.00,900.00,900.00,900.00,900.00,0.00,0.00,0.00,0.00,0.00,900.00,900.00,900.00,900.00,900.00,
Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,2800.00,2900.00,3000.00,3100.00,3400.00,0.00,0.00,0.00,0.00,0.00,2800.00,2900.00,3000.00,3100.00,3400.00,
Income security,Exclusion of other employee benefits: Premiums on group term life insurance,2600.00,2600.00,2700.00,2700.00,2700.00,0.00,0.00,0.00,0.00,0.00,2600.00,2600.00,2700.00,2700.00,2700.00,
"General science, space, and technology",Tax credit for increasing research activities,100.00,100.00,<50,<50,<50,5000.00,3200.00,1900.00,1500.00,1000.00,5100.00,3300.00,1900.00,1500.00,1000.00,
