"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2005."""
""
Budget_function,Title as it Appears in Source,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2003 Total,2004 Total,2005 Total,2006 Total,2007 Total,2008 Total,2009 Total,Notes
Energy,Alcohol fuel credits,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,"In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2003 $1,100; 2004 $1,260; 2005 $1,370; 2006 $1,430; 2007 $1,470; 2008 $1,510; and 2009 $1,550."
Energy,Alternative fuel production credit,50.00,40.00,40.00,40.00,40.00,10.00,0.00,1230.00,850.00,850.00,850.00,850.00,340.00,0.00,1280.00,890.00,890.00,890.00,890.00,350.00,0.00,
Energy,Capital gains treatment of royalties on coal,100.00,110.00,120.00,120.00,130.00,130.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,110.00,120.00,120.00,130.00,130.00,140.00,
Energy,New technology credit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.00,350.00,370.00,370.00,370.00,370.00,370.00,280.00,350.00,370.00,370.00,370.00,370.00,370.00,
Energy,Enhanced oil recovery credit,40.00,40.00,40.00,40.00,40.00,40.00,40.00,360.00,360.00,370.00,380.00,390.00,400.00,410.00,400.00,400.00,410.00,420.00,430.00,440.00,450.00,
Energy,Exception from passive loss limitation for working interests in oil and gas properties,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Energy,"Excess of percentage over cost depletion, fuels",110.00,110.00,100.00,100.00,100.00,100.00,100.00,530.00,510.00,480.00,490.00,510.00,510.00,510.00,640.00,620.00,580.00,590.00,610.00,610.00,610.00,
Energy,Exclusion of interest on energy facility bonds,70.00,80.00,90.00,90.00,100.00,110.00,110.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,90.00,100.00,110.00,110.00,120.00,130.00,130.00,
Energy,Exclusion from income of conservation subsidies provided by public utilities,80.00,80.00,80.00,80.00,80.00,80.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,
Energy,"Expensing of exploration and development costs, fuels",30.00,30.00,20.00,10.00,10.00,10.00,10.00,180.00,240.00,150.00,70.00,60.00,50.00,30.00,210.00,270.00,170.00,80.00,70.00,60.00,40.00,
