"Source: JCT. ""JCS-8-03: Estimates Of Federal Tax Expenditures For Fiscal Years 2004-2008."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2004 Total,2005 Total,2006 Total,2007 Total,2008 Total,Notes
Energy,Tax credit for alcohol fuel blenders,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $1.1 billion in each of the fiscal years 2004 through 2006, and $1.2 billion per year in fiscal years 2007 and 2008."
Energy,Tax credit for production of non-conventional fuels,100.00,100.00,100.00,100.00,100.00,500.00,500.00,500.00,600.00,200.00,600.00,600.00,600.00,700.00,300.00,
Energy,"Tax credit for electricity production from wind, biomass, and poultry waste",<50,<50,<50,<50,<50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Energy,Tax credit for investments in solar and geothermal energy facilities,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Tax credit for enhanced oil recovery costs,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,200.00,300.00,300.00,300.00,300.00,300.00,
Energy,Excess of percentage over cost depletion: Oil and gas,<50,<50,<50,<50,<50,400.00,400.00,500.00,500.00,500.00,400.00,400.00,500.00,500.00,500.00,
Energy,Excess of percentage over cost depletion: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Exclusion of interest on State and local government industrial development bonds for energy production facilities,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,200.00,200.00,
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of exploration and development costs: Oil and gas,<50,<50,<50,<50,<50,500.00,300.00,400.00,500.00,500.00,500.00,300.00,400.00,500.00,500.00,
Energy,Expensing of exploration and development costs: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
