"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2004."""
""
Budget_function,Title as it Appears in Source,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,2007 Total,2008 Total,Notes
Energy,Alcohol fuel credits,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,"In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2002 $1,070; 2003 $1,140; 2004 $1,230; 2005 $1,320; 2006 $1,370; 2007 $1,400; and 2008 $1,430."
Energy,Alternative fuel production credit,60.00,40.00,20.00,20.00,20.00,20.00,10.00,1500.00,900.00,500.00,500.00,500.00,500.00,200.00,1560.00,940.00,520.00,520.00,520.00,520.00,210.00,
Energy,Capital gains treatment of royalties on coal,100.00,110.00,110.00,120.00,120.00,130.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,110.00,110.00,120.00,120.00,130.00,140.00,
Energy,New technology credit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,180.00,250.00,270.00,270.00,270.00,270.00,100.00,180.00,250.00,270.00,270.00,270.00,270.00,
Energy,Enhanced oil recovery credit,30.00,30.00,30.00,30.00,30.00,30.00,40.00,300.00,310.00,320.00,330.00,330.00,340.00,350.00,330.00,340.00,350.00,360.00,360.00,370.00,390.00,
Energy,Exception from passive loss limitation for working interests in oil and gas properties,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Energy,"Excess of percentage over cost depletion, fuels",100.00,120.00,120.00,110.00,110.00,110.00,110.00,510.00,550.00,530.00,500.00,510.00,530.00,540.00,610.00,670.00,650.00,610.00,620.00,640.00,650.00,
Energy,Exclusion of interest on energy facility bonds,80.00,90.00,100.00,110.00,110.00,120.00,130.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,110.00,120.00,130.00,140.00,140.00,150.00,160.00,
Energy,Exclusion from income of conservation subsidies provided by public utilities,80.00,80.00,80.00,80.00,80.00,80.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,
Energy,"Expensing of exploration and development costs, fuels",20.00,20.00,20.00,10.00,10.00,0.00,0.00,130.00,150.00,130.00,70.00,50.00,40.00,30.00,150.00,170.00,150.00,80.00,60.00,40.00,30.00,
