"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012."""
""
Budget_function,Title as it Appears in Source,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2016 Indv,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2016 Corp,2010 Total,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,2016 Total,Notes
Energy,Advanced Energy Property Credit,20.00,60.00,90.00,50.00,0.00,-10.00,-10.00,160.00,540.00,810.00,410.00,-10.00,-80.00,-70.00,180.00,600.00,900.00,460.00,-10.00,-90.00,-80.00,
Energy,Alcohol fuel credits   ,10.00,20.00,20.00,30.00,10.00,10.00,0.00,60.00,70.00,110.00,80.00,40.00,20.00,10.00,70.00,90.00,130.00,110.00,50.00,30.00,10.00,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2010 $5680; 2011 $2990; 2012 $0; 2013 $0; 2014 $0; 2015 $0; 2016 $0."
Energy,Allowance of deduction for certain energy efficient commercial building property,10.00,20.00,20.00,20.00,20.00,10.00,0.00,50.00,60.00,70.00,80.00,50.00,20.00,10.00,60.00,80.00,90.00,100.00,70.00,30.00,10.00,
Energy,Alternative fuel production credit,10.00,10.00,10.00,10.00,0.00,0.00,0.00,160.00,160.00,110.00,80.00,60.00,20.00,0.00,170.00,170.00,120.00,90.00,60.00,20.00,0.00,
Energy,Amortize all geological and geophysical expenditures over 2 years,30.00,20.00,20.00,10.00,10.00,10.00,10.00,120.00,90.00,70.00,50.00,30.00,20.00,20.00,150.00,110.00,90.00,60.00,40.00,30.00,30.00,
Energy,Bio-Diesel and small agri-biodiesel producer tax credits   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,"In addition, the biodiesel producer tax credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2010 $490 ; 2011 $0; 2012 $0; 2013 $0; 2014 $0; 2015 $0; 2016 $0."
Energy,Capital gains treatment of royalties on coal,50.00,50.00,50.00,60.00,60.00,80.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,60.00,60.00,80.00,90.00,
Energy,Credit for construction of new energy efficient homes,10.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficiency improvements to existing homes,3190.00,5530.00,2270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3190.00,5530.00,2270.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficient appliances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,60.00,0.00,0.00,0.00,0.00,0.00,150.00,60.00,0.00,0.00,0.00,0.00,0.00,
Energy,Credit for holding clean renewable energy bonds ,50.00,50.00,50.00,50.00,50.00,50.00,50.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,"In addition, the provision has outlay effects of (in millions of dollars): 2010 $10 ; 2011 $20; 2012 $30; 2013 $30; 2014 $30; 2015 $30; 2016 $30."
Energy,Credit for investment in clean coal facilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,400.00,460.00,450.00,360.00,300.00,200.00,240.00,400.00,460.00,450.00,360.00,300.00,200.00,
Energy,Credit for residential energy efficient property,220.00,220.00,220.00,230.00,230.00,230.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,220.00,220.00,230.00,230.00,230.00,240.00,
Energy,Deferral of gain from dispositions of transmission property to implement FERC restructuring policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.00,-150.00,-150.00,-130.00,-110.00,-80.00,-50.00,-50.00,-150.00,-150.00,-130.00,-110.00,-80.00,-50.00,
Energy,Energy investment credit ,30.00,50.00,240.00,430.00,240.00,90.00,90.00,100.00,120.00,720.00,1260.00,790.00,390.00,400.00,130.00,170.00,960.00,1690.00,1030.00,480.00,490.00,"Firms can tax an energy grant in lieu of the energy production credit or the energy investment credit for facilities placed in service in 2009 and 2010 or whose construction commenced in 2009 and 2010. The effect of the grant on outlays (in millions of dollars) is as follows: 2010 $4,210; 2011 $4,260; 2012 $3,350; 2013 $2,850; 2014 $2,140; 2015 $1,520; 2016 $620."
Energy,Energy production credit ,170.00,190.00,230.00,280.00,310.00,310.00,310.00,1370.00,1430.00,1510.00,1620.00,1640.00,1580.00,1460.00,1540.00,1620.00,1740.00,1900.00,1950.00,1890.00,1770.00,"Firms can tax an energy grant in lieu of the energy production credit or the energy investment credit for facilities placed in service in 2009 and 2010 or whose construction commenced in 2009 and 2010. The effect of the grant on outlays (in millions of dollars) is as follows: 2010 $4,210; 2011 $4,260; 2012 $3,350; 2013 $2,850; 2014 $2,140; 2015 $1,520; 2016 $620."
Energy,Exception from passive loss limitation for working interests in oil and gas properties,30.00,40.00,30.00,30.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,40.00,30.00,30.00,30.00,30.00,30.00,
Energy,"Excess of percentage over cost depletion, fuels",150.00,160.00,170.00,180.00,180.00,180.00,180.00,830.00,910.00,950.00,970.00,990.00,1000.00,1020.00,980.00,1070.00,1120.00,1150.00,1170.00,1180.00,1200.00,
Energy,Exclusion of interest on energy facility bonds,10.00,20.00,20.00,20.00,20.00,30.00,30.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,30.00,30.00,30.00,30.00,40.00,40.00,
Energy,Exclusion of utility conservation subsidies,210.00,210.00,210.00,210.00,200.00,200.00,200.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,220.00,220.00,220.00,220.00,210.00,210.00,210.00,
Energy,"Expensing of exploration and development costs, fuels",50.00,60.00,90.00,70.00,50.00,40.00,40.00,350.00,460.00,610.00,470.00,350.00,300.00,280.00,400.00,520.00,700.00,540.00,400.00,340.00,320.00,
Energy,Natural gas distribution pipelines treated as 15-year property,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,120.00,100.00,80.00,80.00,80.00,90.00,120.00,120.00,100.00,80.00,80.00,80.00,90.00,
Energy,Qualified energy conservation bonds ,0.00,10.00,10.00,20.00,20.00,20.00,20.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,0.00,10.00,20.00,30.00,30.00,30.00,30.00,"In addition, the provision has outlay effects of (in millions of dollars): 2010 $30 ; 2011 $50; 2012 $60; 2013 $60; 2014 $60; 2015 $60; 2016 $60."
Energy,Tax credit and deduction for clean-fuel burning vehicles,180.00,220.00,120.00,160.00,210.00,340.00,590.00,70.00,40.00,20.00,10.00,20.00,50.00,70.00,250.00,260.00,140.00,170.00,230.00,390.00,660.00,
Energy,Temporary 50 percent expensing for equipment used in the refining of liquid fuels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,760.00,620.00,520.00,420.00,-580.00,-1110.00,-950.00,760.00,620.00,520.00,420.00,-580.00,-1110.00,-950.00,
Commerce and housing,Accelerated depreciation of buildings other than rental housing (normal tax method),-8690.00,-10060.00,-10770.00,-11230.00,-11670.00,-12080.00,-12530.00,-2440.00,-2950.00,-2980.00,-3150.00,-3300.00,-3450.00,-3310.00,-11130.00,-13010.00,-13750.00,-14380.00,-14970.00,-15530.00,-15840.00,
Commerce and housing,Accelerated depreciation of machinery and equipment (normal tax method),22650.00,12140.00,19150.00,28560.00,33780.00,37790.00,40960.00,17140.00,5400.00,5300.00,15730.00,24470.00,30950.00,32990.00,39790.00,17540.00,24450.00,44290.00,58250.00,68740.00,73950.00,
