"Source: JCT. ""JCS-1-10: Estimates Of Federal Tax Expenditures For Fiscal Years 2009-2013."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2009 Total,2010 Total,2011 Total,2012 Total,2013 Total,Notes
Energy,10-year MACRS for smart electric distribution property,0.00,0.00,0.00,0.00,0.00,<50,<50,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,
Energy,15-year MACRS for certain electric transmission property,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,200.00,200.00,100.00,100.00,100.00,200.00,200.00,
Energy,Provide credit for investment in advanced energy property,<50,100.00,100.00,100.00,100.00,100.00,200.00,200.00,300.00,300.00,100.00,300.00,300.00,400.00,400.00,
Energy,Credits for alcohol fuels,0.00,0.00,0.00,0.00,0.00,6500.00,10100.00,10400.00,11000.00,3900.00,6500.00,10100.00,10400.00,11000.00,3900.00,"Estimate includes the effect of ""black liquor,"" a byproduct of the kraft paper making process, qualifying for the cellulosic biofuel producer credit. In addition to the amounts above, the excise tax credit for alcohol fuel mixtures results in a reduction in excise tax receipts, net of income, of $8.8 billion over the fiscal years 2009 through 2013."
Energy,Deduction for expenditures on energy-efficient commercial building property,100.00,100.00,100.00,100.00,100.00,<50,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,
Energy,Credit for producing fuels from a non-conventional source,<50,<50,<50,<50,<50,100.00,<50,<50,<50,<50,100.00,0,0,0,0,
Energy,Amortization of air pollution control facilities,0.00,0.00,0.00,0.00,0.00,100.00,100.00,200.00,200.00,200.00,100.00,100.00,200.00,200.00,200.00,
Energy,Amortization of geological and geophysical expenditures associated with oil and gas exploration,<50,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,0,100.00,100.00,100.00,100.00,
Energy,Credit for certain alternative motor vehicles that do not meet existing criteria of a qualified plug-in electric drive motor vehicle,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,New energy efficient home credit,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficiency improvements to existing homes,300.00,1700.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,1700.00,1200.00,0.00,0.00,
Energy,Credit for the production of energy-efficient appliances,0.00,0.00,0.00,0.00,0.00,100.00,200.00,100.00,0.00,0.00,100.00,200.00,100.00,0.00,0.00,
Energy,Credit for holders of clean renewable energy bonds,<50,<50,<50,<50,<50,<50,100.00,100.00,100.00,200.00,0,100.00,100.00,100.00,200.00,
Energy,Credits for investments in clean coal facilities,0.00,0.00,0.00,0.00,0.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Energy,Residential energy efficient property credit,100.00,200.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,100.00,200.00,200.00,200.00,200.00,
Energy,Energy credit (section 48): Fuel cells,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Energy credit (section 48): Geothermal,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Energy credit (section 48): Microturbines,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Energy credit (section 48): Solar,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Coal production credits: Indian coal,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Coal production credits: Refined coal,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Closed-loop biomass,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Geothermal,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Municipal solid waste,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Open-loop biomass,<50,<50,<50,<50,<50,600.00,400.00,300.00,200.00,200.00,600.00,400.00,300.00,200.00,200.00,
Energy,Credits for electricity production from renewable resources (section 45): Qualified hydropower,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Small irrigation power,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Solar (limited to facilities placed in service before 1/1/06),0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Wind,<50,<50,100.00,100.00,100.00,700.00,900.00,1100.00,1400.00,1500.00,700.00,900.00,1200.00,1500.00,1600.00,
Energy,Credit for enhanced oil recovery costs,<50,100.00,<50,<50,<50,<50,100.00,<50,<50,<50,0,200.00,0,0,0,
Energy,Exceptions for publicly traded partnership with qualified income derived from certain energy-related activities,400.00,500.00,600.00,600.00,700.00,0.00,0.00,0.00,0.00,0.00,400.00,500.00,600.00,600.00,700.00,
Energy,Excess of percentage over cost depletion: Oil and gas,<50,<50,<50,<50,<50,1300.00,1200.00,1300.00,1300.00,1400.00,1300.00,1200.00,1300.00,1300.00,1400.00,
Energy,Excess of percentage over cost depletion: Other fuels,<50,<50,<50,<50,<50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
