"Source: JCT. ""JCS-7-98: Estimates Of Federal Tax Expenditures For Fiscal Years 1999-2003."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2000 Total,2001 Total,2002 Total,2003 Total,Notes
Energy,Tax credits for alcohol fuels,0.00,0.00,0.00,0.00,<50,<50,<50,<50,0.00,0.00,0.00,0.00,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $0.5 billion in fiscal year 1999 and $0.6 billion per year in fiscal years 2000 through 2003."
Energy,Tax credit for production of non-conventional fuels,300.00,300.00,300.00,200.00,1000.00,1000.00,1000.00,800.00,1300.00,1300.00,1300.00,1000.00,
Energy,Tax credit for electricity production from wind and biomass,100.00,100.00,100.00,100.00,<50,<50,<50,<50,100.00,100.00,100.00,100.00,
Energy,Tax credit for investments in solar and geothermal energy facilities,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,
Energy,Tax credit for enhanced oil recovery costs,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,
Energy,Excess of percentage over cost depletion: Oil and gas,100.00,100.00,100.00,100.00,400.00,400.00,400.00,400.00,500.00,500.00,500.00,500.00,
Energy,Excess of percentage over cost depletion: Other fuels,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,300.00,300.00,300.00,300.00,
Energy,Exclusion of interest on State and local government industrial development bonds for energy production facilities,100.00,100.00,100.00,100.00,<50,<50,<50,<50,100.00,100.00,100.00,100.00,
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of exploration and development costs: Oil and gas,<50,<50,<50,<50,400.00,400.00,500.00,500.00,400.00,400.00,500.00,500.00,
Energy,Expensing of exploration and development costs: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,700.00,500.00,500.00,400.00,1500.00,1200.00,1200.00,1100.00,2200.00,1700.00,1700.00,1500.00,
Commerce and housing,Depreciation of equipment in excess of alternative depreciation system,6700.00,6900.00,6800.00,6700.00,24800.00,25300.00,25700.00,26100.00,31500.00,32200.00,32500.00,32800.00,
Commerce and housing,Depreciation of rental housing in excess of alternative depreciation system,1500.00,1500.00,1600.00,1700.00,200.00,200.00,200.00,200.00,1700.00,1700.00,1800.00,1900.00,
Commerce and housing,Amortization of business startup costs,300.00,300.00,300.00,300.00,<50,<50,<50,<50,300.00,300.00,300.00,300.00,
Commerce and housing,Exclusion of capital gains on sales of principal residences,6000.00,6200.00,6400.00,6600.00,0.00,0.00,0.00,0.00,6000.00,6200.00,6400.00,6600.00,
Commerce and housing,Carryover basis of capital gains on gifts,2100.00,2300.00,2500.00,2700.00,0.00,0.00,0.00,0.00,2100.00,2300.00,2500.00,2700.00,
Commerce and housing,"Cash accounting, other than agriculture",100.00,100.00,100.00,100.00,<50,<50,<50,<50,100.00,100.00,100.00,100.00,
Commerce and housing,Completed contract rules,<50,<50,<50,<50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Commerce and housing,Tax credit for employer-paid FICA taxes on tips,200.00,300.00,300.00,300.00,200.00,200.00,200.00,200.00,400.00,500.00,500.00,500.00,
Commerce and housing,Tax credit for low-income housing,2600.00,2800.00,3100.00,3400.00,1400.00,1500.00,1700.00,1900.00,4000.00,4300.00,4800.00,5300.00,
Commerce and housing,Tax credit for rehabilitation of historic structures,100.00,100.00,100.00,100.00,400.00,400.00,400.00,400.00,500.00,500.00,500.00,500.00,
Commerce and housing,Deduction for mortgage interest on owner-occupied residences,50400.00,52400.00,54500.00,56800.00,0.00,0.00,0.00,0.00,50400.00,52400.00,54500.00,56800.00,
Commerce and housing,Deduction for property taxes on owner-occupied residences,18400.00,19100.00,19700.00,20300.00,0.00,0.00,0.00,0.00,18400.00,19100.00,19700.00,20300.00,
Commerce and housing,Deferral of gain on involuntary conversions resulting from Presidentially-declared disasters,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Commerce and housing,Deferral of gain on like-kind exchanges,300.00,300.00,300.00,300.00,400.00,400.00,400.00,400.00,700.00,700.00,700.00,700.00,
Commerce and housing,Deferral of gain on non-dealer installment sales,400.00,400.00,400.00,400.00,500.00,500.00,500.00,600.00,900.00,900.00,900.00,1000.00,
Commerce and housing,Exception from net operating loss limitations for corporations in bankruptcy proceedings,0.00,0.00,0.00,0.00,500.00,500.00,400.00,400.00,500.00,500.00,400.00,400.00,
Commerce and housing,Permanent exemption from imputed interest rules,200.00,200.00,200.00,200.00,<50,<50,<50,<50,200.00,200.00,200.00,200.00,
Commerce and housing,Exclusion of investment income on life insurance and annuity contracts,1300.00,1400.00,1400.00,1500.00,23300.00,24000.00,24800.00,25600.00,24600.00,25400.00,26200.00,27100.00,
Commerce and housing,Exclusion of interest on State and local government bonds for owner-occupied housing,1500.00,1500.00,1600.00,1700.00,600.00,600.00,700.00,700.00,2100.00,2100.00,2300.00,2400.00,
Commerce and housing,Exclusion of interest on State and local government bonds for rental housing,800.00,800.00,800.00,800.00,300.00,300.00,300.00,300.00,1100.00,1100.00,1100.00,1100.00,
Commerce and housing,Exclusion of interest on State and local government small-issue industrial development bonds,200.00,200.00,200.00,200.00,100.00,100.00,100.00,100.00,300.00,300.00,300.00,300.00,
Commerce and housing,Exemption of credit union income,0.00,0.00,0.00,0.00,900.00,1000.00,1000.00,1100.00,900.00,1000.00,1000.00,1100.00,
Commerce and housing,Expensing of depreciable business property,200.00,300.00,400.00,200.00,500.00,700.00,700.00,500.00,700.00,1000.00,1100.00,700.00,
Commerce and housing,Expensing of magazine circulation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,
Commerce and housing,"Reduced rates on first $10,000,000 of corporate taxable income",0.00,0.00,0.00,0.00,4400.00,4400.00,4400.00,4500.00,4400.00,4400.00,4400.00,4500.00,
Commerce and housing,Deduction of unpaid property loss reserves for property and casualty insurance companies,0.00,0.00,0.00,0.00,3400.00,3400.00,3500.00,3500.00,3400.00,3400.00,3500.00,3500.00,
Commerce and housing,Reduced rates of tax on long-term capital gains,32000.00,33800.00,34900.00,36100.00,0.00,0.00,0.00,0.00,32000.00,33800.00,34900.00,36100.00,
Commerce and housing,Small life insurance company taxable income adjustment,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Special deduction for Blue Cross and Blue Shield companies,0.00,0.00,0.00,0.00,400.00,400.00,400.00,300.00,400.00,400.00,400.00,300.00,
Commerce and housing,"Special rules for magazine, paperback book, and record returns",<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,
Commerce and housing,Special treatment of life insurance company reserves,0.00,0.00,0.00,0.00,1400.00,1400.00,1500.00,1500.00,1400.00,1400.00,1500.00,1500.00,
Commerce and housing,Exclusion of capital gains at death,20700.00,22200.00,23900.00,25200.00,0.00,0.00,0.00,0.00,20700.00,22200.00,23900.00,25200.00,
Commerce and housing,Tax credit for first-time homebuyers in the District of Columbia,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Transportation,Deferral of tax on capital construction funds of shipping companies,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Transportation,Exclusion of interest on State and local government bonds for high-speed rail,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,
Transportation,Exclusion of employer-paid transportation benefits,3600.00,3600.00,3700.00,3700.00,0.00,0.00,0.00,0.00,3600.00,3600.00,3700.00,3700.00,
Income security,Additional standard deduction for the blind and the elderly,2000.00,2000.00,2100.00,2200.00,0.00,0.00,0.00,0.00,2000.00,2000.00,2100.00,2200.00,
Income security,Deduction for casualty and theft losses,300.00,300.00,300.00,400.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,400.00,
