"Source: JCT. ""JCS-1-02: Estimates Of Federal Tax Expenditures For Fiscal Years 2002-2006."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,Notes
Energy,Tax credits for alcohol fuels,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $0.7 billion per year in fiscal years 2002 through 2006."
Energy,Tax credit for production of non-conventional fuels,300.00,200.00,100.00,100.00,100.00,1300.00,800.00,500.00,500.00,500.00,1600.00,1000.00,600.00,600.00,600.00,
Energy,"Tax credit for electricity production from wind, closed-loop biomass, and poultry waste",<50,<50,<50,<50,<50,<50,<50,<50,<50,100.00,0,0,0,0,100.00,
Energy,Tax credit for investments in solar and geothermal energy facilities,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Tax credit for enhanced oil recovery costs,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,200.00,300.00,300.00,300.00,300.00,300.00,
Energy,Excess of percentage over cost depletion: Oil and gas,<50,<50,<50,<50,<50,500.00,400.00,400.00,400.00,400.00,500.00,400.00,400.00,400.00,400.00,
Energy,Excess of percentage over cost depletion: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Exclusion of interest on State and local government industrial development bonds for energy production facilities,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of exploration and development costs: Oil and gas,<50,<50,<50,<50,<50,1600.00,1200.00,700.00,300.00,600.00,1600.00,1200.00,700.00,300.00,600.00,
Energy,Expensing of exploration and development costs: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,500.00,500.00,400.00,400.00,300.00,1200.00,1200.00,1100.00,900.00,900.00,1700.00,1700.00,1500.00,1300.00,1200.00,
Commerce and housing,Depreciation of equipment in excess of alternative depreciation system,7500.00,8400.00,8800.00,9000.00,9100.00,28000.00,31000.00,32800.00,33900.00,34500.00,35500.00,39400.00,41600.00,42900.00,43600.00,
Commerce and housing,Depreciation of rental housing in excess of alternative depreciation system,2500.00,2700.00,2800.00,3100.00,3400.00,300.00,300.00,300.00,300.00,300.00,2800.00,3000.00,3100.00,3400.00,3700.00,
Commerce and housing,Amortization of business startup costs,500.00,500.00,500.00,500.00,600.00,<50,<50,<50,<50,<50,500.00,500.00,500.00,500.00,600.00,
Commerce and housing,Exclusion of capital gains on sales of principal residences,13800.00,13800.00,13900.00,14000.00,14100.00,0.00,0.00,0.00,0.00,0.00,13800.00,13800.00,13900.00,14000.00,14100.00,
Commerce and housing,Carryover basis of capital gains on gifts,4200.00,4400.00,4600.00,4800.00,5100.00,0.00,0.00,0.00,0.00,0.00,4200.00,4400.00,4600.00,4800.00,5100.00,
Commerce and housing,"Cash accounting, other than agriculture",300.00,300.00,300.00,300.00,300.00,<50,<50,<50,<50,<50,300.00,300.00,300.00,300.00,300.00,
Commerce and housing,Completed contract rules,<50,<50,<50,<50,<50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Commerce and housing,Tax credit for employer-paid FICA taxes on tips,200.00,300.00,300.00,300.00,300.00,100.00,100.00,100.00,100.00,200.00,300.00,400.00,400.00,400.00,500.00,
Commerce and housing,Tax credit for low-income housing,1200.00,1200.00,1300.00,1400.00,1400.00,2700.00,2900.00,3000.00,3200.00,3300.00,3900.00,4100.00,4300.00,4600.00,4700.00,
Commerce and housing,Tax credit for rehabilitation of historic structures,100.00,100.00,100.00,100.00,100.00,400.00,400.00,400.00,400.00,400.00,500.00,500.00,500.00,500.00,500.00,
Commerce and housing,Deduction for mortgage interest on owner-occupied residences,66500.00,69800.00,72100.00,76500.00,80500.00,0.00,0.00,0.00,0.00,0.00,66500.00,69800.00,72100.00,76500.00,80500.00,
Commerce and housing,Deduction for property taxes on owner-occupied residences,21400.00,22100.00,21400.00,18800.00,15500.00,0.00,0.00,0.00,0.00,0.00,21400.00,22100.00,21400.00,18800.00,15500.00,
Commerce and housing,Deferral of gain on involuntary conversions resulting from Presidentially-declared disasters,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Commerce and housing,Deferral of gain on like-kind exchanges,400.00,500.00,500.00,500.00,500.00,1300.00,1400.00,1400.00,1500.00,1500.00,1700.00,1900.00,1900.00,2000.00,2000.00,
Commerce and housing,Deferral of gain on non-dealer installment sales,400.00,400.00,400.00,400.00,400.00,600.00,600.00,600.00,700.00,700.00,1000.00,1000.00,1000.00,1100.00,1100.00,
Commerce and housing,Exception from net operating loss limitations for corporations in bankruptcy proceedings,0.00,0.00,0.00,0.00,0.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,
Commerce and housing,Permanent exemption from imputed interest rules,200.00,300.00,300.00,300.00,300.00,<50,<50,<50,<50,<50,200.00,300.00,300.00,300.00,300.00,
Commerce and housing,Exclusion of investment income on life insurance and annuity contracts,23600.00,24200.00,24900.00,25500.00,26200.00,1300.00,1400.00,1400.00,1500.00,1500.00,24900.00,25600.00,26300.00,27000.00,27700.00,
