"Source: JCT. ""JCS-1-05: Estimates Of Federal Tax Expenditures For Fiscal Years 2005-2009."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2005 Total,2006 Total,2007 Total,2008 Total,2009 Total,Notes
Energy,Tax credit for alcohol fuel blenders,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $1.4 billion in each of the fiscal years 2005 through 2007 and $1.5 billion per year in fiscal years 2008 and 2009."
Energy,Tax credit for production of non-conventional fuels,200.00,300.00,300.00,100.00,<50,1000.00,1100.00,1300.00,500.00,100.00,1200.00,1400.00,1600.00,600.00,100.00,
Energy,Deferral of gain from the disposition of electric transmission property to implement Federal Energy Regulatory Commission restructuring policy,0.00,0.00,0.00,0.00,0.00,2700.00,2100.00,-200.00,-1000.00,-1000.00,2700.00,2100.00,-200.00,-1000.00,-1000.00,
Energy,Tax credit for electricity production from renewable resources,100.00,100.00,100.00,100.00,100.00,200.00,200.00,300.00,400.00,400.00,300.00,300.00,400.00,500.00,500.00,
Energy,Tax credit for investments in solar and geothermal energy facilities,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Tax credit for enhanced oil recovery costs,100.00,100.00,100.00,100.00,100.00,200.00,300.00,300.00,300.00,400.00,300.00,400.00,400.00,400.00,500.00,
Energy,Excess of percentage over cost depletion: Oil and gas,<50,<50,<50,<50,<50,500.00,500.00,500.00,600.00,600.00,500.00,500.00,500.00,600.00,600.00,
Energy,Excess of percentage over cost depletion: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Exclusion of interest on State and local government bonds for energy production facilities,100.00,100.00,100.00,100.00,200.00,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,300.00,
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of exploration and development costs: Oil and gas,<50,<50,<50,<50,<50,500.00,400.00,400.00,500.00,500.00,500.00,400.00,400.00,500.00,500.00,
Energy,Expensing of exploration and development costs: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Incentives for small refiners to comply with EPA sulfur regulations,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Tax credit for biodiesel blenders ,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,"In addition, the exemption from excise tax for biodiesel results in a reduction in excise tax reciepts, net of income tax effect, of a total of $0.1 billion over the fiscal years 2004 through 2007. "
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,1300.00,100.00,200.00,300.00,500.00,1400.00,900.00,1200.00,1600.00,2100.00,2700.00,1000.00,1400.00,1900.00,2600.00,
Commerce and housing,Depreciation of equipment in excess of the alternative depreciation system,2200.00,-2200.00,-100.00,1700.00,3500.00,18800.00,5900.00,10600.00,15700.00,20300.00,21000.00,3700.00,10500.00,17400.00,23800.00,
Commerce and housing,Depreciation of rental housing in excess of alternative depreciation system,3400.00,3800.00,4300.00,4900.00,5600.00,400.00,400.00,500.00,500.00,600.00,3800.00,4200.00,4800.00,5400.00,6200.00,
Commerce and housing,Amortization of business startup costs,600.00,600.00,600.00,600.00,700.00,<50,<50,<50,<50,<50,600.00,600.00,600.00,600.00,700.00,
Commerce and housing,Exclusion of capital gains on sales of principal residences,22900.00,23700.00,24600.00,25400.00,26300.00,0.00,0.00,0.00,0.00,0.00,22900.00,23700.00,24600.00,25400.00,26300.00,
Commerce and housing,Carryover basis of capital gains on gifts,4600.00,4900.00,5200.00,5500.00,5800.00,0.00,0.00,0.00,0.00,0.00,4600.00,4900.00,5200.00,5500.00,5800.00,
Commerce and housing,"Cash accounting, other than agriculture",700.00,800.00,800.00,800.00,800.00,<50,<50,<50,<50,<50,700.00,800.00,800.00,800.00,800.00,
Commerce and housing,Completed contract rules,<50,<50,<50,<50,<50,300.00,300.00,300.00,400.00,400.00,300.00,300.00,300.00,400.00,400.00,
Commerce and housing,Tax credit for employer-paid FICA taxes on tips,300.00,300.00,400.00,400.00,400.00,200.00,200.00,200.00,200.00,200.00,500.00,500.00,600.00,600.00,600.00,
Commerce and housing,Tax credit for low-income housing,1400.00,1500.00,1500.00,1600.00,1700.00,3300.00,3400.00,3500.00,3600.00,3700.00,4700.00,4900.00,5000.00,5200.00,5400.00,
Commerce and housing,Tax credit for rehabilitation of historic structures,100.00,100.00,100.00,100.00,100.00,200.00,300.00,300.00,300.00,300.00,300.00,400.00,400.00,400.00,400.00,
Commerce and housing,Deduction for mortgage interest on owner-occupied residences,72600.00,81100.00,87700.00,93500.00,99400.00,0.00,0.00,0.00,0.00,0.00,72600.00,81100.00,87700.00,93500.00,99400.00,
