"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2008."""
""
Budget_function,Title as it Appears in Source,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2006 Total,2007 Total,2008 Total,2009 Total,2010 Total,2011 Total,2012 Total,Notes
Energy,Alcohol fuel credits,10.00,10.00,10.00,20.00,20.00,10.00,0.00,40.00,40.00,50.00,50.00,60.00,20.00,0.00,50.00,50.00,60.00,70.00,80.00,30.00,0.00,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2006 $2,570; 2007 $2,990; 2008 $3,460; 2009 $4,280; 2010 $4,990; 2011 $1,440; 0 in 2012."
Energy,Allowance of deduction for certain energy efficient commercial building property,20.00,50.00,40.00,20.00,10.00,0.00,0.00,60.00,140.00,130.00,70.00,20.00,-10.00,-10.00,80.00,190.00,170.00,90.00,30.00,-10.00,-10.00,
Energy,Alternative fuel production credit,120.00,100.00,30.00,0.00,0.00,0.00,0.00,2860.00,2270.00,750.00,10.00,10.00,0.00,0.00,2980.00,2370.00,780.00,10.00,10.00,0.00,0.00,
Energy,Amortize all geological and geophysical expenditures over 2 years,0.00,10.00,20.00,10.00,10.00,0.00,0.00,10.00,50.00,70.00,60.00,30.00,10.00,10.00,10.00,60.00,90.00,70.00,40.00,10.00,10.00,
Energy,Capital gains treatment of royalties on coal,160.00,170.00,170.00,170.00,190.00,180.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,170.00,170.00,170.00,190.00,180.00,130.00,
Energy,Credit for business installation of qualified fuel cells and stationary microturbine power plants,20.00,20.00,30.00,10.00,0.00,0.00,0.00,60.00,70.00,100.00,40.00,-10.00,-10.00,-10.00,80.00,90.00,130.00,50.00,-10.00,-10.00,-10.00,
Energy,Credit for construction of new energy efficient homes,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,20.00,20.00,20.00,10.00,0.00,0.00,10.00,20.00,30.00,20.00,10.00,0.00,0.00,
Energy,Credit for energy efficiency improvements to existing homes,230.00,380.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,380.00,150.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficient appliances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,80.00,0.00,0.00,0.00,0.00,0.00,120.00,80.00,0.00,0.00,0.00,0.00,0.00,
Energy,Credit for holding clean renewable energy bonds,10.00,30.00,40.00,50.00,50.00,50.00,50.00,10.00,30.00,40.00,50.00,50.00,50.00,50.00,20.00,60.00,80.00,100.00,100.00,100.00,100.00,
Energy,Credit for investment in clean coal facilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,50.00,80.00,130.00,180.00,250.00,0.00,30.00,50.00,80.00,130.00,180.00,250.00,
Energy,30 percent credit for residential purchases/installations of solar and fuel cells,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,
Energy,Deferral of gain from dispositions of transmission property to implement FERC restructuring policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,620.00,530.00,230.00,-100.00,-360.00,-510.00,-540.00,620.00,530.00,230.00,-100.00,-360.00,-510.00,-540.00,
Energy,New technology credit,40.00,50.00,60.00,60.00,60.00,60.00,60.00,470.00,640.00,900.00,1060.00,1090.00,1090.00,1090.00,510.00,690.00,960.00,1120.00,1150.00,1150.00,1150.00,
Energy,Exception from passive loss limitation for working interests in oil and gas properties,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,
Energy,"Excess of percentage over cost depletion, fuels",80.00,80.00,80.00,80.00,80.00,80.00,70.00,680.00,710.00,710.00,710.00,700.00,680.00,670.00,760.00,790.00,790.00,790.00,780.00,760.00,740.00,
Energy,Exclusion of interest on energy facility bonds,30.00,30.00,40.00,40.00,40.00,40.00,40.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,40.00,40.00,50.00,50.00,50.00,50.00,50.00,
Energy,Exclusion of utility conservation subsidies,110.00,110.00,110.00,110.00,110.00,110.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,110.00,110.00,110.00,110.00,110.00,100.00,
Energy,"Expensing of exploration and development costs, fuels",90.00,110.00,110.00,90.00,80.00,60.00,40.00,590.00,750.00,730.00,620.00,520.00,390.00,270.00,680.00,860.00,840.00,710.00,600.00,450.00,310.00,
Energy,Natural gas distribution pipelines treated as 15-year property,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,50.00,90.00,120.00,150.00,150.00,120.00,20.00,50.00,90.00,120.00,150.00,150.00,120.00,
Energy,Partial expensing for advanced mine safety equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,
Energy,Tax credit and deduction for clean-fuel burning vehicles,70.00,230.00,150.00,160.00,10.00,-10.00,-10.00,40.00,30.00,0.00,-30.00,-30.00,-40.00,-50.00,110.00,260.00,150.00,130.00,-20.00,-50.00,-60.00,
Energy,Temporary 50 percent expensing for equipment used in the refining of liquid fuels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,120.00,240.00,260.00,180.00,-50.00,10.00,30.00,120.00,240.00,260.00,180.00,-50.00,
Commerce and housing,Accelerated depreciation of buildings other than rental housing (normal tax method),-1200.00,-1030.00,-760.00,-420.00,-40.00,380.00,840.00,230.00,290.00,450.00,680.00,910.00,1170.00,1440.00,-970.00,-740.00,-310.00,260.00,870.00,1550.00,2280.00,
Commerce and housing,Accelerated depreciation of machinery and equipment (normal tax method),12740.00,16380.00,19890.00,23080.00,22630.00,24140.00,26740.00,23730.00,34650.00,44780.00,55310.00,62620.00,68490.00,74110.00,36470.00,51030.00,64670.00,78390.00,85250.00,92630.00,100850.00,
Commerce and housing,Accelerated depreciation on rental housing (normal tax method),9700.00,10560.00,11580.00,12710.00,13740.00,14920.00,16260.00,640.00,680.00,720.00,770.00,820.00,870.00,930.00,10340.00,11240.00,12300.00,13480.00,14560.00,15790.00,17190.00,
Commerce and housing,Cancellation of indebtedness,90.00,100.00,90.00,60.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,100.00,90.00,60.00,30.00,30.00,30.00,
Commerce and housing,Capital gains exclusion of small corporation stock,240.00,270.00,320.00,340.00,370.00,490.00,540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,270.00,320.00,340.00,370.00,490.00,540.00,
Commerce and housing,Capital gains exclusion on home sales,35270.00,37030.00,38890.00,40830.00,42870.00,45010.00,47270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35270.00,37030.00,38890.00,40830.00,42870.00,45010.00,47270.00,
Commerce and housing,Carryover basis of capital gains on gifts,590.00,650.00,760.00,800.00,1270.00,6340.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590.00,650.00,760.00,800.00,1270.00,6340.00,1500.00,
Commerce and housing,Credit for low-income housing investments,440.00,460.00,500.00,520.00,560.00,590.00,620.00,3980.00,4200.00,4440.00,4730.00,5010.00,5280.00,5550.00,4420.00,4660.00,4940.00,5250.00,5570.00,5870.00,6170.00,
Commerce and housing,Deductibility of mortgage interest on owner-occupied homes,68330.00,79940.00,89430.00,96250.00,103540.00,111440.00,119600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68330.00,79940.00,89430.00,96250.00,103540.00,111440.00,119600.00,
Commerce and housing,Deductibility of State and local property tax on owner-occupied homes,21260.00,15540.00,12620.00,12590.00,12580.00,22440.00,27770.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21260.00,15540.00,12620.00,12590.00,12580.00,22440.00,27770.00,
Commerce and housing,Deduction for US production activities,1770.00,2010.00,2430.00,2500.00,3330.00,4790.00,5590.00,8180.00,8690.00,11380.00,12000.00,16220.00,19100.00,19770.00,9950.00,10700.00,13810.00,14500.00,19550.00,23890.00,25360.00,
Commerce and housing,Deferral of income from installment sales,880.00,900.00,920.00,930.00,1050.00,1180.00,1320.00,310.00,310.00,310.00,320.00,320.00,320.00,330.00,1190.00,1210.00,1230.00,1250.00,1370.00,1500.00,1650.00,
Commerce and housing,"Exception from passive loss rules for $25,000 of rental loss",6590.00,7150.00,7520.00,7790.00,7990.00,8150.00,8300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6590.00,7150.00,7520.00,7790.00,7990.00,8150.00,8300.00,
Commerce and housing,Exceptions from imputed interest rules,50.00,50.00,50.00,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,
Commerce and housing,Excess bad debt reserves of financial institutions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,10.00,10.00,10.00,0.00,0.00,20.00,10.00,10.00,10.00,10.00,0.00,0.00,
Commerce and housing,Exclusion of interest on life insurance savings,17600.00,18300.00,19905.00,22750.00,25270.00,27320.00,29150.00,1780.00,1850.00,2020.00,2310.00,2560.00,2770.00,2950.00,19380.00,20150.00,21925.00,25060.00,27830.00,30090.00,32100.00,
Commerce and housing,Exclusion of interest on owner-occupied mortgage subsidy bonds,890.00,990.00,1060.00,1090.00,1120.00,1150.00,1190.00,280.00,310.00,330.00,340.00,350.00,360.00,370.00,1170.00,1300.00,1390.00,1430.00,1470.00,1510.00,1560.00,
Commerce and housing,Exclusion of interest on rental housing bonds,740.00,830.00,880.00,900.00,930.00,960.00,990.00,230.00,260.00,270.00,280.00,290.00,300.00,310.00,970.00,1090.00,1150.00,1180.00,1220.00,1260.00,1300.00,
Commerce and housing,Exclusion of interest on small issue bonds,390.00,440.00,460.00,480.00,490.00,510.00,520.00,120.00,140.00,140.00,150.00,150.00,160.00,160.00,510.00,580.00,600.00,630.00,640.00,670.00,680.00,
Commerce and housing,Exclusion of interest spread of financial institutions,1350.00,1330.00,1400.00,1480.00,1550.00,1950.00,2050.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1350.00,1330.00,1400.00,1480.00,1550.00,1950.00,2050.00,
