"Source: JCT. ""JCS-3-10: Estimates Of Federal Tax Expenditures For Fiscal Years 2010-2014."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2010 Total,2011 Total,2012 Total,2013 Total,2014 Total,Notes
Energy,10-year MACRS for smart electric distribution property,0.00,0.00,0.00,0.00,0.00,<50,100.00,100.00,100.00,200.00,0.00,100.00,100.00,100.00,200.00,
Energy,15-year MACRS for certain electric transmission property,0.00,0.00,0.00,0.00,0.00,100.00,100.00,200.00,200.00,200.00,100.00,100.00,200.00,200.00,200.00,
Energy,Credit for investment in advanced energy property,100.00,100.00,<50,<50,<50,400.00,300.00,200.00,100.00,100.00,500.00,400.00,200.00,100.00,100.00,
Energy,Credits for alcohol fuels,0.00,0.00,0.00,0.00,0.00,100.00,<50,<50,<50,<50,100.00,0.00,0.00,0.00,0.00,"In addition to the amounts above, the excise tax credit for alcohol fuel mixtures results in a reduction in excise tax receipts, net of income, of $5.1 bilion over the fiscal years 2010 through 2014"
Energy,Deduction for expenditures on energy-efficient commercial building property,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,200.00,
Energy,Credit for producing fuels from a non-conventional source,<50,<50,<50,<50,3000.00,<50,<50,<50,<50,<50,0,0,0,0,3000.00,
Energy,Amortization of air pollution control facilities,0.00,0.00,0.00,0.00,0.00,100.00,200.00,200.00,200.00,100.00,100.00,200.00,200.00,200.00,100.00,
Energy,Amortization of geological and geophysical expenditures associated with oil and gas exploration,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Energy,Credit for certain alternative motor vehicles that do not meet existing criteria of a qualified plug-in electric drive motor vehicle,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,New energy efficient home credit,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficiency improvements to existing homes,1700.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1700.00,1200.00,0.00,0.00,0.00,
Energy,Credit for the production of energy-efficient appliances,0.00,0.00,0.00,0.00,0.00,200.00,100.00,0.00,0.00,0.00,200.00,100.00,0.00,0.00,0.00,
Energy,Credit for holders of clean renewable energy bonds (sections 54 and 54C),100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Energy,Credits for investments in clean coal facilities,0.00,0.00,0.00,0.00,0.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Energy,Residential energy efficient property credit,200.00,200.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,200.00,200.00,200.00,
Energy,Energy credit (section 48): Fuel cells,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Energy credit (section 48): Geothermal,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Energy credit (section 48): Microturbines,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Energy credit (section 48): Solar,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
