"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2009."""
""
Budget_function,Title as it Appears in Source,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2007 Total,2008 Total,2009 Total,2010 Total,2011 Total,2012 Total,2013 Total,Notes
Energy,Alcohol fuel credits,10.00,10.00,10.00,10.00,10.00,0.00,0.00,30.00,30.00,40.00,40.00,20.00,0.00,0.00,40.00,40.00,50.00,50.00,30.00,0.00,0.00,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2007 $3,380; 2008 $4,300; 2009 $5,140; 2010 $5,940; 2011 $1,720; 2012 $0; 2013 $0. (Subsidyscope has identified a discrepancy between the information reported in Treasury's table of individual and corporate estimates combined, and Treasury's table with individual and corporate estimates separated. Subsidyscope defaults to using the information reported in the Treasury's table in which individual and corporate estimates are separated.)"
Energy,Allowance of deduction for certain energy efficient commercial building property,50.00,40.00,20.00,10.00,0.00,0.00,0.00,140.00,130.00,70.00,20.00,0.00,0.00,0.00,190.00,170.00,90.00,30.00,0.00,0.00,0.00,
Energy,Alternative fuel production credit,120.00,50.00,0.00,0.00,0.00,0.00,0.00,2800.00,1260.00,70.00,80.00,10.00,10.00,0.00,2920.00,1310.00,70.00,80.00,10.00,10.00,0.00,
Energy,Amortize all geological and geophysical expenditures over 2 years,10.00,10.00,10.00,0.00,0.00,0.00,0.00,40.00,30.00,20.00,10.00,10.00,10.00,10.00,50.00,40.00,30.00,10.00,10.00,10.00,10.00,
Energy,Bio-Diesel and small agri-biodiesel producer tax credits,180.00,200.00,30.00,20.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,200.00,30.00,20.00,10.00,10.00,10.00,
Energy,Capital gains treatment of royalties on coal,180.00,190.00,190.00,200.00,190.00,140.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,190.00,190.00,200.00,190.00,140.00,150.00,
Energy,Credit for business installation of qualified fuel cells and stationary microturbine power plants,60.00,100.00,40.00,-10.00,-10.00,-10.00,-10.00,20.00,30.00,10.00,0.00,0.00,0.00,0.00,80.00,130.00,50.00,-10.00,-10.00,-10.00,-10.00,
Energy,Credit for construction of new energy efficient homes,0.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,10.00,0.00,0.00,0.00,20.00,30.00,20.00,10.00,0.00,0.00,0.00,
Energy,Credit for energy efficiency improvements to existing homes,380.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,380.00,150.00,0.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficient appliances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Credit for holding clean renewable energy bonds,10.00,30.00,50.00,50.00,50.00,50.00,50.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,40.00,70.00,70.00,70.00,70.00,70.00,
Energy,Credit for investment in clean coal facilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,50.00,80.00,130.00,180.00,245.00,290.00,30.00,50.00,80.00,130.00,180.00,245.00,290.00,
Energy,30 percent credit for residential purchases/installations of solar and fuel cells,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,
Energy,Deferral of gain from dispositions of transmission property to implement FERC restructuring policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,610.00,250.00,-60.00,-290.00,-490.00,-590.00,-570.00,610.00,250.00,-60.00,-290.00,-490.00,-590.00,-570.00,
Energy,New technology credit,30.00,70.00,90.00,90.00,90.00,90.00,90.00,380.00,730.00,910.00,940.00,920.00,910.00,880.00,410.00,800.00,1000.00,1030.00,1010.00,1000.00,970.00,
Energy,Exception from passive loss limitation for working interests in oil and gas properties,30.00,20.00,20.00,20.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,20.00,20.00,20.00,30.00,30.00,30.00,
Energy,"Excess of percentage over cost depletion, fuels",80.00,90.00,90.00,90.00,90.00,80.00,80.00,710.00,820.00,860.00,820.00,790.00,770.00,760.00,790.00,910.00,950.00,910.00,880.00,850.00,840.00,
Energy,Exclusion of interest on energy facility bonds,20.00,20.00,20.00,20.00,20.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,
Energy,Exclusion of utility conservation subsidies,120.00,120.00,120.00,110.00,110.00,110.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,120.00,120.00,110.00,110.00,110.00,110.00,
Energy,"Expensing of exploration and development costs, fuels",70.00,70.00,60.00,50.00,40.00,30.00,20.00,460.00,440.00,400.00,340.00,270.00,210.00,130.00,530.00,510.00,460.00,390.00,310.00,240.00,150.00,
Energy,Natural gas distribution pipelines treated as 15-year property,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,80.00,90.00,110.00,120.00,110.00,100.00,60.00,80.00,90.00,110.00,120.00,110.00,100.00,
Energy,Partial expensing for advanced mine safety equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,
Energy,Tax credit and deduction for clean-fuel burning vehicles,230.00,150.00,160.00,10.00,-10.00,-10.00,-10.00,30.00,0.00,-30.00,-30.00,-40.00,-50.00,-40.00,260.00,150.00,130.00,-20.00,-50.00,-60.00,-50.00,
Energy,Temporary 50 percent expensing for equipment used in the refining of liquid fuels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,120.00,240.00,260.00,180.00,-50.00,-160.00,30.00,120.00,240.00,260.00,180.00,-50.00,-160.00,
Commerce and housing,Accelerated depreciation of buildings other than rental housing (normal tax method),-3290.00,-3180.00,-3030.00,-2860.00,-3020.00,-2950.00,-2460.00,-1320.00,-1240.00,-1110.00,-990.00,-900.00,-800.00,-650.00,-4610.00,-4420.00,-4140.00,-3850.00,-3920.00,-3750.00,-3110.00,
Commerce and housing,Accelerated depreciation of machinery and equipment (normal tax method),11650.00,13640.00,15520.00,15630.00,15240.00,16750.00,18950.00,14760.00,21540.00,28600.00,34130.00,38090.00,41690.00,45440.00,26410.00,35180.00,44120.00,49760.00,53330.00,58440.00,64390.00,
Commerce and housing,Accelerated depreciation on rental housing (normal tax method),9240.00,10120.00,11060.00,11980.00,13770.00,15300.00,16630.00,620.00,660.00,700.00,740.00,800.00,860.00,920.00,9860.00,10780.00,11760.00,12720.00,14570.00,16160.00,17550.00,
Commerce and housing,Cancellation of indebtedness,110.00,90.00,60.00,40.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,90.00,60.00,40.00,30.00,30.00,30.00,
Commerce and housing,Capital gains exclusion of small corporation stock,270.00,320.00,340.00,370.00,490.00,540.00,590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,320.00,340.00,370.00,490.00,540.00,590.00,
Commerce and housing,Capital gains exclusion on home sales,31480.00,33050.00,34710.00,36440.00,38260.00,40180.00,42180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31480.00,33050.00,34710.00,36440.00,38260.00,40180.00,42180.00,
Commerce and housing,Carryover basis of capital gains on gifts,650.00,760.00,800.00,1270.00,6340.00,1500.00,1600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,650.00,760.00,800.00,1270.00,6340.00,1500.00,1600.00,
Commerce and housing,Credit for low-income housing investments,370.00,400.00,420.00,460.00,480.00,510.00,530.00,4660.00,4980.00,5360.00,5720.00,6040.00,6330.00,6590.00,5030.00,5380.00,5780.00,6180.00,6520.00,6840.00,7120.00,
Commerce and housing,Deductibility of mortgage interest on owner-occupied homes,84850.00,94790.00,100810.00,107020.00,115280.00,123130.00,130440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84850.00,94790.00,100810.00,107020.00,115280.00,123130.00,130440.00,
Commerce and housing,Deductibility of State and local property tax on owner-occupied homes,19120.00,16360.00,16640.00,16820.00,28230.00,34570.00,35400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19120.00,16360.00,16640.00,16820.00,28230.00,34570.00,35400.00,
Commerce and housing,Deduction for US production activities,2420.00,3310.00,3640.00,5080.00,6690.00,7400.00,7770.00,7380.00,10710.00,11690.00,16030.00,19340.00,20310.00,21320.00,9800.00,14020.00,15330.00,21110.00,26030.00,27710.00,29090.00,
Commerce and housing,Deferral of income from installment sales,900.00,920.00,930.00,1050.00,1180.00,1320.00,1480.00,310.00,310.00,320.00,320.00,320.00,330.00,330.00,1210.00,1230.00,1250.00,1370.00,1500.00,1650.00,1810.00,
Commerce and housing,Discharge of mortgage indebtedness,0.00,293.00,239.00,176.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.00,239.00,176.00,0.00,0.00,0.00,
Commerce and housing,"Exception from passive loss rules for $25,000 of rental loss",7840.00,8430.00,8840.00,9160.00,9580.00,10090.00,10240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7840.00,8430.00,8840.00,9160.00,9580.00,10090.00,10240.00,
Commerce and housing,Exceptions from imputed interest rules,50.00,50.00,50.00,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,
Commerce and housing,Excess bad debt reserves of financial institutions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,10.00,10.00,0.00,0.00,0.00,20.00,10.00,10.00,10.00,0.00,0.00,0.00,
Commerce and housing,Exclusion of interest on life insurance savings,17370.00,19100.00,20580.00,22100.00,24340.00,27270.00,29850.00,2540.00,2740.00,2920.00,3100.00,3260.00,3480.00,3740.00,19910.00,21840.00,23500.00,25200.00,27600.00,30750.00,33590.00,
Commerce and housing,Exclusion of interest on owner-occupied mortgage subsidy bonds,620.00,660.00,680.00,700.00,730.00,750.00,770.00,280.00,300.00,310.00,320.00,330.00,340.00,350.00,900.00,960.00,990.00,1020.00,1060.00,1090.00,1120.00,
Commerce and housing,Exclusion of interest on rental housing bonds,570.00,610.00,620.00,640.00,660.00,680.00,700.00,260.00,270.00,280.00,290.00,300.00,310.00,320.00,830.00,880.00,900.00,930.00,960.00,990.00,1020.00,
Commerce and housing,Exclusion of interest on small issue bonds,240.00,260.00,270.00,280.00,290.00,290.00,300.00,110.00,120.00,120.00,130.00,130.00,130.00,140.00,350.00,380.00,390.00,410.00,420.00,420.00,440.00,
Commerce and housing,Exclusion of interest spread of financial institutions,520.00,450.00,480.00,500.00,630.00,660.00,690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520.00,450.00,480.00,500.00,630.00,660.00,690.00,
Commerce and housing,Exclusion of net imputed rental income,3890.00,5440.00,7550.00,10478.00,14543.00,20183.00,28012.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3890.00,5440.00,7550.00,10478.00,14543.00,20183.00,28012.00,
Commerce and housing,Exemption of credit union income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1310.00,1380.00,1450.00,1530.00,1610.00,1690.00,1780.00,1310.00,1380.00,1450.00,1530.00,1610.00,1690.00,1780.00,
Commerce and housing,Expensing of certain small investments (normal tax method),2930.00,2940.00,2770.00,720.00,-570.00,-580.00,80.00,730.00,720.00,630.00,-220.00,-380.00,-380.00,-140.00,3660.00,3660.00,3400.00,500.00,-950.00,-960.00,-60.00,
Commerce and housing,Graduated corporation income tax rate (normal tax method),0.00,0.00,0.00,0.00,0.00,0.00,0.00,5400.00,5220.00,5290.00,5510.00,5660.00,5840.00,6090.00,5400.00,5220.00,5290.00,5510.00,5660.00,5840.00,6090.00,
Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,50.00,50.00,50.00,60.00,60.00,60.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,60.00,60.00,60.00,60.00,
Commerce and housing,"Capital gains (except agriculture, timber, iron ore, and coal)",53230.00,55540.00,55940.00,59170.00,57490.00,41390.00,43240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53230.00,55540.00,55940.00,59170.00,57490.00,41390.00,43240.00,
Commerce and housing,Small life insurance company deduction,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,60.00,60.00,50.00,50.00,50.00,50.00,50.00,60.00,60.00,
Commerce and housing,Special alternative tax on small property and casualty insurance companies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,40.00,40.00,40.00,40.00,50.00,50.00,40.00,40.00,40.00,40.00,40.00,50.00,50.00,
Commerce and housing,Special rules for certain film and TV production,20.00,10.00,-10.00,-20.00,-10.00,-10.00,-10.00,70.00,60.00,-30.00,-70.00,-50.00,-40.00,-30.00,90.00,70.00,-40.00,-90.00,-60.00,-50.00,-40.00,
Commerce and housing,Step-up basis of capital gains at death,32600.00,35900.00,36750.00,37950.00,39450.00,41010.00,42632.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32600.00,35900.00,36750.00,37950.00,39450.00,41010.00,42632.00,
Commerce and housing,Tax exemption of certain insurance companies owned by tax-exempt organizations,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,190.00,190.00,200.00,200.00,210.00,210.00,180.00,190.00,190.00,200.00,200.00,210.00,210.00,
Transportation,Deferral of tax on shipping companies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Transportation,Exclusion for employer-provided transit passes,420.00,440.00,470.00,500.00,520.00,550.00,580.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420.00,440.00,470.00,500.00,520.00,550.00,580.00,
Transportation,Exclusion of interest on bonds for Financing of Highway Projects and rail-truck transfer facilities,30.00,60.00,70.00,70.00,70.00,70.00,50.00,10.00,20.00,20.00,30.00,30.00,20.00,10.00,40.00,80.00,90.00,100.00,100.00,90.00,60.00,
Transportation,Exclusion of reimbursed employee parking expenses,2830.00,2950.00,3070.00,3200.00,3310.00,3430.00,3540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2830.00,2950.00,3070.00,3200.00,3310.00,3430.00,3540.00,
Transportation,Tax credit for certain expenditures for maintaining railroad tracks,10.00,10.00,0.00,0.00,0.00,0.00,0.00,120.00,120.00,40.00,20.00,10.00,10.00,0.00,130.00,130.00,40.00,20.00,10.00,10.00,0.00,
Income security,401(k) plans,46000.00,49000.00,51000.00,55000.00,68000.00,74000.00,77000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46000.00,49000.00,51000.00,55000.00,68000.00,74000.00,77000.00,
Income security,Additional exemption for housing Hurricane Katrina displaced individuals,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,
Income security,Additional deduction for the blind,30.00,30.00,30.00,30.00,40.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,30.00,40.00,40.00,40.00,
Income security,Additional deduction for the elderly,1590.00,1610.00,1710.00,1850.00,2460.00,2920.00,3070.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1590.00,1610.00,1710.00,1850.00,2460.00,2920.00,3070.00,
Income security,Deductibility of casualty losses,560.00,600.00,630.00,670.00,730.00,760.00,790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,600.00,630.00,670.00,730.00,760.00,790.00,
Income security,Earned income tax credit,4990.00,5200.00,5440.00,5720.00,5860.00,7890.00,8170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4990.00,5200.00,5440.00,5720.00,5860.00,7890.00,8170.00,"The figures in the table indicate the effect of the earned income tax credit on receipts. The effect of the credit on outlays (in millions of dollars) is as follows: 2007 $38,270; 2008 $39,460; 2009 $41,020; 2010 $42,940; 2011 $43,460; 2012 $39,890; and 2013 $40,850."
Income security,Employer plans,47060.00,46120.00,45670.00,44370.00,42420.00,42230.00,41620.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47060.00,46120.00,45670.00,44370.00,42420.00,42230.00,41620.00,
