"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011."""
""
Budget_function,Title as it Appears in Source,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2009 Total,2010 Total,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,Notes
Energy,Alcohol fuel credits   ,10.00,10.00,20.00,40.00,50.00,20.00,10.00,40.00,1190.00,8850.00,10900.00,6640.00,3590.00,2020.00,50.00,1200.00,8870.00,10940.00,6690.00,3610.00,2030.00,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows:  2009 $5,160; 2010 $6,100; 2011 $1,940; 2012 $0; 2013 $0; 2014 $0; 2015 $0. (Subsidyscope has identified a discrepancy between the information reported in Treasury's table of individual and corporate estimates combined, and Treasury's table with individual and corporate estimates separated. Subsidyscope defaults to using the information reported in the Treasury's table in which individual and corporate estimates are separated.)"
Energy,Allowance of deduction for certain energy efficient commercial building property,10.00,20.00,20.00,20.00,30.00,20.00,0.00,50.00,60.00,70.00,70.00,100.00,60.00,10.00,60.00,80.00,90.00,90.00,130.00,80.00,10.00,
Energy,Alternative fuel production credit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,50.00,20.00,10.00,0.00,0.00,0.00,60.00,50.00,20.00,10.00,0.00,0.00,0.00,
Energy,Amortize all geological and geophysical expenditures over 2 years,10.00,30.00,50.00,50.00,40.00,30.00,20.00,30.00,120.00,190.00,190.00,150.00,110.00,70.00,40.00,150.00,240.00,240.00,190.00,140.00,90.00,
Energy,Bio-Diesel and small agri-biodiesel producer tax credits   ,10.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,10.00,0.00,0.00,0.00,0.00,30.00,10.00,10.00,0.00,0.00,0.00,0.00,"In addition, the biodiesel producer tax credit results in a reduction in excise tax receipts (in millions of dollars) as follows:  2009 $810; 2010 $200; 2011 $0; 2012 $0; 2013 $0; 2014 $0; 2015 $0. (Subsidyscope has identified a discrepancy between the information reported in Treasury's table of individual and corporate estimates combined, and Treasury's table with individual and corporate estimates separated. Subsidyscope defaults to using the information reported in the Treasury's table in which individual and corporate estimates are separated.)"
Energy,Capital gains treatment of royalties on coal,70.00,60.00,60.00,60.00,70.00,80.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,60.00,60.00,60.00,70.00,80.00,100.00,
Energy,Credit for construction of new energy efficient homes,20.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,30.00,20.00,20.00,20.00,0.00,0.00,0.00,
Energy,Credit for energy efficiency improvements to existing homes,570.00,1950.00,1460.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,570.00,1950.00,1460.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficient appliances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,130.00,50.00,0.00,0.00,0.00,0.00,130.00,130.00,50.00,0.00,0.00,0.00,0.00,
Energy,Credit for holding clean renewable energy bonds,50.00,60.00,70.00,90.00,100.00,100.00,100.00,20.00,20.00,30.00,30.00,40.00,40.00,40.00,70.00,80.00,100.00,120.00,140.00,140.00,140.00,
Energy,Credit for investment in clean coal facilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,290.00,480.00,550.00,440.00,360.00,250.00,180.00,290.00,480.00,550.00,440.00,360.00,250.00,
Energy,Credit for residential purchases/installations of solar and fuel cells,110.00,180.00,180.00,180.00,190.00,190.00,190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,180.00,180.00,180.00,190.00,190.00,190.00,
Energy,Deferral of gain from dispositions of transmission property to implement FERC restructuring policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-150.00,-400.00,-460.00,-490.00,-500.00,-470.00,-10.00,-150.00,-400.00,-460.00,-490.00,-500.00,-470.00,
Energy,Energy investment credit ,40.00,100.00,120.00,140.00,70.00,40.00,50.00,230.00,430.00,480.00,540.00,350.00,330.00,400.00,270.00,530.00,600.00,680.00,420.00,370.00,450.00,"Firms can take an energy grant in lieu of the energy production credit or the energy investment credit for facilities placed in service in 2009 and 2010 or whose construction commenced in 2009 and 2010. The effect of the grant on outlays (in millions of dollars) is as follows: 2009 $1,050; 2010 $3,090; 2011 $4,460; 2012 $4,240; 2013 $2,360; 2014 $230; 2015 $30. (Subsidyscope has identified a discrepancy between the information reported in Treasury's table of individual and corporate estimates combined, and Treasury's table with individual and corporate estimates separated. Subsidyscope defaults to using the information reported in the Treasury's table in which individual and corporate estimates are separated.)"
Energy,Energy production credit ,50.00,110.00,150.00,200.00,230.00,240.00,240.00,380.00,770.00,1010.00,1230.00,1300.00,1290.00,1260.00,430.00,880.00,1160.00,1430.00,1530.00,1530.00,1500.00,"Firms can take an energy grant in lieu of the energy production credit or the energy investment credit for facilities placed in service in 2009 and 2010 or whose construction commenced in 2009 and 2010. The effect of the grant on outlays (in millions of dollars) is as follows: 2009 $1,050; 2010 $3,090; 2011 $4,460; 2012 $4,240; 2013 $2,360; 2014 $230; 2015 $30. (Subsidyscope has identified a discrepancy between the information reported in Treasury's table of individual and corporate estimates combined, and Treasury's table with individual and corporate estimates separated. Subsidyscope defaults to using the information reported in the Treasury's table in which individual and corporate estimates are separated.)"
Energy,Exception from passive loss limitation for working interests in oil and gas properties,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Energy,"Excess of percentage over cost depletion, fuels",30.00,50.00,60.00,80.00,100.00,100.00,100.00,310.00,560.00,610.00,860.00,1030.00,1060.00,1090.00,340.00,610.00,670.00,940.00,1130.00,1160.00,1190.00,
Energy,Exclusion of interest on energy facility bonds,10.00,10.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,30.00,30.00,30.00,30.00,30.00,
Energy,Exclusion of utility conservation subsidies,130.00,130.00,130.00,120.00,120.00,120.00,120.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,140.00,140.00,130.00,120.00,120.00,120.00,120.00,
Energy,"Expensing of exploration and development costs, fuels",270.00,330.00,190.00,150.00,140.00,110.00,50.00,1370.00,1710.00,990.00,770.00,760.00,570.00,290.00,1640.00,2040.00,1180.00,920.00,900.00,680.00,340.00,
Energy,Natural gas distribution pipelines treated as 15-year property,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,110.00,120.00,110.00,90.00,80.00,80.00,80.00,110.00,120.00,110.00,90.00,80.00,80.00,
Energy,Qualified energy conservation bonds,0.00,10.00,30.00,60.00,80.00,90.00,90.00,0.00,0.00,10.00,20.00,30.00,30.00,30.00,0.00,10.00,40.00,80.00,110.00,120.00,120.00,
Energy,Tax credit and deduction for clean-fuel burning vehicles,50.00,60.00,40.00,10.00,10.00,20.00,50.00,80.00,180.00,220.00,120.00,160.00,210.00,340.00,130.00,240.00,260.00,130.00,170.00,230.00,390.00,
Energy,Temporary 50 percent expensing for equipment used in the refining of liquid fuels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,770.00,1140.00,930.00,760.00,630.00,-300.00,-790.00,770.00,1140.00,930.00,760.00,630.00,-300.00,-790.00,
Commerce and housing,Accelerated depreciation of buildings other than rental housing (normal tax method),-6970.00,-7660.00,-9100.00,-10080.00,-10790.00,-11630.00,-12520.00,-2380.00,-3420.00,-3760.00,-3880.00,-4740.00,-4730.00,-5020.00,-9350.00,-11080.00,-12860.00,-13960.00,-15530.00,-16360.00,-17540.00,
Commerce and housing,Accelerated depreciation of machinery and equipment (normal tax method),34360.00,10150.00,6330.00,12370.00,18900.00,25820.00,31630.00,23040.00,320.00,-5160.00,1750.00,11810.00,18490.00,24770.00,57400.00,10470.00,1170.00,14120.00,30710.00,44310.00,56400.00,
Commerce and housing,Accelerated depreciation on rental housing (normal tax method),3360.00,3890.00,4980.00,6080.00,7030.00,7950.00,8490.00,500.00,750.00,890.00,1020.00,1350.00,1410.00,1480.00,3860.00,4640.00,5870.00,7100.00,8380.00,9360.00,9970.00,
Commerce and housing,Cancellation of indebtedness,300.00,130.00,-10.00,-50.00,-30.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,130.00,-10.00,-50.00,-30.00,0.00,40.00,
Commerce and housing,Capital gains exclusion of small corporation stock,50.00,50.00,170.00,290.00,300.00,470.00,690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,170.00,290.00,300.00,470.00,690.00,
Commerce and housing,Capital gains exclusion on home sales,23500.00,23860.00,31300.00,39510.00,43640.00,48200.00,53230.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23500.00,23860.00,31300.00,39510.00,43640.00,48200.00,53230.00,
Commerce and housing,Carryover basis of capital gains on gifts,1630.00,1430.00,4790.00,2050.00,2740.00,2940.00,3160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1630.00,1430.00,4790.00,2050.00,2740.00,2940.00,3160.00,
Commerce and housing,Credit for homebuyer,9730.00,16540.00,1530.00,-1980.00,-1210.00,-800.00,-490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9730.00,16540.00,1530.00,-1980.00,-1210.00,-800.00,-490.00,
Commerce and housing,Credit for low-income housing investments,190.00,280.00,310.00,330.00,380.00,400.00,400.00,3610.00,5400.00,5860.00,6330.00,7160.00,7510.00,7630.00,3800.00,5680.00,6170.00,6660.00,7540.00,7910.00,8030.00,
Commerce and housing,Deductibility of mortgage interest on owner-occupied homes,79400.00,92180.00,104540.00,116620.00,127840.00,139000.00,149560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79400.00,92180.00,104540.00,116620.00,127840.00,139000.00,149560.00,
Commerce and housing,Deductibility of State and local property tax on owner-occupied homes,29010.00,18860.00,23710.00,29730.00,31340.00,32700.00,33690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29010.00,18860.00,23710.00,29730.00,31340.00,32700.00,33690.00,
