"Source: JCT. ""JCS-13-99: Estimates Of Federal Tax Expenditures For Fiscal Years 2000-2004."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2000 Total,2001 Total,2002 Total,2003 Total,2004 Total,Notes
Energy,Tax credits for alcohol fuels,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $0.5 billion per year in fiscal years 2000 through 2004."
Energy,Tax credit for production of non-conventional fuels,200.00,300.00,300.00,300.00,300.00,1100.00,1100.00,1200.00,1200.00,1200.00,1300.00,1400.00,1500.00,1500.00,1500.00,
Energy,"Tax credit for electricity production from wind, biomass, and poultry waste",100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Energy,Tax credit for investments in solar and geothermal energy facilities,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Tax credit for enhanced oil recovery costs,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Energy,Excess of percentage over cost depletion: Oil and gas,200.00,200.00,200.00,200.00,200.00,500.00,500.00,500.00,500.00,500.00,700.00,700.00,700.00,700.00,700.00,
Energy,Excess of percentage over cost depletion: Other fuels,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,200.00,300.00,300.00,300.00,300.00,300.00,
Energy,Exclusion of interest on State and local government industrial development bonds for energy production facilities,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of exploration and development costs: Oil and gas,<50,<50,<50,<50,<50,400.00,500.00,500.00,500.00,500.00,400.00,500.00,500.00,500.00,500.00,
Energy,Expensing of exploration and development costs: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,700.00,500.00,500.00,400.00,300.00,1500.00,1200.00,1200.00,1100.00,900.00,2200.00,1700.00,1700.00,1500.00,1200.00,
Commerce and housing,Depreciation of equipment in excess of alternative depreciation system,6800.00,6600.00,6200.00,5900.00,5600.00,24900.00,24300.00,23700.00,23300.00,22800.00,31700.00,30900.00,29900.00,29200.00,28400.00,
Commerce and housing,Depreciaiton of rental housing in excess of alternative depreciation system,1500.00,1500.00,1600.00,1700.00,1900.00,200.00,200.00,200.00,200.00,200.00,1700.00,1700.00,1800.00,1900.00,2100.00,
Commerce and housing,Amortization of business startup costs,300.00,300.00,400.00,400.00,400.00,<50,<50,<50,<50,<50,300.00,300.00,400.00,400.00,400.00,
Commerce and housing,Exclusion of capital gains on sales of principal residences,12900.00,12900.00,13000.00,13100.00,13200.00,0.00,0.00,0.00,0.00,0.00,12900.00,12900.00,13000.00,13100.00,13200.00,
Commerce and housing,Carryover basis of capital gains on gifts,2300.00,2500.00,2700.00,3000.00,3300.00,0.00,0.00,0.00,0.00,0.00,2300.00,2500.00,2700.00,3000.00,3300.00,
Commerce and housing,"Cash accounting, other than agriculture",100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Completed contract rules,<50,<50,<50,<50,<50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Commerce and housing,Tax credit for employer-paid FICA taxes on tips,200.00,200.00,200.00,200.00,200.00,100.00,100.00,100.00,100.00,100.00,300.00,300.00,300.00,300.00,300.00,
Commerce and housing,Tax credit for low-income housing,2500.00,2600.00,2600.00,2700.00,2700.00,1300.00,1400.00,1400.00,1400.00,1400.00,3800.00,4000.00,4000.00,4100.00,4100.00,
Commerce and housing,Tax credit for rehabilitation of historic structures,100.00,100.00,100.00,100.00,100.00,300.00,400.00,400.00,400.00,400.00,400.00,500.00,500.00,500.00,500.00,
Commerce and housing,Deduction for mortgage interest on owner-occupied residences,55200.00,57700.00,60200.00,62800.00,65500.00,0.00,0.00,0.00,0.00,0.00,55200.00,57700.00,60200.00,62800.00,65500.00,
