"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2010."""
""
Budget_function,Title as it Appears in Source,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2008 Total,2009 Total,2010 Total,2011 Total,2012 Total,2013 Total,2014 Total,Notes
Energy,Alcohol fuel credits ,10.00,10.00,20.00,30.00,70.00,70.00,0.00,40.00,50.00,70.00,160.00,320.00,160.00,0.00,50.00,60.00,90.00,190.00,390.00,230.00,0.00,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2008 $4,410; 2009 $4,730; 2010 $5,230; 2011 $1,630; 2012 $0; 2013 $0; 2014 $0."
Energy,Allowance of deduction for certain energy efficient commercial building property,40.00,50.00,50.00,60.00,70.00,10.00,20.00,130.00,150.00,160.00,130.00,130.00,10.00,40.00,170.00,200.00,210.00,190.00,200.00,20.00,60.00,
Energy,Alternative fuel production credit,20.00,0.00,0.00,0.00,0.00,0.00,0.00,570.00,70.00,80.00,10.00,10.00,0.00,0.00,590.00,70.00,80.00,10.00,10.00,0.00,0.00,
Energy,Amortize all geological and geophysical expenditures over 2 years,0.00,20.00,30.00,20.00,20.00,10.00,10.00,20.00,70.00,100.00,100.00,70.00,50.00,30.00,20.00,90.00,130.00,120.00,90.00,60.00,40.00,
Energy,Bio-Diesel and small agri-biodiesel producer tax credits ,10.00,10.00,0.00,0.00,0.00,0.00,0.00,30.00,20.00,20.00,0.00,0.00,0.00,0.00,40.00,30.00,20.00,0.00,0.00,0.00,0.00,"In addition, the bio-diesel producer tax credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2008 $940; 2009 $780; 2010 $70; 2011 $60; 2012 $40; 2013 $40; 2014 $10."
Energy,Capital gains treatment of royalties on coal,110.00,110.00,140.00,110.00,110.00,130.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,110.00,140.00,110.00,110.00,130.00,140.00,
Energy,Credit for construction of new energy efficient homes,10.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,10.00,0.00,0.00,0.00,0.00,30.00,20.00,10.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficiency improvements to existing homes,230.00,380.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,380.00,150.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficient appliances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,130.00,130.00,50.00,0.00,0.00,0.00,120.00,130.00,130.00,50.00,0.00,0.00,0.00,
Energy,Credit for holding clean renewable energy bonds,30.00,50.00,50.00,50.00,50.00,50.00,50.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,40.00,70.00,70.00,70.00,70.00,70.00,70.00,
Energy,Credit for investment in clean coal facilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,200.00,290.00,260.00,240.00,230.00,210.00,30.00,200.00,290.00,260.00,240.00,230.00,210.00,
Energy,Credit for residential purchases/installations of solar and fuel cells,20.00,30.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,30.00,20.00,0.00,0.00,0.00,0.00,
Energy,Deferral of gain from dispositions of transmission property to implement FERC restructuring policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.00,-50.00,-120.00,-320.00,-400.00,-480.00,-490.00,-30.00,-50.00,-120.00,-320.00,-400.00,-480.00,-490.00,
Energy,Energy investment credit,20.00,20.00,20.00,20.00,20.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,
Energy,Energy production credit,80.00,100.00,110.00,110.00,100.00,100.00,100.00,840.00,1030.00,1070.00,1070.00,1050.00,1040.00,1020.00,920.00,1130.00,1180.00,1180.00,1150.00,1140.00,1120.00,"Subsidyscope has identified a discrepancy between the information reported in Treasury's table of individual and corporate estimates combined, and Treasury's table with individual and corporate estimates separated. Subsidyscope defaults to using the information reported in the Treasury's table in which individual and corporate estimates are separated."
Energy,Exception from passive loss limitation for working interests in oil and gas properties,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
