"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2006."""
""
Budget_function,Title as it Appears in Source,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2004 Total,2005 Total,2006 Total,2007 Total,2008 Total,2009 Total,2010 Total,Notes
Energy,Alcohol fuel credits,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,40.00,40.00,40.00,"In addition, the partial exemption from the excise tax and excise credits for alcohol fuels result in a reduction in excise tax receipts (in millions of dollars) as follows: 2004 $1,450; 2005 $1,490; 2006 $1,550; 2007 $1,590; 2008 $1,620; 2009 $1,650; and 2010 $1,680."
Energy,Alternative fuel production credit,40.00,40.00,40.00,40.00,20.00,0.00,0.00,1000.00,1000.00,1000.00,1000.00,400.00,0.00,0.00,1040.00,1040.00,1040.00,1040.00,420.00,0.00,0.00,
Energy,Capital gains treatment of royalties on coal,70.00,70.00,80.00,80.00,100.00,70.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,80.00,80.00,100.00,70.00,60.00,
Energy,New technology credit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.00,470.00,620.00,700.00,800.00,820.00,690.00,330.00,470.00,620.00,700.00,800.00,820.00,690.00,
Energy,Enhanced oil recovery credit,30.00,30.00,30.00,30.00,30.00,30.00,40.00,300.00,310.00,310.00,320.00,330.00,340.00,350.00,330.00,340.00,340.00,350.00,360.00,370.00,390.00,
Energy,Exception from passive loss limitation for working interests in oil and gas properties,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Energy,"Excess of percentage over cost depletion, fuels",110.00,100.00,110.00,110.00,120.00,120.00,120.00,1210.00,1180.00,1240.00,1310.00,1350.00,1390.00,1430.00,1320.00,1280.00,1350.00,1420.00,1470.00,1510.00,1550.00,
Energy,Exclusion of interest on energy facility bonds,80.00,80.00,90.00,90.00,100.00,100.00,110.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.00,100.00,110.00,110.00,120.00,120.00,130.00,
Energy,Exclusion of conservation subsidies provided by public utilities,100.00,100.00,100.00,100.00,90.00,90.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,90.00,90.00,90.00,
Energy,"Expensing of exploration and development costs, fuels",30.00,50.00,50.00,40.00,30.00,30.00,20.00,230.00,350.00,320.00,240.00,210.00,160.00,120.00,260.00,400.00,370.00,280.00,240.00,190.00,140.00,
