"Source: JCT. ""JCS-2-06: Estimates Of Federal Tax Expenditures For Fiscal Years 2006-2010."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2006 Total,2007 Total,2008 Total,2009 Total,2010 Total,Notes
Energy,Tax credit for alcohol fuels,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,"In addition, the credit from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $11.1 billion over the fiscal years 2006 through 2010."
Energy,Deduction for expenditures on energy-efficient commercial building property,<50,100.00,<50,>-50,>-50,<50,100.00,<50,>-50,>-50,0,200.00,0,0,0,
Energy,Tax credit for production of non-conventional fuels,1000.00,1000.00,200.00,<50,<50,2700.00,3200.00,1200.00,<50,<50,3700.00,4200.00,1400.00,0,0,
Energy,Amortization of geological and geophysical costs associated with oil and gas exploration,>-50,<50,100.00,100.00,<50,>-50,100.00,200.00,200.00,100.00,0,100.00,300.00,300.00,100.00,
Energy,Tax credit for biodiesel fuels ,0.00,0.00,0.00,0.00,0.00,<50,100.00,100.00,<50,0.00,0.00,100.00,100.00,0.00,0.00,"In addition, the credit from excise tax for biodiesel results in a reduction in excise tax reciepts, net of income tax effect, of less than  $50 million in each of the fiscal years 2006 through 2010. "
Energy,Tax credit for the purchase of qualified energy efficiency improvements to existing homes,100.00,300.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,300.00,200.00,0.00,0.00,
Energy,Tax credit for the production of energy-efficient appliances,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,
Energy,Tax credit for holders of clean renewable energy bonds,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Tax credits for investments in clean coal power generation facilities,0.00,0.00,0.00,0.00,0.00,<50,100.00,100.00,200.00,200.00,0.00,100.00,100.00,200.00,200.00,
Energy,Deferral of gain from the disposition of electric transmission property to implement Federal Energy Regulatory Commission restructuring policy,0.00,0.00,>-50,0.00,0.00,600.00,500.00,>-50,-300.00,-300.00,600.00,500.00,0,-300.00,-300.00,
Energy,Energy credit (Section 48),<50,<50,<50,<50,<50,<50,100.00,<50,<50,<50,0,100.00,0,0,0,
Energy,Tax credit for electricity production from renewable resources,100.00,100.00,100.00,100.00,100.00,2000.00,3700.00,5500.00,6000.00,5800.00,2100.00,3800.00,5600.00,6100.00,5900.00,
Energy,Excess of percentage over cost depletion: Oil and gas,<50,<50,<50,<50,<50,1000.00,1000.00,900.00,900.00,900.00,1000.00,1000.00,900.00,900.00,900.00,
Energy,Excess of percentage over cost depletion: Other fuels,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Energy,Exclusion of interest on State and local government qualified private activity bonds for energy production facilities,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of exploration and development costs: Oil and gas,<50,<50,<50,<50,<50,1100.00,1600.00,1200.00,800.00,600.00,1100.00,1600.00,1200.00,800.00,600.00,
Energy,Expensing of exploration and development costs: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Five-year carryback period for certain net operating losses of electric utility companies,0.00,0.00,0.00,>-50,>-50,100.00,<50,<50,>-50,>-50,100.00,0.00,0.00,0,0,
Energy,Tax credit for clean-fuel vehicle refueling property,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Tax credits for alternative technology vehicles,200.00,200.00,100.00,100.00,<50,100.00,100.00,<50,<50,<50,300.00,300.00,100.00,100.00,0,
Energy,Tax credit and deduction for small refiners with capital costs associated with EPA sulfur regulation compliance,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of the cost of property used in the refining of liquid fuels,0.00,0.00,0.00,0.00,0.00,<50,<50,100.00,200.00,300.00,0.00,0.00,100.00,200.00,300.00,
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,400.00,500.00,700.00,1000.00,1300.00,400.00,600.00,800.00,1100.00,1400.00,800.00,1100.00,1500.00,2100.00,2700.00,
Commerce and housing,Depreciation of equipment in excess of the alternative depreciation system,-2200.00,100.00,2200.00,4300.00,6100.00,5700.00,11000.00,17700.00,23400.00,27700.00,3500.00,11100.00,19900.00,27700.00,33800.00,
Commerce and housing,Depreciation of rental housing in excess of alternative depreciation system,4000.00,4600.00,5300.00,6100.00,7000.00,400.00,500.00,600.00,700.00,800.00,4400.00,5100.00,5900.00,6800.00,7800.00,
Commerce and housing,Additional exemption for housing provided to individuals displaced by Hurricane Katrina,100.00,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,
Commerce and housing,Additional first-year depreciation for Gulf Opportunity Zone property,400.00,400.00,200.00,>-50,-100.00,900.00,900.00,400.00,-100.00,-200.00,1300.00,1300.00,600.00,-100.00,-300.00,
Commerce and housing,Amortization of business startup costs,700.00,700.00,800.00,800.00,900.00,<50,<50,<50,<50,<50,700.00,700.00,800.00,800.00,900.00,
Commerce and housing,Exclusion of capital gains on sales of principal residences,24100.00,25200.00,25700.00,26300.00,27100.00,0.00,0.00,0.00,0.00,0.00,24100.00,25200.00,25700.00,26300.00,27100.00,
Commerce and housing,Carryover basis of capital gains on gifts,5400.00,5500.00,5700.00,7600.00,56100.00,0.00,0.00,0.00,0.00,0.00,5400.00,5500.00,5700.00,7600.00,56100.00,
Commerce and housing,"Cash accounting, other than agriculture",800.00,800.00,800.00,900.00,900.00,<50,<50,<50,<50,<50,800.00,800.00,800.00,900.00,900.00,
