"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2003."""
""
Budget_function,Title as it Appears in Source,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,2007 Total,Notes
Energy,Alcohol fuel credits,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,"In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2001 $990; 2002 $1,020; 2003 $1,050; 2004 $1,080; 2005 $1,080; 2006 $1,100; and 2007 $1,120."
Energy,Alternative fuel production credit,40.00,40.00,20.00,10.00,10.00,10.00,10.00,860.00,810.00,390.00,120.00,120.00,120.00,120.00,900.00,850.00,410.00,130.00,130.00,130.00,130.00,
Energy,Capital gains treatment of royalties on coal,100.00,100.00,110.00,120.00,120.00,130.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,110.00,120.00,120.00,130.00,140.00,
Energy,New technology credit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,80.00,100.00,100.00,100.00,90.00,90.00,60.00,80.00,100.00,100.00,100.00,90.00,90.00,
Energy,Enhanced oil recovery credit,30.00,30.00,40.00,50.00,60.00,70.00,80.00,280.00,330.00,400.00,480.00,580.00,690.00,830.00,310.00,360.00,440.00,530.00,640.00,760.00,910.00,
Energy,Exception from passive loss limitation for working interests in oil and gas properties,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Energy,"Excess of percentage over cost depletion, fuels",30.00,30.00,30.00,40.00,40.00,40.00,40.00,220.00,230.00,240.00,250.00,260.00,270.00,280.00,250.00,260.00,270.00,290.00,300.00,310.00,320.00,
Energy,Exclusion of interest on energy facility bonds,70.00,70.00,80.00,90.00,100.00,110.00,120.00,20.00,20.00,20.00,30.00,30.00,30.00,30.00,90.00,90.00,100.00,120.00,130.00,140.00,150.00,
Energy,Exclusion from income of conservation subsidies provided by public utilities,70.00,70.00,70.00,70.00,70.00,70.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,60.00,
Energy,"Expensing of exploration and development costs, fuels",10.00,10.00,10.00,20.00,20.00,20.00,20.00,40.00,50.00,60.00,70.00,70.00,80.00,80.00,50.00,60.00,70.00,90.00,90.00,100.00,100.00,
