"Source: JCT. ""JCS-2-08: Estimates Of Federal Tax Expenditures For Fiscal Years 2008-2012."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2008 Total,2009 Total,2010 Total,2011 Total,2012 Total,Notes
Energy,10-year MACRS for smart electric distribution property,100.00,<50,<50,<50,<50,<50,<50,<50,<50,<50,100.00,0,0,0,0,
Energy,15-year MACRS for certain electric transmission property,<50,<50,<50,<50,<50,<50,100.00,100.00,200.00,200.00,0,100.00,100.00,200.00,200.00,
Energy,Credits for alcohol fuels,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,<50,0.00,100.00,100.00,100.00,0.00,0.00,"In addition, the credit from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $13.6 billion over the fiscal years 2008 through 2012."
Energy,Deduction for expenditures on energy-efficient commercial building property,<50,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,0,100.00,100.00,100.00,100.00,
Energy,Credit for producing fuels from a non-conventional source,<50,<50,<50,<50,<50,100.00,100.00,<50,<50,<50,100.00,100.00,0,0,0,
Energy,Amortization of air pollution control facilities,<50,<50,<50,<50,<50,100.00,100.00,100.00,200.00,200.00,100.00,100.00,100.00,200.00,200.00,
Energy,Amortization of geological and geophysical expenditures associated with oil and gas exploration,<50,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,100.00,300.00,300.00,300.00,300.00,
Energy,New energy efficient home credit,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credit for energy efficiency improvements to existing homes,800.00,300.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,300.00,1000.00,0.00,0.00,
Energy,Credit for the production of energy-efficient appliances,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,<50,0.00,100.00,100.00,100.00,0.00,0.00,
Energy,Credit for holders of clean renewable energy bonds,<50,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,0,100.00,100.00,100.00,100.00,
Energy,Credits for investments in clean coal facilities,0.00,0.00,0.00,0.00,0.00,200.00,200.00,200.00,100.00,100.00,200.00,200.00,200.00,100.00,100.00,
Energy,Residential energy efficient property credit,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Eight-year inclusion from sale of electric transmission assets to independent utilities,<50,<50,<50,<50,<50,300.00,200.00,<50,-100.00,-100.00,300.00,200.00,0,-100.00,-100.00,
Energy,Energy credit (section 48): Fuel cells,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Energy credit (section 48): Geothermal,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Energy credit (section 48): Microturbines,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Energy credit (section 48): Solar,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Coal production credits: Indian coal,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Coal production credits: Refined coal,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Closed-loop biomass,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Geothermal,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Municipal solid waste,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Open-loop biomass,<50,<50,<50,<50,<50,300.00,400.00,300.00,200.00,200.00,300.00,400.00,300.00,200.00,200.00,
Energy,Credits for electricity production from renewable resources (section 45): Qualified hydropower,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Small irrigation power,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Solar (limited to facilities placed in service before 1/1/06),0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Energy,Credits for electricity production from renewable resources (section 45): Wind,<50,<50,<50,<50,<50,600.00,800.00,900.00,900.00,900.00,600.00,800.00,900.00,900.00,900.00,
Energy,Credit for enhanced oil recovery costs,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Exceptions for publicly traded partnership with qualified income derived from certain energy-related activities,400.00,400.00,500.00,600.00,600.00,0.00,0.00,0.00,0.00,0.00,400.00,400.00,500.00,600.00,600.00,
Energy,Excess of percentage over cost depletion: Oil and gas,<50,<50,<50,<50,<50,1300.00,1400.00,1400.00,1400.00,1400.00,1300.00,1400.00,1400.00,1400.00,1400.00,
Energy,Excess of percentage over cost depletion: Other fuels,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Energy,Exclusion of interest on State and local government qualified private activity bonds for energy production facilities,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of exploration and development costs: Oil and gas,<50,<50,<50,<50,<50,2100.00,3000.00,1700.00,400.00,400.00,2100.00,3000.00,1700.00,400.00,400.00,
Energy,Expensing of exploration and development costs: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,"Five-year MACRS for certain energy property (solar, wind, etc)",<50,<50,<50,<50,<50,200.00,100.00,100.00,100.00,100.00,200.00,100.00,100.00,100.00,100.00,
Energy,15-year MACRS for natural gas distribution line,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Energy,Credit for holder of qualified energy conservation bonds,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Credit for clean-fuel vehicle refueling property,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Credits for alternative technology vehicles,200.00,200.00,200.00,<50,<50,100.00,<50,<50,<50,<50,300.00,200.00,200.00,0,0,
Energy,Credits for alternative technology vehicles: Hybrid vehicles,200.00,200.00,200.00,100.00,<50,<50,<50,<50,<50,<50,200.00,200.00,200.00,100.00,0,
Energy,Credits for alternative technology vehicles: Other alternative fuel vehicles,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Election to expense 50 percent of qualified property used to refine liquid fuels,<50,<50,<50,<50,<50,400.00,1100.00,900.00,800.00,600.00,400.00,1100.00,900.00,800.00,600.00,
Commerce and housing,Retail motor fuels outlets,100.00,200.00,200.00,100.00,100.00,100.00,200.00,100.00,100.00,100.00,200.00,400.00,300.00,200.00,200.00,
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,700.00,1400.00,1400.00,900.00,900.00,900.00,1700.00,1700.00,1100.00,1100.00,1600.00,3100.00,3100.00,2000.00,2000.00,"This tax expenditure can be found in ""Major Provisions Not Classified as Tax Subsidies"" on page 69 in the JCT <a href=""http://www.jct.gov/publications.html?func=startdown&id=3642""><em>Estimates of Federal Tax Expenditures for Fiscal Years 2008-2012</em>.</a>"
Commerce and housing,Depreciation of equipment in excess of the alternative depreciation system,6900.00,4400.00,1300.00,2900.00,3900.00,32600.00,20700.00,6300.00,13500.00,18600.00,39500.00,25100.00,7600.00,16400.00,22500.00,"This tax expenditure can be found in ""Major Provisions Not Classified as Tax Subsidies"" on page 69 in the JCT <a href=""http://www.jct.gov/publications.html?func=startdown&id=3642""><em>Estimates of Federal Tax Expenditures for Fiscal Years 2008-2012</em>.</a>"
Commerce and housing,Depreciation of rental housing in excess of alternative depreciation system,3800.00,4100.00,4800.00,4900.00,4800.00,400.00,500.00,500.00,500.00,500.00,4200.00,4600.00,5300.00,5400.00,5300.00,"This tax expenditure can be found in ""Major Provisions Not Classified as Tax Subsidies"" on page 69 in the JCT <a href=""http://www.jct.gov/publications.html?func=startdown&id=3642""><em>Estimates of Federal Tax Expenditures for Fiscal Years 2008-2012</em>.</a>"
Commerce and housing,Amortization of business startup costs,800.00,900.00,900.00,1000.00,1000.00,<50,<50,<50,<50,<50,800.00,900.00,900.00,1000.00,1000.00,
Commerce and housing,Reduced tax rate on small business stock gains,500.00,500.00,500.00,500.00,400.00,0.00,0.00,0.00,0.00,0.00,500.00,500.00,500.00,500.00,400.00,
Commerce and housing,Exclusion of capital gains on sales of principal residences,16800.00,15800.00,16900.00,19300.00,20900.00,0.00,0.00,0.00,0.00,0.00,16800.00,15800.00,16900.00,19300.00,20900.00,
Commerce and housing,Carryover basis of capital gains on gifts,2500.00,1800.00,14300.00,14600.00,3500.00,0.00,0.00,0.00,0.00,0.00,2500.00,1800.00,14300.00,14600.00,3500.00,
